Feature, Visits, Acc. Reward, Q-value
AAFMFramework, 21, 20, 0.9523809523809523
Packages, 48, 61, 1.2708333333333333
Utils, 47, 44, 0.9361702127659575
six, 112, 212, 1.8928571428571428
pybind11, 94, 186, 1.9787234042553192
ParserTechnology, 46, 60, 1.3043478260869565
antlr4-python3-runtime, 44, 83, 1.8863636363636365
SimpleParse, 45, 88, 1.9555555555555555
lark-parser, 32, 60, 1.875
ebnf, 22, 44, 2.0
DepMng, 50, 66, 1.32
pip, 37, 71, 1.9189189189189189
pipdeptree, 40, 80, 2.0
setuptools, 78, 154, 1.9743589743589745
wheel, 69, 132, 1.9130434782608696
pkg-resources, 96, 186, 1.9375
APISolvers, 38, 54, 1.4210526315789473
python-sat, 28, 37, 1.3214285714285714
pycosat, 18, 24, 1.3333333333333333
pylgl, 33, 60, 1.8181818181818181
pyPicosat, 30, 47, 1.5666666666666667
pyglucose, 32, 57, 1.78125
pycryptosat, 37, 71, 1.9189189189189189
satyrn, 19, 37, 1.9473684210526316
satispy, 35, 62, 1.7714285714285714
umo, 27, 48, 1.7777777777777777
pydepqbf, 38, 74, 1.9473684210526316
Metamodels, 60, 84, 1.4
FeatureModel, 36, 56, 1.5555555555555556
CNFModel, 35, 57, 1.6285714285714286
DecisionModel, 55, 105, 1.9090909090909092
AutomatedReasoning, 67, 89, 1.328358208955224
Operations, 42, 44, 1.0476190476190477
ValidModel, 35, 50, 1.4285714285714286
ValidConfiguration, 33, 34, 1.0303030303030303
ValidProduct, 23, 26, 1.1304347826086956
AllProducts, 33, 42, 1.2727272727272727
DeadFeatures, 23, 31, 1.3478260869565217
CoreFeatures, 27, 34, 1.2592592592592593
ErrorDetection, 23, 30, 1.3043478260869565
ErrorDiagnosis, 37, 46, 1.2432432432432432
Solvers, 35, 35, 1.0
MiniSAT, 15, 15, 1.0
PicoSAT, 40, 42, 1.05
Glucose, 22, 35, 1.5909090909090908
Lingeling, 42, 52, 1.2380952380952381
Interoperability, 44, 55, 1.25
FeatureIDE, 46, 72, 1.565217391304348
SPLOT, 158, 303, 1.9177215189873418
UVL, 141, 263, 1.8652482269503545
System, 57, 71, 1.2456140350877194
Linux, 45, 62, 1.3777777777777778
Win, 20, 11, 0.55
