Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Parallel Flat Monte Carlo,1,3,None,100,200,200,200,0,0.1258,0.5805,"['AAFMFramework', 'System', 'Win']"
Parallel Flat Monte Carlo,2,3,None,100,200,200,200,0,0.1196,0.5982,"['AAFMFramework', 'System', 'Linux']"
Parallel Flat Monte Carlo,3,3,None,100,200,200,200,0,0.1225,0.604,"['AAFMFramework', 'System', 'Linux']"
Parallel Flat Monte Carlo,4,3,None,100,200,200,200,0,0.1251,0.6091,"['AAFMFramework', 'System', 'Win']"
Parallel Flat Monte Carlo,5,3,None,100,200,200,200,0,0.1237,0.6146,"['AAFMFramework', 'System', 'Linux']"
Parallel Flat Monte Carlo,6,3,None,100,200,200,200,0,0.1222,0.623,"['AAFMFramework', 'System', 'Win']"
Parallel Flat Monte Carlo,7,3,None,100,200,200,200,0,0.1421,0.6289,"['AAFMFramework', 'System', 'Win']"
Parallel Flat Monte Carlo,8,3,None,100,200,200,200,0,0.1283,0.6469,"['AAFMFramework', 'System', 'Win']"
Parallel Flat Monte Carlo,9,3,None,100,200,200,200,0,0.1266,0.6518,"['AAFMFramework', 'System', 'Linux']"
Parallel Flat Monte Carlo,10,3,None,100,200,200,200,0,0.1274,0.6568,"['AAFMFramework', 'System', 'Win']"
Parallel Flat Monte Carlo,11,3,None,100,200,200,200,0,0.1283,0.6617,"['AAFMFramework', 'System', 'Linux']"
Parallel Flat Monte Carlo,12,3,None,100,200,200,200,0,0.1278,0.6668,"['AAFMFramework', 'System', 'Win']"
Parallel Flat Monte Carlo,13,3,None,100,200,200,200,0,0.1256,0.6717,"['AAFMFramework', 'System', 'Linux']"
Parallel Flat Monte Carlo,14,3,None,100,200,200,200,0,0.1287,0.6765,"['AAFMFramework', 'System', 'Linux']"
Parallel Flat Monte Carlo,15,3,None,100,200,200,200,0,0.1282,0.6814,"['AAFMFramework', 'System', 'Win']"
Parallel Flat Monte Carlo,16,3,None,100,200,200,200,0,0.1287,0.6862,"['AAFMFramework', 'System', 'Win']"
Parallel Flat Monte Carlo,17,3,None,100,200,200,200,0,0.1308,0.6911,"['AAFMFramework', 'System', 'Linux']"
Parallel Flat Monte Carlo,18,3,None,100,200,200,200,0,0.1298,0.6961,"['AAFMFramework', 'System', 'Win']"
Parallel Flat Monte Carlo,19,3,None,100,200,200,200,0,0.1315,0.7009,"['AAFMFramework', 'System', 'Linux']"
Parallel Flat Monte Carlo,20,3,None,100,200,200,200,0,0.1312,0.7058,"['AAFMFramework', 'System', 'Linux']"
Parallel Flat Monte Carlo,21,3,None,100,200,200,200,0,0.1299,0.7106,"['AAFMFramework', 'System', 'Linux']"
Parallel Flat Monte Carlo,22,3,None,100,200,200,200,0,0.1299,0.7155,"['AAFMFramework', 'System', 'Linux']"
Parallel Flat Monte Carlo,23,3,None,100,200,200,200,0,0.1297,0.7209,"['AAFMFramework', 'System', 'Linux']"
Parallel Flat Monte Carlo,24,3,None,100,200,200,200,0,0.1318,0.7257,"['AAFMFramework', 'System', 'Linux']"
Parallel Flat Monte Carlo,25,3,None,100,200,200,200,0,0.131,0.7306,"['AAFMFramework', 'System', 'Linux']"
Parallel Flat Monte Carlo,26,3,None,100,200,200,200,0,0.1305,0.7355,"['AAFMFramework', 'System', 'Win']"
Parallel Flat Monte Carlo,27,3,None,100,200,200,200,0,0.1321,0.7404,"['AAFMFramework', 'System', 'Linux']"
Parallel Flat Monte Carlo,28,3,None,100,200,200,200,0,0.1328,0.7452,"['AAFMFramework', 'System', 'Win']"
Parallel Flat Monte Carlo,29,3,None,100,200,200,200,0,0.1315,0.7501,"['AAFMFramework', 'System', 'Win']"
Parallel Flat Monte Carlo,30,3,None,100,200,200,200,0,0.1317,0.755,"['AAFMFramework', 'System', 'Win']"
