Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Random strategy,1,12,None,0,0,0,0,0,0.0006,0.0172,"['AAFMFramework', 'Packages', 'pythonSat', 'pyPicosat', 'pycosat', 'pyglucose', 'Solvers', 'PicoSAT', 'MiniSAT', 'System', 'Glucose', 'Linux']"
Random strategy,2,9,None,0,0,0,0,0,0.0005,0.0356,"['AAFMFramework', 'System', 'Solvers', 'Linux', 'Packages', 'PicoSAT', 'pyglucose', 'Glucose', 'pyPicosat']"
Random strategy,3,11,None,0,0,0,0,0,0.0005,0.051,"['AAFMFramework', 'Solvers', 'PicoSAT', 'Glucose', 'MiniSAT', 'Packages', 'System', 'Linux', 'pycosat', 'pyPicosat', 'pythonSat']"
Random strategy,4,6,None,0,0,0,0,0,0.0003,0.0599,"['AAFMFramework', 'Packages', 'pyglucose', 'pycosat', 'System', 'Linux']"
Random strategy,5,11,None,0,0,0,0,0,0.0007,0.0756,"['AAFMFramework', 'Packages', 'pythonSat', 'pyglucose', 'Solvers', 'Glucose', 'pycosat', 'PicoSAT', 'MiniSAT', 'System', 'Win']"
Random strategy,6,3,None,0,0,0,0,0,0.0001,0.0803,"['AAFMFramework', 'System', 'Linux']"
Random strategy,7,3,None,0,0,0,0,0,0.0002,0.0855,"['AAFMFramework', 'System', 'Win']"
Random strategy,8,6,None,0,0,0,0,0,0.0006,0.0946,"['AAFMFramework', 'Packages', 'System', 'pyglucose', 'pycosat', 'Linux']"
Random strategy,9,3,None,0,0,0,0,0,0.0001,0.0993,"['AAFMFramework', 'System', 'Linux']"
Random strategy,10,9,None,0,0,0,0,0,0.0005,0.1127,"['AAFMFramework', 'Packages', 'System', 'pycosat', 'pyglucose', 'Solvers', 'PicoSAT', 'Glucose', 'Linux']"
Random strategy,11,6,None,0,0,0,0,0,0.0003,0.1216,"['AAFMFramework', 'Packages', 'pycosat', 'System', 'pythonSat', 'Win']"
Random strategy,12,8,None,0,0,0,0,0,0.0005,0.1335,"['AAFMFramework', 'System', 'Packages', 'Linux', 'Solvers', 'pyPicosat', 'pythonSat', 'Glucose']"
Random strategy,13,11,None,0,0,0,0,0,0.0009,0.1492,"['AAFMFramework', 'System', 'Packages', 'pythonSat', 'pyPicosat', 'pyglucose', 'Solvers', 'pycosat', 'PicoSAT', 'Glucose', 'Linux']"
Random strategy,14,3,None,0,0,0,0,0,0.0002,0.1538,"['AAFMFramework', 'System', 'Linux']"
Random strategy,15,12,None,0,0,0,0,0,0.0006,0.1709,"['AAFMFramework', 'Solvers', 'Glucose', 'PicoSAT', 'MiniSAT', 'Packages', 'pycosat', 'pythonSat', 'pyglucose', 'pyPicosat', 'System', 'Linux']"
Random strategy,16,10,None,0,0,0,0,0,0.0006,0.1853,"['AAFMFramework', 'Solvers', 'MiniSAT', 'Packages', 'pythonSat', 'pyPicosat', 'Glucose', 'PicoSAT', 'System', 'Linux']"
Random strategy,17,12,None,0,0,0,0,0,0.0006,0.2024,"['AAFMFramework', 'Packages', 'Solvers', 'pyglucose', 'Glucose', 'pyPicosat', 'System', 'PicoSAT', 'MiniSAT', 'Linux', 'pycosat', 'pythonSat']"
Random strategy,18,7,None,0,0,0,0,0,0.0004,0.2127,"['AAFMFramework', 'Packages', 'pyglucose', 'pycosat', 'System', 'pythonSat', 'Linux']"
Random strategy,19,11,None,0,0,0,0,0,0.0006,0.2284,"['AAFMFramework', 'Solvers', 'Packages', 'pyglucose', 'MiniSAT', 'PicoSAT', 'pycosat', 'System', 'Win', 'Glucose', 'pythonSat']"
Random strategy,20,12,None,0,0,0,0,0,0.0006,0.2455,"['AAFMFramework', 'Solvers', 'Packages', 'pyglucose', 'pythonSat', 'Glucose', 'pyPicosat', 'System', 'PicoSAT', 'MiniSAT', 'pycosat', 'Linux']"
Random strategy,21,10,None,0,0,0,0,0,0.0006,0.2598,"['AAFMFramework', 'Solvers', 'Glucose', 'System', 'PicoSAT', 'Win', 'Packages', 'MiniSAT', 'pythonSat', 'pycosat']"
Random strategy,22,9,None,0,0,0,0,0,0.0004,0.2728,"['AAFMFramework', 'Solvers', 'MiniSAT', 'System', 'Linux', 'PicoSAT', 'Packages', 'pyPicosat', 'pythonSat']"
Random strategy,23,11,None,0,0,0,0,0,0.0009,0.2889,"['AAFMFramework', 'Solvers', 'MiniSAT', 'System', 'Glucose', 'Win', 'PicoSAT', 'Packages', 'pyglucose', 'pythonSat', 'pycosat']"
Random strategy,24,12,None,0,0,0,0,0,0.0006,0.3021,"['AAFMFramework', 'Packages', 'pycosat', 'System', 'pyPicosat', 'pythonSat', 'Solvers', 'pyglucose', 'Glucose', 'PicoSAT', 'MiniSAT', 'Linux']"
Random strategy,25,9,None,0,0,0,0,0,0.0005,0.3149,"['AAFMFramework', 'Solvers', 'Packages', 'PicoSAT', 'System', 'Glucose', 'pyglucose', 'pycosat', 'Win']"
Random strategy,26,10,None,0,0,0,0,0,0.0005,0.3299,"['AAFMFramework', 'Packages', 'pyglucose', 'pythonSat', 'pyPicosat', 'Solvers', 'MiniSAT', 'System', 'PicoSAT', 'Linux']"
Random strategy,27,11,None,0,0,0,0,0,0.0005,0.3456,"['AAFMFramework', 'Solvers', 'Glucose', 'MiniSAT', 'PicoSAT', 'Packages', 'System', 'pycosat', 'pyglucose', 'Win', 'pythonSat']"
Random strategy,28,9,None,0,0,0,0,0,0.0005,0.3588,"['AAFMFramework', 'Packages', 'Solvers', 'pycosat', 'pythonSat', 'System', 'Glucose', 'pyglucose', 'Win']"
Random strategy,29,5,None,0,0,0,0,0,0.0002,0.3664,"['AAFMFramework', 'Packages', 'pyglucose', 'System', 'Win']"
Random strategy,30,5,None,0,0,0,0,0,0.0003,0.374,"['AAFMFramework', 'System', 'Packages', 'pyglucose', 'Linux']"
