Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
UCT MCTS,1,3,None,100,300,253,253,253,0.3427,1.5406,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,2,3,None,100,300,250,250,250,0.3247,1.5432,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,3,3,None,100,300,236,236,236,0.329,1.4807,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,4,3,None,100,300,243,243,243,0.3188,1.443,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,5,3,None,100,300,267,267,267,0.3106,1.6364,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,6,3,None,100,300,282,282,282,0.3227,1.7493,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,7,3,None,100,300,241,241,241,0.3307,1.7501,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,8,5,None,100,500,317,317,317,0.7317,2.0441,"['AAFMFramework', 'System', 'Linux', 'Packages', 'pycosat']"
UCT MCTS,9,5,None,100,500,308,308,308,0.7394,2.0419,"['AAFMFramework', 'Packages', 'System', 'Linux', 'pythonSat']"
UCT MCTS,10,3,None,100,300,259,259,259,0.3209,2.0063,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,11,3,None,100,300,225,225,225,0.3295,1.6539,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,12,3,None,100,300,221,221,221,0.3311,1.3255,"['AAFMFramework', 'System', 'Win']"
UCT MCTS,13,3,None,100,300,233,233,233,0.3282,1.4024,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,14,3,None,100,300,261,261,261,0.3258,1.6879,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,15,3,None,100,300,271,271,271,0.3223,1.7532,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,16,3,None,100,300,255,255,255,0.3157,1.7528,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,17,3,None,100,300,253,253,253,0.3097,1.6361,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,18,3,None,100,300,278,278,278,0.3004,1.8573,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,19,7,None,100,700,290,290,290,0.9963,1.8981,"['AAFMFramework', 'System', 'Win', 'Packages', 'Solvers', 'PicoSAT', 'pycosat']"
UCT MCTS,20,3,None,100,300,231,231,231,0.3328,1.896,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,21,3,None,100,300,255,255,255,0.3197,1.6455,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,22,3,None,100,300,265,265,265,0.3133,1.7801,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,23,3,None,100,300,251,251,251,0.3311,1.7809,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,24,3,None,100,300,255,255,255,0.3292,1.7343,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,25,5,None,100,500,312,312,312,0.701,2.1064,"['AAFMFramework', 'System', 'Win', 'Packages', 'pythonSat']"
UCT MCTS,26,3,None,100,300,276,276,276,0.3127,2.1042,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,27,3,None,100,300,265,265,265,0.308,1.8617,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,28,3,None,100,300,252,252,252,0.3214,1.8194,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,29,3,None,100,300,254,254,254,0.3173,1.7217,"['AAFMFramework', 'System', 'Linux']"
UCT MCTS,30,5,None,100,500,317,317,317,0.7217,2.1685,"['AAFMFramework', 'System', 'Linux', 'Packages', 'pythonSat']"
