Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Flat Monte Carlo,1,3,None,100,200,79,79,0,0.0675,0.0987,"['AAFMFramework', 'System', 'Linux']"
Flat Monte Carlo,2,3,None,100,200,81,81,0,0.0631,0.1118,"['AAFMFramework', 'System', 'Linux']"
Flat Monte Carlo,3,3,None,100,200,95,95,0,0.0667,0.1332,"['AAFMFramework', 'System', 'Linux']"
Flat Monte Carlo,4,3,None,100,200,88,88,0,0.061,0.132,"['AAFMFramework', 'System', 'Linux']"
Flat Monte Carlo,5,3,None,100,200,91,91,0,0.0644,0.1393,"['AAFMFramework', 'System', 'Win']"
Flat Monte Carlo,6,3,None,100,200,92,92,0,0.0672,0.1451,"['AAFMFramework', 'System', 'Linux']"
Flat Monte Carlo,7,3,None,100,200,97,97,0,0.0706,0.1534,"['AAFMFramework', 'System', 'Win']"
Flat Monte Carlo,8,3,None,100,200,86,86,0,0.0637,0.1516,"['AAFMFramework', 'System', 'Win']"
Flat Monte Carlo,9,3,None,100,200,89,89,0,0.0665,0.1564,"['AAFMFramework', 'System', 'Win']"
Flat Monte Carlo,10,3,None,100,200,86,86,0,0.0638,0.1582,"['AAFMFramework', 'System', 'Win']"
Flat Monte Carlo,11,3,None,100,200,94,94,0,0.0658,0.1704,"['AAFMFramework', 'System', 'Linux']"
Flat Monte Carlo,12,3,None,100,200,86,86,0,0.0673,0.169,"['AAFMFramework', 'System', 'Linux']"
Flat Monte Carlo,13,3,None,100,200,93,93,0,0.0673,0.1802,"['AAFMFramework', 'System', 'Win']"
Flat Monte Carlo,14,3,None,100,200,90,90,0,0.0674,0.1815,"['AAFMFramework', 'System', 'Linux']"
Flat Monte Carlo,15,3,None,100,200,91,91,0,0.0658,0.1882,"['AAFMFramework', 'System', 'Linux']"
Flat Monte Carlo,16,3,None,100,200,92,92,0,0.0689,0.1927,"['AAFMFramework', 'System', 'Win']"
Flat Monte Carlo,17,3,None,100,200,88,88,0,0.0691,0.1954,"['AAFMFramework', 'System', 'Linux']"
Flat Monte Carlo,18,3,None,100,200,89,89,0,0.0656,0.2008,"['AAFMFramework', 'System', 'Linux']"
Flat Monte Carlo,19,3,None,100,200,90,90,0,0.065,0.2063,"['AAFMFramework', 'System', 'Linux']"
Flat Monte Carlo,20,3,None,100,200,94,94,0,0.0654,0.2147,"['AAFMFramework', 'System', 'Win']"
Flat Monte Carlo,21,3,None,100,200,88,88,0,0.0645,0.2152,"['AAFMFramework', 'System', 'Linux']"
Flat Monte Carlo,22,3,None,100,200,94,94,0,0.0629,0.2249,"['AAFMFramework', 'System', 'Win']"
Flat Monte Carlo,23,3,None,100,200,92,92,0,0.0671,0.2274,"['AAFMFramework', 'System', 'Win']"
Flat Monte Carlo,24,3,None,100,200,88,88,0,0.063,0.2295,"['AAFMFramework', 'System', 'Linux']"
Flat Monte Carlo,25,3,None,100,200,89,89,0,0.0665,0.2349,"['AAFMFramework', 'System', 'Win']"
Flat Monte Carlo,26,3,None,100,200,92,92,0,0.0611,0.2425,"['AAFMFramework', 'System', 'Win']"
Flat Monte Carlo,27,3,None,100,200,89,89,0,0.0659,0.2447,"['AAFMFramework', 'System', 'Linux']"
Flat Monte Carlo,28,3,None,100,200,91,91,0,0.066,0.2525,"['AAFMFramework', 'System', 'Win']"
Flat Monte Carlo,29,3,None,100,200,82,82,0,0.0577,0.2508,"['AAFMFramework', 'System', 'Win']"
Flat Monte Carlo,30,3,None,100,200,90,90,0,0.0698,0.2596,"['AAFMFramework', 'System', 'Linux']"
