Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Greedy MCTS,1,3,None,100,300,236,236,236,0.3571,1.3416,"['AAFMFramework', 'System', 'Linux']"
Greedy MCTS,2,5,None,100,500,294,294,294,0.7391,1.814,"['AAFMFramework', 'Packages', 'System', 'pythonSat', 'Win']"
Greedy MCTS,3,3,None,100,300,251,251,251,0.3439,1.5178,"['AAFMFramework', 'System', 'Win']"
Greedy MCTS,4,3,None,100,300,199,199,199,0.358,1.1285,"['AAFMFramework', 'System', 'Linux']"
Greedy MCTS,5,5,None,100,500,269,269,269,0.792,1.6528,"['AAFMFramework', 'System', 'Linux', 'Packages', 'pyPicosat']"
Greedy MCTS,6,7,None,100,700,326,326,326,1.2204,2.0347,"['AAFMFramework', 'System', 'Win', 'Packages', 'Solvers', 'PicoSAT', 'pycosat']"
Greedy MCTS,7,5,None,100,500,295,295,295,0.7946,1.8377,"['AAFMFramework', 'System', 'Packages', 'pycosat', 'Win']"
Greedy MCTS,8,3,None,100,300,215,215,215,0.3875,1.2716,"['AAFMFramework', 'System', 'Linux']"
Greedy MCTS,9,3,None,100,300,253,253,253,0.3633,1.6008,"['AAFMFramework', 'System', 'Win']"
Greedy MCTS,10,3,None,100,300,228,228,228,0.3782,1.3908,"['AAFMFramework', 'System', 'Win']"
Greedy MCTS,11,5,None,100,500,310,310,310,0.7787,1.9963,"['AAFMFramework', 'System', 'Packages', 'pythonSat', 'Win']"
Greedy MCTS,12,5,None,100,500,315,315,315,0.7347,2.0933,"['AAFMFramework', 'Packages', 'System', 'pythonSat', 'Win']"
Greedy MCTS,13,3,None,100,300,251,251,251,0.3502,1.5903,"['AAFMFramework', 'System', 'Win']"
Greedy MCTS,14,5,None,100,500,285,285,285,0.8033,1.8761,"['AAFMFramework', 'Packages', 'System', 'Linux', 'pycosat']"
Greedy MCTS,15,3,None,100,300,257,257,257,0.3552,1.7055,"['AAFMFramework', 'System', 'Win']"
Greedy MCTS,16,8,None,100,800,151,151,151,0.928,1.0005,"['AAFMFramework', 'Solvers', 'System', 'Win', 'Packages', 'pythonSat', 'pycosat', 'Glucose']"
Greedy MCTS,17,5,None,100,500,296,296,296,0.7976,2.0201,"['AAFMFramework', 'Packages', 'System', 'Linux', 'pyPicosat']"
Greedy MCTS,18,3,None,100,300,251,251,251,0.3654,1.7058,"['AAFMFramework', 'System', 'Win']"
Greedy MCTS,19,3,None,100,300,201,201,201,0.3781,1.3031,"['AAFMFramework', 'System', 'Linux']"
Greedy MCTS,20,5,None,100,500,269,269,269,0.8103,1.7958,"['AAFMFramework', 'System', 'Linux', 'Packages', 'pyPicosat']"
Greedy MCTS,21,7,None,100,700,269,269,269,1.186,1.8172,"['AAFMFramework', 'Packages', 'System', 'Linux', 'Solvers', 'PicoSAT', 'pyPicosat']"
Greedy MCTS,22,3,None,100,300,223,223,223,0.3674,1.4738,"['AAFMFramework', 'System', 'Linux']"
Greedy MCTS,23,9,None,100,900,310,310,310,1.4803,2.118,"['AAFMFramework', 'Packages', 'System', 'pyPicosat', 'Linux', 'pycosat', 'pyglucose', 'Solvers', 'Glucose']"
Greedy MCTS,24,5,None,100,500,288,288,288,0.7243,1.9825,"['AAFMFramework', 'System', 'Win', 'Packages', 'pycosat']"
Greedy MCTS,25,5,None,100,500,271,271,271,0.7609,1.8692,"['AAFMFramework', 'System', 'Linux', 'Packages', 'pyPicosat']"
Greedy MCTS,26,3,None,100,300,253,253,253,0.3461,1.8202,"['AAFMFramework', 'System', 'Linux']"
Greedy MCTS,27,3,None,100,300,218,218,218,0.3633,1.4943,"['AAFMFramework', 'System', 'Win']"
Greedy MCTS,28,3,None,100,300,254,254,254,0.3576,1.8139,"['AAFMFramework', 'System', 'Linux']"
Greedy MCTS,29,5,None,100,500,312,312,312,0.7583,2.1809,"['AAFMFramework', 'System', 'Packages', 'pythonSat', 'Win']"
Greedy MCTS,30,3,None,100,300,224,224,224,0.3532,1.5643,"['AAFMFramework', 'System', 'Linux']"
