Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
Flat Monte Carlo, 1, 0, 0, GPL, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 2, 5, 5, Search, 100, 0, 0, 0, 0.3764
Flat Monte Carlo, 3, 6, 6, GraphType, 100, 0, 0, 0, 0.3655
Flat Monte Carlo, 4, 7, 7, Driver, 100, 0, 0, 0, 0.3182
Flat Monte Carlo, 5, 7, 7, Undirected, 100, 0, 0, 0, 0.2509
Flat Monte Carlo, 6, 6, 6, Benchmark, 100, 0, 0, 0, 0.2089
Flat Monte Carlo, 7, 5, 5, Weight, 100, 0, 0, 0, 0.1483
Flat Monte Carlo, 8, 4, 4, Algorithms, 100, 0, 0, 0, 0.1015
Flat Monte Carlo, 9, 10, 10, Num, 100, 0, 0, 0, 0.1014
Flat Monte Carlo, 10, 0, 0, GPL, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 11, 5, 5, Driver, 100, 0, 0, 0, 0.3601
Flat Monte Carlo, 12, 5, 5, GraphType, 100, 0, 0, 0, 0.319
Flat Monte Carlo, 13, 6, 6, Benchmark, 100, 0, 0, 0, 0.2793
Flat Monte Carlo, 14, 5, 5, Weight, 100, 0, 0, 0, 0.239
Flat Monte Carlo, 15, 4, 4, Directed, 100, 0, 0, 0, 0.1947
Flat Monte Carlo, 16, 3, 3, Undirected, 100, 0, 0, 0, 0.158
Flat Monte Carlo, 17, 2, 2, Search, 100, 0, 0, 0, 0.1205
Flat Monte Carlo, 18, 3, 3, Algorithms, 100, 0, 0, 0, 0.0814
Flat Monte Carlo, 19, 9, 9, Shortest, 100, 0, 0, 0, 0.0599
Flat Monte Carlo, 20, 0, 0, GPL, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 21, 5, 5, GraphType, 100, 0, 0, 0, 0.3543
Flat Monte Carlo, 22, 6, 6, Search, 100, 0, 0, 0, 0.3297
Flat Monte Carlo, 23, 7, 7, Driver, 100, 0, 0, 0, 0.3083
Flat Monte Carlo, 24, 7, 7, Benchmark, 100, 0, 0, 0, 0.2485
Flat Monte Carlo, 25, 6, 6, Algorithms, 100, 0, 0, 0, 0.1932
Flat Monte Carlo, 26, 12, 12, Num, 100, 0, 0, 0, 0.2443
Flat Monte Carlo, 27, 0, 0, GPL, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 28, 5, 5, Driver, 100, 0, 0, 0, 0.3826
Flat Monte Carlo, 29, 5, 5, GraphType, 100, 0, 0, 0, 0.3337
Flat Monte Carlo, 30, 6, 6, Search, 100, 0, 0, 0, 0.2721
