Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Greedy MCTS, 1, 10, None, 100, 0, 0, 843, 2.7312, 12.069740999999999
Greedy MCTS, 2, 13, None, 100, 0, 0, 750, 4.0621, 11.126597
Greedy MCTS, 3, 12, None, 100, 0, 0, 753, 3.5278, 11.08288
Greedy MCTS, 4, 12, None, 100, 0, 0, 745, 3.4728, 10.963834
Greedy MCTS, 5, 11, None, 100, 0, 0, 866, 3.2103, 11.991389
Greedy MCTS, 6, 10, None, 100, 0, 0, 875, 2.7785, 12.596145
Greedy MCTS, 7, 12, None, 100, 0, 0, 933, 3.561, 12.634697
Greedy MCTS, 8, 12, None, 100, 0, 0, 798, 3.6074, 11.680009
Greedy MCTS, 9, 13, None, 100, 0, 0, 798, 3.8714, 11.693849
Greedy MCTS, 10, 12, None, 100, 0, 0, 870, 3.5552, 12.328325
Greedy MCTS, 11, 12, None, 100, 0, 0, 800, 3.5841, 11.802341
Greedy MCTS, 12, 12, None, 100, 0, 0, 778, 3.4835, 11.536757999999999
Greedy MCTS, 13, 12, None, 100, 0, 0, 807, 3.5847, 11.817601
Greedy MCTS, 14, 12, None, 100, 0, 0, 751, 3.4622, 11.177705
Greedy MCTS, 15, 12, None, 100, 0, 0, 858, 3.64, 12.504702
Greedy MCTS, 16, 10, None, 100, 0, 0, 855, 2.849, 12.644205
Greedy MCTS, 17, 12, None, 100, 0, 0, 804, 3.6284, 12.127073999999999
Greedy MCTS, 18, 12, None, 100, 0, 0, 819, 3.6346, 12.363125
Greedy MCTS, 19, 10, None, 100, 0, 0, 832, 2.8472, 12.162977999999999
Greedy MCTS, 20, 15, None, 100, 0, 0, 752, 4.3894, 11.288889
Greedy MCTS, 21, 11, None, 100, 0, 0, 498, 2.8933, 9.444377
Greedy MCTS, 22, 10, None, 100, 0, 0, 774, 2.8839, 11.561793999999999
Greedy MCTS, 23, 11, None, 100, 0, 0, 717, 2.9894, 11.139968999999999
Greedy MCTS, 24, 12, None, 100, 0, 0, 696, 3.5189, 11.029563999999999
Greedy MCTS, 25, 12, None, 100, 0, 0, 936, 3.5354, 12.822913
Greedy MCTS, 26, 12, None, 100, 0, 0, 782, 3.5994, 11.994648999999999
Greedy MCTS, 27, 12, None, 100, 0, 0, 710, 3.5695, 11.186800999999999
Greedy MCTS, 28, 12, None, 100, 0, 0, 813, 3.5847, 12.210941
Greedy MCTS, 29, 9, None, 100, 0, 0, 788, 2.3917, 12.39696
Greedy MCTS, 30, 11, None, 100, 0, 0, 862, 3.2924, 12.630913
