Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
Greedy MCTS, 1, 1, 1, GPL, 100, 0, 0, 101, 0.2656
Greedy MCTS, 2, 5, 5, Driver, 100, 0, 0, 202, 0.1806
Greedy MCTS, 3, 5, 5, Benchmark, 100, 0, 0, 303, 0.2435
Greedy MCTS, 4, 4, 4, Search, 100, 0, 0, 404, 0.2911
Greedy MCTS, 5, 5, 5, GraphType, 100, 0, 0, 505, 0.334
Greedy MCTS, 6, 6, 6, Weight, 100, 0, 0, 606, 0.3403
Greedy MCTS, 7, 5, 5, DFS, 100, 0, 0, 683, 0.384
Greedy MCTS, 8, 4, 4, Algorithms, 100, 0, 0, 753, 0.3589
Greedy MCTS, 9, 10, 10, Num, 100, 0, 0, 843, 0.3307
Greedy MCTS, 10, 1, 1, GPL, 100, 0, 0, 101, 0.4096
Greedy MCTS, 11, 5, 5, Algorithms, 100, 0, 0, 202, 0.3887
Greedy MCTS, 12, 11, 11, Cycle, 100, 0, 0, 296, 0.3046
Greedy MCTS, 13, 10, 10, SCC, 100, 0, 0, 352, 0.319
Greedy MCTS, 14, 9, 9, Driver, 100, 0, 0, 425, 0.331
Greedy MCTS, 15, 9, 9, Weight, 100, 0, 0, 499, 0.3365
Greedy MCTS, 16, 8, 8, GraphType, 100, 0, 0, 539, 0.3519
Greedy MCTS, 17, 9, 9, Undirected, 100, 0, 0, 634, 0.3259
Greedy MCTS, 18, 8, 8, Search, 100, 0, 0, 717, 0.3207
Greedy MCTS, 19, 9, 9, DFS, 100, 0, 0, 749, 0.3474
Greedy MCTS, 20, 8, 8, Benchmark, 100, 0, 0, 750, 0.3289
Greedy MCTS, 21, 7, 7, Directed, 100, 0, 0, 750, 0.2846
Greedy MCTS, 22, 1, 1, GPL, 100, 0, 0, 101, 0.2507
Greedy MCTS, 23, 5, 5, Search, 100, 0, 0, 202, 0.1791
Greedy MCTS, 24, 6, 6, Driver, 100, 0, 0, 303, 0.2525
Greedy MCTS, 25, 6, 6, Weight, 100, 0, 0, 404, 0.2987
Greedy MCTS, 26, 5, 5, Benchmark, 100, 0, 0, 497, 0.3507
Greedy MCTS, 27, 4, 4, DFS, 100, 0, 0, 578, 0.3506
Greedy MCTS, 28, 3, 3, GraphType, 100, 0, 0, 657, 0.363
Greedy MCTS, 29, 4, 4, Undirected, 100, 0, 0, 722, 0.3802
Greedy MCTS, 30, 3, 3, Algorithms, 100, 0, 0, 739, 0.4
Greedy MCTS, 31, 9, 9, Directed, 100, 0, 0, 753, 0.3592
Greedy MCTS, 32, 8, 8, CC, 100, 0, 0, 753, 0.33
Greedy MCTS, 33, 1, 1, GPL, 100, 0, 0, 101, 0.2041
Greedy MCTS, 34, 5, 5, Weight, 100, 0, 0, 202, 0.1817
Greedy MCTS, 35, 4, 4, GraphType, 100, 0, 0, 303, 0.2441
Greedy MCTS, 36, 5, 5, Directed, 100, 0, 0, 404, 0.3017
Greedy MCTS, 37, 4, 4, Driver, 100, 0, 0, 501, 0.3267
Greedy MCTS, 38, 4, 4, Benchmark, 100, 0, 0, 581, 0.3646
Greedy MCTS, 39, 3, 3, Search, 100, 0, 0, 656, 0.3671
Greedy MCTS, 40, 4, 4, DFS, 100, 0, 0, 717, 0.3841
Greedy MCTS, 41, 3, 3, Undirected, 100, 0, 0, 745, 0.3902
Greedy MCTS, 42, 2, 2, Algorithms, 100, 0, 0, 745, 0.3692
Greedy MCTS, 43, 8, 8, Prim, 100, 0, 0, 745, 0.3278
Greedy MCTS, 44, 1, 1, GPL, 100, 0, 0, 101, 0.2279
Greedy MCTS, 45, 5, 5, Driver, 100, 0, 0, 202, 0.1737
Greedy MCTS, 46, 5, 5, Benchmark, 100, 0, 0, 303, 0.2477
Greedy MCTS, 47, 4, 4, Weight, 100, 0, 0, 404, 0.2971
Greedy MCTS, 48, 3, 3, Search, 100, 0, 0, 505, 0.3332
Greedy MCTS, 49, 4, 4, GraphType, 100, 0, 0, 605, 0.3583
Greedy MCTS, 50, 5, 5, Undirected, 100, 0, 0, 686, 0.3968
Greedy MCTS, 51, 4, 4, Algorithms, 100, 0, 0, 769, 0.3741
Greedy MCTS, 52, 10, 10, BFS, 100, 0, 0, 824, 0.3999
Greedy MCTS, 53, 9, 9, Prim, 100, 0, 0, 866, 0.3912
Greedy MCTS, 54, 1, 1, GPL, 100, 0, 0, 101, 0.271
Greedy MCTS, 55, 5, 5, GraphType, 100, 0, 0, 202, 0.1846
Greedy MCTS, 56, 6, 6, Driver, 100, 0, 0, 303, 0.2498
Greedy MCTS, 57, 6, 6, Search, 100, 0, 0, 404, 0.2927
Greedy MCTS, 58, 7, 7, Undirected, 100, 0, 0, 505, 0.3318
Greedy MCTS, 59, 6, 6, Benchmark, 100, 0, 0, 606, 0.353
Greedy MCTS, 60, 5, 5, Algorithms, 100, 0, 0, 705, 0.341
Greedy MCTS, 61, 11, 11, Directed, 100, 0, 0, 801, 0.3623
Greedy MCTS, 62, 10, 10, CC, 100, 0, 0, 875, 0.3801
Greedy MCTS, 63, 1, 1, GPL, 100, 0, 0, 101, 0.2287
Greedy MCTS, 64, 5, 5, GraphType, 100, 0, 0, 202, 0.192
