Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
UCT MCTS, 1, 13, None, 100, 0, 0, 807, 3.615, 5.832173999999999
UCT MCTS, 2, 13, None, 100, 0, 0, 756, 3.6459, 5.832796999999999
UCT MCTS, 3, 13, None, 100, 0, 0, 628, 3.5549, 5.456396
UCT MCTS, 4, 13, None, 100, 0, 0, 815, 3.7514, 5.954896
UCT MCTS, 5, 13, None, 100, 0, 0, 767, 3.7123, 5.954638999999999
UCT MCTS, 6, 13, None, 100, 0, 0, 811, 3.7292, 6.002835999999999
UCT MCTS, 7, 13, None, 100, 0, 0, 821, 3.638, 6.006956
UCT MCTS, 8, 13, None, 100, 0, 0, 786, 3.6674, 6.006698
UCT MCTS, 9, 13, None, 100, 0, 0, 750, 3.6304, 5.658747
UCT MCTS, 10, 13, None, 100, 0, 0, 760, 3.6466, 5.631647
UCT MCTS, 11, 13, None, 100, 0, 0, 802, 3.6967, 6.108172
UCT MCTS, 12, 13, None, 100, 0, 0, 828, 3.692, 6.3655029999999995
UCT MCTS, 13, 13, None, 100, 0, 0, 784, 3.6339, 6.365256
UCT MCTS, 14, 13, None, 100, 0, 0, 888, 3.8542, 6.5613269999999995
UCT MCTS, 15, 13, None, 100, 0, 0, 833, 3.8693, 6.561081
UCT MCTS, 16, 13, None, 100, 0, 0, 841, 3.7912, 6.626850999999999
UCT MCTS, 17, 13, None, 100, 0, 0, 804, 3.841, 6.6266039999999995
UCT MCTS, 18, 13, None, 100, 0, 0, 839, 3.9205, 6.6834229999999994
UCT MCTS, 19, 13, None, 100, 0, 0, 843, 3.7737, 6.7901869999999995
UCT MCTS, 20, 13, None, 100, 0, 0, 808, 3.774, 6.789941
UCT MCTS, 21, 11, None, 100, 0, 0, 908, 3.1146, 6.864195
UCT MCTS, 22, 13, None, 100, 0, 0, 787, 3.784, 6.863302999999999
UCT MCTS, 23, 12, None, 100, 0, 0, 797, 3.491, 6.130514
UCT MCTS, 24, 13, None, 100, 0, 0, 832, 3.7681, 6.763418
UCT MCTS, 25, 13, None, 100, 0, 0, 826, 3.8249, 6.76319
UCT MCTS, 26, 13, None, 100, 0, 0, 798, 3.6966, 6.500781
UCT MCTS, 27, 13, None, 100, 0, 0, 808, 3.7265, 6.297365999999999
UCT MCTS, 28, 10, None, 100, 0, 0, 847, 2.7675, 6.657006
UCT MCTS, 29, 13, None, 100, 0, 0, 747, 3.6572, 6.656114
UCT MCTS, 30, 13, None, 100, 0, 0, 819, 3.741, 6.458997999999999
Greedy MCTS, 31, 10, None, 100, 0, 0, 843, 2.7311, 12.069498
Greedy MCTS, 32, 13, None, 100, 0, 0, 750, 4.062, 12.070416999999999
Greedy MCTS, 33, 12, None, 100, 0, 0, 753, 3.5278, 11.12698
Greedy MCTS, 34, 12, None, 100, 0, 0, 745, 3.4727, 11.083186999999999
Greedy MCTS, 35, 11, None, 100, 0, 0, 866, 3.2102, 11.991945
Greedy MCTS, 36, 10, None, 100, 0, 0, 875, 2.7784, 12.596725
Greedy MCTS, 37, 12, None, 100, 0, 0, 933, 3.5609, 12.635273
Greedy MCTS, 38, 12, None, 100, 0, 0, 798, 3.6073, 12.635003
Greedy MCTS, 39, 13, None, 100, 0, 0, 798, 3.8713, 11.693837
Greedy MCTS, 40, 12, None, 100, 0, 0, 870, 3.5551, 12.328317
Greedy MCTS, 41, 12, None, 100, 0, 0, 800, 3.5839, 12.328633
Greedy MCTS, 42, 12, None, 100, 0, 0, 778, 3.4834, 11.802928999999999
Greedy MCTS, 43, 12, None, 100, 0, 0, 807, 3.5842, 11.816493
Greedy MCTS, 44, 12, None, 100, 0, 0, 751, 3.4621, 11.817909
Greedy MCTS, 45, 12, None, 100, 0, 0, 858, 3.6398, 12.505244999999999
Greedy MCTS, 46, 10, None, 100, 0, 0, 855, 2.8489, 12.647217
Greedy MCTS, 47, 12, None, 100, 0, 0, 804, 3.6283, 12.644511999999999
Greedy MCTS, 48, 12, None, 100, 0, 0, 819, 3.6345, 12.363113
Greedy MCTS, 49, 10, None, 100, 0, 0, 832, 2.8471, 12.363432999999999
Greedy MCTS, 50, 15, None, 100, 0, 0, 752, 4.3893, 12.163286
Greedy MCTS, 51, 11, None, 100, 0, 0, 498, 2.8932, 11.289261
Greedy MCTS, 52, 10, None, 100, 0, 0, 774, 2.8838, 11.562128999999999
Greedy MCTS, 53, 11, None, 100, 0, 0, 717, 2.9893, 11.562638
Greedy MCTS, 54, 12, None, 100, 0, 0, 696, 3.5188, 11.14035
Greedy MCTS, 55, 12, None, 100, 0, 0, 936, 3.5354, 12.822709
Greedy MCTS, 56, 12, None, 100, 0, 0, 782, 3.5993, 12.823285
Greedy MCTS, 57, 12, None, 100, 0, 0, 710, 3.5694, 11.994966
Greedy MCTS, 58, 12, None, 100, 0, 0, 813, 3.5847, 12.210929
Greedy MCTS, 59, 9, None, 100, 0, 0, 788, 2.3916, 12.397597
Greedy MCTS, 60, 11, None, 100, 0, 0, 862, 3.2923, 12.630709
