Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
A* search, 1, 13, None, 0, 0, 0, 0, 399.7716, 4475.346136
A* search, 2, 13, None, 0, 0, 0, 0, 396.762, 4475.379609
A* search, 3, 13, None, 0, 0, 0, 0, 397.011, 4475.411141
A* search, 4, 13, None, 0, 0, 0, 0, 399.1267, 4475.442673
A* search, 5, 13, None, 0, 0, 0, 0, 397.2319, 4475.4742049999995
A* search, 6, 13, None, 0, 0, 0, 0, 395.4615, 4475.505768999999
A* search, 7, 13, None, 0, 0, 0, 0, 398.8343, 4475.537429
A* search, 8, 13, None, 0, 0, 0, 0, 397.4198, 4475.568961
A* search, 9, 13, None, 0, 0, 0, 0, 398.4287, 4475.600493
A* search, 10, 13, None, 0, 0, 0, 0, 399.1956, 4475.632089
A* search, 11, 13, None, 0, 0, 0, 0, 398.0079, 4475.663621
A* search, 12, 13, None, 0, 0, 0, 0, 399.571, 4475.695433
A* search, 13, 13, None, 0, 0, 0, 0, 396.8589, 4475.726965
A* search, 14, 13, None, 0, 0, 0, 0, 398.2773, 4475.758497
A* search, 15, 13, None, 0, 0, 0, 0, 399.2585, 4475.790029
A* search, 16, 13, None, 0, 0, 0, 0, 398.3248, 4475.821561
A* search, 17, 13, None, 0, 0, 0, 0, 397.8619, 4475.853093
A* search, 18, 13, None, 0, 0, 0, 0, 398.5031, 4475.8846889999995
A* search, 19, 13, None, 0, 0, 0, 0, 396.3692, 4475.9162209999995
A* search, 20, 13, None, 0, 0, 0, 0, 395.1586, 4475.9477529999995
A* search, 21, 13, None, 0, 0, 0, 0, 392.2358, 4475.979284999999
A* search, 22, 13, None, 0, 0, 0, 0, 396.8657, 4476.010816999999
A* search, 23, 13, None, 0, 0, 0, 0, 393.4224, 4476.042885
A* search, 24, 13, None, 0, 0, 0, 0, 393.4825, 4476.074417
A* search, 25, 13, None, 0, 0, 0, 0, 394.3168, 4476.105949
A* search, 26, 13, None, 0, 0, 0, 0, 397.5588, 4476.137545
A* search, 27, 13, None, 0, 0, 0, 0, 394.2737, 4476.169077
A* search, 28, 13, None, 0, 0, 0, 0, 393.9738, 4476.2006089999995
A* search, 29, 13, None, 0, 0, 0, 0, 393.2545, 4476.2321409999995
A* search, 30, 13, None, 0, 0, 0, 0, 395.2376, 4476.2636729999995
