Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Flat Monte Carlo, 1, 14, None, 100, 0, 0, 0, 4.7706, 1.170193
Flat Monte Carlo, 2, 13, None, 100, 0, 0, 0, 4.5902, 0.41572699999999996
Flat Monte Carlo, 3, 15, None, 100, 0, 0, 0, 4.9953, 0.458891
Flat Monte Carlo, 4, 16, None, 100, 0, 0, 0, 5.2789, 0.501151
Flat Monte Carlo, 5, 17, None, 100, 0, 0, 0, 5.7806, 0.578967
Flat Monte Carlo, 6, 16, None, 100, 0, 0, 0, 6.04, 0.634811
Flat Monte Carlo, 7, 13, None, 100, 0, 0, 0, 4.5995, 0.655319
Flat Monte Carlo, 8, 13, None, 100, 0, 0, 0, 4.3455, 0.6968409999999999
Flat Monte Carlo, 9, 13, None, 100, 0, 0, 0, 4.3594, 0.724421
Flat Monte Carlo, 10, 16, None, 100, 0, 0, 0, 5.4098, 0.787249
Flat Monte Carlo, 11, 14, None, 100, 0, 0, 0, 4.6276, 0.8142849999999999
Flat Monte Carlo, 12, 17, None, 100, 0, 0, 0, 5.7234, 0.869285
Flat Monte Carlo, 13, 13, None, 100, 0, 0, 0, 4.3795, 0.9066489999999999
Flat Monte Carlo, 14, 15, None, 100, 0, 0, 0, 5.0974, 0.9993369999999999
Flat Monte Carlo, 15, 14, None, 100, 0, 0, 0, 4.8207, 0.9875929999999999
Flat Monte Carlo, 16, 17, None, 100, 0, 0, 0, 5.4553, 1.0562529999999999
Flat Monte Carlo, 17, 17, None, 100, 0, 0, 0, 5.5946, 1.109657
Flat Monte Carlo, 18, 14, None, 100, 0, 0, 0, 4.8463, 1.143089
Flat Monte Carlo, 19, 14, None, 100, 0, 0, 0, 4.9618, 1.190817
Flat Monte Carlo, 20, 16, None, 100, 0, 0, 0, 5.1975, 1.230564
Flat Monte Carlo, 21, 13, None, 100, 0, 0, 0, 4.5166, 1.2709679999999999
Flat Monte Carlo, 22, 16, None, 100, 0, 0, 0, 5.198, 1.3137079999999999
Flat Monte Carlo, 23, 13, None, 100, 0, 0, 0, 4.4198, 1.3687639999999999
Flat Monte Carlo, 24, 14, None, 100, 0, 0, 0, 4.7911, 1.381108
Flat Monte Carlo, 25, 16, None, 100, 0, 0, 0, 5.3544, 1.4424
Flat Monte Carlo, 26, 16, None, 100, 0, 0, 0, 5.3788, 1.499156
Flat Monte Carlo, 27, 16, None, 100, 0, 0, 0, 5.245, 1.541076
Flat Monte Carlo, 28, 17, None, 100, 0, 0, 0, 6.4902, 1.599476
Flat Monte Carlo, 29, 15, None, 100, 0, 0, 0, 5.0081, 1.633592
Flat Monte Carlo, 30, 13, None, 100, 0, 0, 0, 4.3587, 1.6741039999999998
