Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
Greedy MCTS, 1, 1, 1, TankWar, 100, 0, 0, 101, 0.6607
Greedy MCTS, 2, 9, 9, GUI, 100, 0, 0, 202, 0.6097
Greedy MCTS, 3, 10, 10, Platform, 100, 0, 0, 303, 0.4582
Greedy MCTS, 4, 11, 11, AI, 100, 0, 0, 404, 0.4124
Greedy MCTS, 5, 12, 12, Easy, 100, 0, 0, 505, 0.4508
Greedy MCTS, 6, 10, 10, Tanks, 100, 0, 0, 606, 0.5357
Greedy MCTS, 7, 12, 12, Language, 100, 0, 0, 707, 0.5274
Greedy MCTS, 8, 13, 13, Handy, 100, 0, 0, 808, 0.5255
Greedy MCTS, 9, 11, 11, Map, 100, 0, 0, 909, 0.5517
Greedy MCTS, 10, 13, 13, M_780, 100, 0, 0, 1010, 0.5889
Greedy MCTS, 11, 10, 10, DE, 100, 0, 0, 1111, 0.5394
Greedy MCTS, 12, 8, 8, Germany_Leopard, 100, 0, 0, 1212, 0.5058
Greedy MCTS, 13, 1, 1, TankWar, 100, 0, 0, 101, 0.6228
Greedy MCTS, 14, 9, 9, GUI, 100, 0, 0, 202, 0.6559
Greedy MCTS, 15, 10, 10, Platform, 100, 0, 0, 303, 0.5694
Greedy MCTS, 16, 11, 11, Map, 100, 0, 0, 404, 0.4863
Greedy MCTS, 17, 13, 13, M_780, 100, 0, 0, 505, 0.4488
Greedy MCTS, 18, 10, 10, Language, 100, 0, 0, 606, 0.4857
Greedy MCTS, 19, 11, 11, AI, 100, 0, 0, 707, 0.5562
Greedy MCTS, 20, 12, 12, Tanks, 100, 0, 0, 808, 0.5553
Greedy MCTS, 21, 14, 14, DE, 100, 0, 0, 909, 0.5576
Greedy MCTS, 22, 12, 12, Easy, 100, 0, 0, 1010, 0.5389
Greedy MCTS, 23, 10, 10, Handy, 100, 0, 0, 1111, 0.5148
Greedy MCTS, 24, 8, 8, USA_M1Abrams, 100, 0, 0, 1212, 0.5029
Greedy MCTS, 25, 1, 1, TankWar, 100, 0, 0, 101, 0.6549
Greedy MCTS, 26, 9, 9, Language, 100, 0, 0, 202, 0.5771
Greedy MCTS, 27, 10, 10, Tanks, 100, 0, 0, 303, 0.4604
Greedy MCTS, 28, 12, 12, EN, 100, 0, 0, 404, 0.4107
Greedy MCTS, 29, 10, 10, AI, 100, 0, 0, 505, 0.4803
Greedy MCTS, 30, 11, 11, Platform, 100, 0, 0, 606, 0.4989
Greedy MCTS, 31, 12, 12, GUI, 100, 0, 0, 707, 0.5318
Greedy MCTS, 32, 13, 13, PC, 100, 0, 0, 808, 0.5598
Greedy MCTS, 33, 11, 11, Map, 100, 0, 0, 909, 0.5729
Greedy MCTS, 34, 13, 13, M_240, 100, 0, 0, 1010, 0.5469
Greedy MCTS, 35, 10, 10, China_Type99, 100, 0, 0, 1111, 0.5441
Greedy MCTS, 36, 9, 9, Hard, 100, 0, 0, 1212, 0.5106
Greedy MCTS, 37, 1, 1, TankWar, 100, 0, 0, 101, 0.6283
Greedy MCTS, 38, 9, 9, explodieren, 100, 0, 0, 202, 0.5597
Greedy MCTS, 39, 8, 8, Platform, 100, 0, 0, 303, 0.4832
Greedy MCTS, 40, 9, 9, AI, 100, 0, 0, 404, 0.4714
Greedy MCTS, 41, 10, 10, PC, 100, 0, 0, 505, 0.5564
Greedy MCTS, 42, 8, 8, Hard, 100, 0, 0, 606, 0.6051
Greedy MCTS, 43, 6, 6, Language, 100, 0, 0, 707, 0.6163
Greedy MCTS, 44, 7, 7, DE, 100, 0, 0, 808, 0.6692
Greedy MCTS, 45, 5, 5, Tanks, 100, 0, 0, 909, 0.6302
Greedy MCTS, 46, 7, 7, GUI, 100, 0, 0, 1010, 0.6921
Greedy MCTS, 47, 8, 8, USA_M1Abrams, 100, 0, 0, 1111, 0.676
Greedy MCTS, 48, 7, 7, Germany_Leopard, 100, 0, 0, 1212, 0.6683
Greedy MCTS, 49, 6, 6, Map, 100, 0, 0, 1313, 0.6871
Greedy MCTS, 50, 8, 8, China_Type99, 100, 0, 0, 1414, 0.6062
Greedy MCTS, 51, 7, 7, Soundeffekt, 100, 0, 0, 1515, 0.5928
Greedy MCTS, 52, 8, 8, Sound_fuer_pc, 100, 0, 0, 1616, 0.4885
Greedy MCTS, 53, 6, 6, M_240, 100, 0, 0, 1717, 0.5024
Greedy MCTS, 54, 1, 1, TankWar, 100, 0, 0, 101, 0.6449
Greedy MCTS, 55, 9, 9, Record, 100, 0, 0, 202, 0.6043
Greedy MCTS, 56, 10, 10, Re_fuer_Handy, 100, 0, 0, 303, 0.4876
Greedy MCTS, 57, 8, 8, Tanks, 100, 0, 0, 404, 0.4336
Greedy MCTS, 58, 10, 10, USA_M1Abrams, 100, 0, 0, 505, 0.5015
Greedy MCTS, 59, 9, 9, Platform, 100, 0, 0, 606, 0.5214
Greedy MCTS, 60, 10, 10, GUI, 100, 0, 0, 707, 0.602
Greedy MCTS, 61, 11, 11, PC, 100, 0, 0, 808, 0.5696
Greedy MCTS, 62, 9, 9, Map, 100, 0, 0, 909, 0.6073
Greedy MCTS, 63, 11, 11, AI, 100, 0, 0, 1010, 0.6178
Greedy MCTS, 64, 12, 12, Language, 100, 0, 0, 1111, 0.6018
Greedy MCTS, 65, 13, 13, Hard, 100, 0, 0, 1212, 0.6016
Greedy MCTS, 66, 11, 11, M_780, 100, 0, 0, 1313, 0.558
Greedy MCTS, 67, 8, 8, DE, 100, 0, 0, 1414, 0.5141
Greedy MCTS, 68, 1, 1, TankWar, 100, 0, 0, 101, 0.6599
Greedy MCTS, 69, 9, 9, Tanks, 100, 0, 0, 202, 0.6554
Greedy MCTS, 70, 11, 11, Platform, 100, 0, 0, 303, 0.689
Greedy MCTS, 71, 12, 12, Record, 100, 0, 0, 404, 0.6296
Greedy MCTS, 72, 13, 13, Re_fuer_Handy, 100, 0, 0, 505, 0.6078
Greedy MCTS, 73, 11, 11, AI, 100, 0, 0, 606, 0.5656
Greedy MCTS, 74, 12, 12, Language, 100, 0, 0, 707, 0.5529
Greedy MCTS, 75, 13, 13, explodieren, 100, 0, 0, 808, 0.5974
Greedy MCTS, 76, 12, 12, GUI, 100, 0, 0, 909, 0.6509
Greedy MCTS, 77, 13, 13, Map, 100, 0, 0, 1010, 0.6229
Greedy MCTS, 78, 15, 15, EN, 100, 0, 0, 1111, 0.6584
Greedy MCTS, 79, 13, 13, Handy, 100, 0, 0, 1212, 0.6849
Greedy MCTS, 80, 11, 11, USA_M1Abrams, 100, 0, 0, 1313, 0.5792
Greedy MCTS, 81, 10, 10, M_240, 100, 0, 0, 1414, 0.5792
Greedy MCTS, 82, 7, 7, Hard, 100, 0, 0, 1515, 0.5542
Greedy MCTS, 83, 1, 1, TankWar, 100, 0, 0, 101, 0.6355
Greedy MCTS, 84, 9, 9, Language, 100, 0, 0, 202, 0.5576
Greedy MCTS, 85, 10, 10, AI, 100, 0, 0, 303, 0.4097
Greedy MCTS, 86, 11, 11, Hard, 100, 0, 0, 404, 0.4359
Greedy MCTS, 87, 9, 9, Platform, 100, 0, 0, 505, 0.4975
Greedy MCTS, 88, 10, 10, explodieren, 100, 0, 0, 606, 0.5077
Greedy MCTS, 89, 9, 9, GUI, 100, 0, 0, 707, 0.5689
Greedy MCTS, 90, 10, 10, PC, 100, 0, 0, 808, 0.6246
Greedy MCTS, 91, 8, 8, Map, 100, 0, 0, 909, 0.631
Greedy MCTS, 92, 10, 10, Tanks, 100, 0, 0, 1010, 0.6042
Greedy MCTS, 93, 12, 12, DE, 100, 0, 0, 1111, 0.5324
Greedy MCTS, 94, 10, 10, M_240, 100, 0, 0, 1212, 0.5429
Greedy MCTS, 95, 7, 7, Germany_Leopard, 100, 0, 0, 1313, 0.5134
Greedy MCTS, 96, 1, 1, TankWar, 100, 0, 0, 101, 0.6432
Greedy MCTS, 97, 9, 9, GUI, 100, 0, 0, 202, 0.6222
Greedy MCTS, 98, 10, 10, Platform, 100, 0, 0, 303, 0.5467
Greedy MCTS, 99, 11, 11, Map, 100, 0, 0, 404, 0.4519
Greedy MCTS, 100, 13, 13, AI, 100, 0, 0, 505, 0.4592
Greedy MCTS, 101, 14, 14, Handy, 100, 0, 0, 606, 0.5119
Greedy MCTS, 102, 12, 12, Language, 100, 0, 0, 707, 0.5149
Greedy MCTS, 103, 13, 13, M_600, 100, 0, 0, 808, 0.5536
Greedy MCTS, 104, 10, 10, Tanks, 100, 0, 0, 909, 0.5674
Greedy MCTS, 105, 12, 12, EN, 100, 0, 0, 1010, 0.5631
Greedy MCTS, 106, 10, 10, Hard, 100, 0, 0, 1111, 0.5484
Greedy MCTS, 107, 8, 8, Germany_Leopard, 100, 0, 0, 1212, 0.5033
Greedy MCTS, 108, 1, 1, TankWar, 100, 0, 0, 101, 0.6449
Greedy MCTS, 109, 9, 9, AI, 100, 0, 0, 202, 0.649
Greedy MCTS, 110, 10, 10, Language, 100, 0, 0, 303, 0.5602
Greedy MCTS, 111, 11, 11, Platform, 100, 0, 0, 404, 0.4368
