Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Random strategy., 1, 26, None, 0, 0, 0, 0, 0.0052, 0.08452899999999999
Random strategy., 2, 27, None, 0, 0, 0, 0, 0.0063, 0.170812
Random strategy., 3, 23, None, 0, 0, 0, 0, 0.0058, 0.24326499999999998
Random strategy., 4, 29, None, 0, 0, 0, 0, 0.0062, 0.32197
Random strategy., 5, 27, None, 0, 0, 0, 0, 0.006, 0.40008299999999997
Random strategy., 6, 24, None, 0, 0, 0, 0, 0.0061, 0.479743
Random strategy., 7, 14, None, 0, 0, 0, 0, 0.0032, 0.517599
Random strategy., 8, 30, None, 0, 0, 0, 0, 0.0077, 0.609895
Random strategy., 9, 23, None, 0, 0, 0, 0, 0.0053, 0.6783469999999999
Random strategy., 10, 25, None, 0, 0, 0, 0, 0.0058, 0.751452
Random strategy., 11, 30, None, 0, 0, 0, 0, 0.007, 0.84154
Random strategy., 12, 19, None, 0, 0, 0, 0, 0.005, 0.9047839999999999
Random strategy., 13, 22, None, 0, 0, 0, 0, 0.0047, 0.9634159999999999
Random strategy., 14, 30, None, 0, 0, 0, 0, 0.0065, 1.0431759999999999
Random strategy., 15, 31, None, 0, 0, 0, 0, 0.0072, 1.1369639999999999
Random strategy., 16, 31, None, 0, 0, 0, 0, 0.0072, 1.230276
Random strategy., 17, 24, None, 0, 0, 0, 0, 0.0052, 1.297912
Random strategy., 18, 26, None, 0, 0, 0, 0, 0.0054, 1.3678919999999999
Random strategy., 19, 30, None, 0, 0, 0, 0, 0.0071, 1.458492
Random strategy., 20, 24, None, 0, 0, 0, 0, 0.0048, 1.52154
Random strategy., 21, 31, None, 0, 0, 0, 0, 0.0073, 1.6104189999999998
Random strategy., 22, 27, None, 0, 0, 0, 0, 0.0056, 1.684175
Random strategy., 23, 22, None, 0, 0, 0, 0, 0.0054, 1.755523
Random strategy., 24, 23, None, 0, 0, 0, 0, 0.0046, 1.814679
Random strategy., 25, 17, None, 0, 0, 0, 0, 0.0034, 1.858495
Random strategy., 26, 24, None, 0, 0, 0, 0, 0.0047, 1.9227239999999999
Random strategy., 27, 28, None, 0, 0, 0, 0, 0.0061, 1.9992999999999999
Random strategy., 28, 21, None, 0, 0, 0, 0, 0.0056, 2.07196
Random strategy., 29, 26, None, 0, 0, 0, 0, 0.0067, 2.158368
Random strategy., 30, 23, None, 0, 0, 0, 0, 0.006, 2.236032
