Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
UCT MCTS, 1, 14, None, 100, 0, 0, 1313, 6.787, 19.793146999999998
UCT MCTS, 2, 13, None, 100, 0, 0, 1212, 5.7552, 19.793063999999998
UCT MCTS, 3, 13, None, 100, 0, 0, 1212, 5.8238, 19.443507
UCT MCTS, 4, 15, None, 100, 0, 0, 1414, 7.5412, 20.178103
UCT MCTS, 5, 13, None, 100, 0, 0, 1212, 6.0976, 20.178511999999998
UCT MCTS, 6, 13, None, 100, 0, 0, 1212, 5.8498, 19.433840999999997
UCT MCTS, 7, 14, None, 100, 0, 0, 1313, 6.5027, 20.746275
UCT MCTS, 8, 16, None, 100, 0, 0, 1515, 6.9801, 23.239618999999998
UCT MCTS, 9, 16, None, 100, 0, 0, 1515, 8.3118, 23.840982999999998
UCT MCTS, 10, 17, None, 100, 0, 0, 1616, 8.304, 23.841345
UCT MCTS, 11, 14, None, 100, 0, 0, 1313, 6.4521, 23.79016
UCT MCTS, 12, 14, None, 100, 0, 0, 1313, 7.1706, 21.22235
UCT MCTS, 13, 15, None, 100, 0, 0, 1414, 7.9892, 21.219231
UCT MCTS, 14, 15, None, 100, 0, 0, 1414, 7.6277, 23.208726
UCT MCTS, 15, 14, None, 100, 0, 0, 1313, 7.1544, 23.209024
UCT MCTS, 16, 14, None, 100, 0, 0, 1313, 6.8054, 20.775285999999998
UCT MCTS, 17, 14, None, 100, 0, 0, 1313, 6.666, 20.775361
UCT MCTS, 18, 14, None, 100, 0, 0, 1313, 6.9201, 19.695054
UCT MCTS, 19, 13, None, 100, 0, 0, 1212, 6.1758, 19.694584
UCT MCTS, 20, 15, None, 100, 0, 0, 1414, 7.6389, 22.280245999999998
UCT MCTS, 21, 13, None, 100, 0, 0, 1212, 5.8217, 22.278277
UCT MCTS, 22, 14, None, 100, 0, 0, 1313, 6.5333, 20.95949
UCT MCTS, 23, 14, None, 100, 0, 0, 1313, 6.8801, 21.203886
UCT MCTS, 24, 13, None, 100, 0, 0, 1212, 5.9914, 21.204183999999998
UCT MCTS, 25, 15, None, 100, 0, 0, 1414, 7.5608, 22.708061999999998
UCT MCTS, 26, 13, None, 100, 0, 0, 1212, 5.9706, 22.703585
UCT MCTS, 27, 13, None, 100, 0, 0, 1212, 6.173, 21.088981999999998
UCT MCTS, 28, 16, None, 100, 0, 0, 1515, 8.3799, 23.141938
UCT MCTS, 29, 14, None, 100, 0, 0, 1313, 6.9628, 23.142263999999997
UCT MCTS, 30, 16, None, 100, 0, 0, 1515, 8.5095, 23.080341999999998
Greedy MCTS, 31, 13, None, 100, 0, 0, 1212, 6.3693, 41.425184
Greedy MCTS, 32, 13, None, 100, 0, 0, 1212, 6.5265, 41.426344
Greedy MCTS, 33, 13, None, 100, 0, 0, 1212, 6.3764, 41.424168
Greedy MCTS, 34, 18, None, 100, 0, 0, 1717, 10.1643, 45.63012
Greedy MCTS, 35, 15, None, 100, 0, 0, 1414, 7.9021, 45.630697
Greedy MCTS, 36, 16, None, 100, 0, 0, 1515, 9.32, 43.93826
Greedy MCTS, 37, 14, None, 100, 0, 0, 1313, 7.097, 43.939132
Greedy MCTS, 38, 13, None, 100, 0, 0, 1212, 6.516, 41.4985
Greedy MCTS, 39, 15, None, 100, 0, 0, 1414, 8.5249, 43.24426
Greedy MCTS, 40, 16, None, 100, 0, 0, 1515, 8.9137, 43.700464
Greedy MCTS, 41, 16, None, 100, 0, 0, 1515, 9.362, 43.701041
Greedy MCTS, 42, 14, None, 100, 0, 0, 1313, 7.7789, 45.379576
Greedy MCTS, 43, 15, None, 100, 0, 0, 1414, 7.2912, 45.375689
Greedy MCTS, 44, 13, None, 100, 0, 0, 1212, 6.5904, 43.786280999999995
Greedy MCTS, 45, 15, None, 100, 0, 0, 1414, 7.8646, 43.334664
Greedy MCTS, 46, 17, None, 100, 0, 0, 1616, 10.3497, 46.233571999999995
Greedy MCTS, 47, 18, None, 100, 0, 0, 1717, 11.6103, 46.23415
Greedy MCTS, 48, 17, None, 100, 0, 0, 1616, 8.9851, 46.891867999999995
Greedy MCTS, 49, 15, None, 100, 0, 0, 1414, 7.967, 46.890622
Greedy MCTS, 50, 16, None, 100, 0, 0, 1515, 9.1783, 44.32732
Greedy MCTS, 51, 15, None, 100, 0, 0, 1414, 7.7052, 44.326601
Greedy MCTS, 52, 14, None, 100, 0, 0, 1313, 7.2514, 43.749037
Greedy MCTS, 53, 15, None, 100, 0, 0, 1414, 8.4117, 44.333104
Greedy MCTS, 54, 20, None, 100, 0, 0, 1919, 12.3258, 47.683948
Greedy MCTS, 55, 13, None, 100, 0, 0, 1212, 6.3285, 47.676629999999996
Greedy MCTS, 56, 13, None, 100, 0, 0, 1212, 6.1228, 42.932871999999996
Greedy MCTS, 57, 16, None, 100, 0, 0, 1515, 10.1365, 45.790552
Greedy MCTS, 58, 13, None, 100, 0, 0, 1212, 6.4795, 45.787895
Greedy MCTS, 59, 16, None, 100, 0, 0, 1515, 8.9546, 44.80338
Greedy MCTS, 60, 15, None, 100, 0, 0, 1414, 7.6794, 44.803957
