Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
UCT MCTS, 1, 1, 1, TankWar, 100, 0, 0, 101, 0.5999
UCT MCTS, 2, 9, 9, AI, 100, 0, 0, 202, 0.5585
UCT MCTS, 3, 10, 10, Language, 100, 0, 0, 303, 0.5179
UCT MCTS, 4, 11, 11, Platform, 100, 0, 0, 404, 0.4619
UCT MCTS, 5, 12, 12, Easy, 100, 0, 0, 505, 0.4453
UCT MCTS, 6, 10, 10, Tanks, 100, 0, 0, 606, 0.4914
UCT MCTS, 7, 12, 12, Germany_Leopard, 100, 0, 0, 707, 0.5298
UCT MCTS, 8, 11, 11, GUI, 100, 0, 0, 808, 0.5615
UCT MCTS, 9, 12, 12, EN, 100, 0, 0, 909, 0.5645
UCT MCTS, 10, 10, 10, USA_M1Abrams, 100, 0, 0, 1010, 0.5667
UCT MCTS, 11, 9, 9, Map, 100, 0, 0, 1111, 0.5552
UCT MCTS, 12, 11, 11, PC, 100, 0, 0, 1212, 0.4495
UCT MCTS, 13, 9, 9, M_240, 100, 0, 0, 1313, 0.4825
UCT MCTS, 14, 1, 1, TankWar, 100, 0, 0, 101, 0.5804
UCT MCTS, 15, 9, 9, Language, 100, 0, 0, 202, 0.5375
UCT MCTS, 16, 10, 10, EN, 100, 0, 0, 303, 0.5434
UCT MCTS, 17, 8, 8, Platform, 100, 0, 0, 404, 0.4875
UCT MCTS, 18, 9, 9, AI, 100, 0, 0, 505, 0.3989
UCT MCTS, 19, 10, 10, GUI, 100, 0, 0, 606, 0.4359
UCT MCTS, 20, 11, 11, Easy, 100, 0, 0, 707, 0.4733
UCT MCTS, 21, 9, 9, PC, 100, 0, 0, 808, 0.4804
UCT MCTS, 22, 7, 7, Map, 100, 0, 0, 909, 0.474
UCT MCTS, 23, 9, 9, Tanks, 100, 0, 0, 1010, 0.4672
UCT MCTS, 24, 11, 11, M_240, 100, 0, 0, 1111, 0.4283
UCT MCTS, 25, 8, 8, Germany_Leopard, 100, 0, 0, 1212, 0.4202
UCT MCTS, 26, 1, 1, TankWar, 100, 0, 0, 101, 0.5976
UCT MCTS, 27, 9, 9, AI, 100, 0, 0, 202, 0.53
UCT MCTS, 28, 10, 10, Language, 100, 0, 0, 303, 0.4201
UCT MCTS, 29, 11, 11, Hard, 100, 0, 0, 404, 0.3746
UCT MCTS, 30, 9, 9, GUI, 100, 0, 0, 505, 0.4125
UCT MCTS, 31, 10, 10, Platform, 100, 0, 0, 606, 0.4776
UCT MCTS, 32, 11, 11, Map, 100, 0, 0, 707, 0.5047
UCT MCTS, 33, 13, 13, Tanks, 100, 0, 0, 808, 0.5175
UCT MCTS, 34, 15, 15, Handy, 100, 0, 0, 909, 0.5184
UCT MCTS, 35, 13, 13, M_600, 100, 0, 0, 1010, 0.5067
UCT MCTS, 36, 10, 10, DE, 100, 0, 0, 1111, 0.485
UCT MCTS, 37, 8, 8, USA_M1Abrams, 100, 0, 0, 1212, 0.4518
UCT MCTS, 38, 1, 1, TankWar, 100, 0, 0, 101, 0.5909
UCT MCTS, 39, 9, 9, Soundeffekt, 100, 0, 0, 202, 0.5542
