Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
A* search, 1, 3, None, 0, 0, 0, 0, 0.0006, 0.236943
A* search, 2, 3, None, 0, 0, 0, 0, 0.0007, 0.209975
A* search, 3, 3, None, 0, 0, 0, 0, 0.0006, 0.212391
A* search, 4, 3, None, 0, 0, 0, 0, 0.0006, 0.214807
A* search, 5, 3, None, 0, 0, 0, 0, 0.0007, 0.217223
A* search, 6, 3, None, 0, 0, 0, 0, 0.0007, 0.21967099999999998
A* search, 7, 3, None, 0, 0, 0, 0, 0.0006, 0.222215
A* search, 8, 3, None, 0, 0, 0, 0, 0.0007, 0.224631
A* search, 9, 3, None, 0, 0, 0, 0, 0.0006, 0.227047
A* search, 10, 3, None, 0, 0, 0, 0, 0.0007, 0.22952699999999998
A* search, 11, 3, None, 0, 0, 0, 0, 0.0007, 0.232015
A* search, 12, 3, None, 0, 0, 0, 0, 0.0007, 0.234807
A* search, 13, 3, None, 0, 0, 0, 0, 0.0007, 0.237319
A* search, 14, 3, None, 0, 0, 0, 0, 0.0007, 0.239831
A* search, 15, 3, None, 0, 0, 0, 0, 0.0007, 0.242343
A* search, 16, 3, None, 0, 0, 0, 0, 0.0006, 0.244855
A* search, 17, 3, None, 0, 0, 0, 0, 0.0007, 0.24736699999999998
A* search, 18, 3, None, 0, 0, 0, 0, 0.0007, 0.249943
A* search, 19, 3, None, 0, 0, 0, 0, 0.0006, 0.252455
A* search, 20, 3, None, 0, 0, 0, 0, 0.0007, 0.254967
A* search, 21, 3, None, 0, 0, 0, 0, 0.0007, 0.257479
A* search, 22, 3, None, 0, 0, 0, 0, 0.0007, 0.25999099999999997
A* search, 23, 3, None, 0, 0, 0, 0, 0.0007, 0.26303899999999997
A* search, 24, 3, None, 0, 0, 0, 0, 0.0007, 0.265551
A* search, 25, 3, None, 0, 0, 0, 0, 0.0007, 0.268063
A* search, 26, 3, None, 0, 0, 0, 0, 0.0007, 0.27063899999999996
A* search, 27, 3, None, 0, 0, 0, 0, 0.0007, 0.273151
A* search, 28, 3, None, 0, 0, 0, 0, 0.0008, 0.275663
A* search, 29, 3, None, 0, 0, 0, 0, 0.0007, 0.278175
A* search, 30, 3, None, 0, 0, 0, 0, 0.0006, 0.28068699999999996
