Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Flat Monte Carlo, 1, 3, None, 100, 0, 0, 0, 0.2207, 0.06770899999999999
Flat Monte Carlo, 2, 3, None, 100, 0, 0, 0, 0.2417, 0.07918499999999999
Flat Monte Carlo, 3, 3, None, 100, 0, 0, 0, 0.2387, 0.082729
Flat Monte Carlo, 4, 3, None, 100, 0, 0, 0, 0.2189, 0.08613699999999999
Flat Monte Carlo, 5, 3, None, 100, 0, 0, 0, 0.2421, 0.089417
Flat Monte Carlo, 6, 3, None, 100, 0, 0, 0, 0.2412, 0.093009
Flat Monte Carlo, 7, 3, None, 100, 0, 0, 0, 0.242, 0.09641699999999999
Flat Monte Carlo, 8, 3, None, 100, 0, 0, 0, 0.2282, 0.099697
Flat Monte Carlo, 9, 3, None, 100, 0, 0, 0, 0.2261, 0.102977
Flat Monte Carlo, 10, 3, None, 100, 0, 0, 0, 0.224, 0.106321
Flat Monte Carlo, 11, 3, None, 100, 0, 0, 0, 0.1978, 0.109763
Flat Monte Carlo, 12, 3, None, 100, 0, 0, 0, 0.2321, 0.11385899999999999
Flat Monte Carlo, 13, 3, None, 100, 0, 0, 0, 0.2403, 0.117139
Flat Monte Carlo, 14, 3, None, 100, 0, 0, 0, 0.2294, 0.120419
Flat Monte Carlo, 15, 3, None, 100, 0, 0, 0, 0.2352, 0.12369899999999999
Flat Monte Carlo, 16, 3, None, 100, 0, 0, 0, 0.2529, 0.12697899999999998
Flat Monte Carlo, 17, 3, None, 100, 0, 0, 0, 0.2255, 0.13025899999999999
Flat Monte Carlo, 18, 3, None, 100, 0, 0, 0, 0.2298, 0.133603
Flat Monte Carlo, 19, 3, None, 100, 0, 0, 0, 0.243, 0.136883
Flat Monte Carlo, 20, 3, None, 100, 0, 0, 0, 0.2459, 0.14016299999999998
Flat Monte Carlo, 21, 3, None, 100, 0, 0, 0, 0.2681, 0.143443
Flat Monte Carlo, 22, 3, None, 100, 0, 0, 0, 0.2273, 0.147819
Flat Monte Carlo, 23, 3, None, 100, 0, 0, 0, 0.2156, 0.151635
Flat Monte Carlo, 24, 3, None, 100, 0, 0, 0, 0.2225, 0.154915
Flat Monte Carlo, 25, 3, None, 100, 0, 0, 0, 0.2413, 0.158195
Flat Monte Carlo, 26, 3, None, 100, 0, 0, 0, 0.2478, 0.161539
Flat Monte Carlo, 27, 3, None, 100, 0, 0, 0, 0.2133, 0.164635
Flat Monte Carlo, 28, 3, None, 100, 0, 0, 0, 0.2283, 0.168099
Flat Monte Carlo, 29, 3, None, 100, 0, 0, 0, 0.2281, 0.171379
Flat Monte Carlo, 30, 3, None, 100, 0, 0, 0, 0.2291, 0.17465899999999998
