Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
A* search, 1, 4, None, 0, 0, 0, 0, 0.0013, 0.5044379999999999
A* search, 2, 4, None, 0, 0, 0, 0, 0.0013, 0.107664
A* search, 3, 4, None, 0, 0, 0, 0, 0.0012, 0.11250099999999999
A* search, 4, 4, None, 0, 0, 0, 0, 0.0012, 0.116953
A* search, 5, 4, None, 0, 0, 0, 0, 0.0011, 0.121573
A* search, 6, 4, None, 0, 0, 0, 0, 0.0011, 0.126057
A* search, 7, 4, None, 0, 0, 0, 0, 0.0012, 0.130469
A* search, 8, 4, None, 0, 0, 0, 0, 0.0012, 0.13458499999999998
A* search, 9, 4, None, 0, 0, 0, 0, 0.0012, 0.138701
A* search, 10, 4, None, 0, 0, 0, 0, 0.0012, 0.143398
A* search, 11, 4, None, 0, 0, 0, 0, 0.0012, 0.147634
A* search, 12, 4, None, 0, 0, 0, 0, 0.0012, 0.15214999999999998
A* search, 13, 4, None, 0, 0, 0, 0, 0.0012, 0.156386
A* search, 14, 4, None, 0, 0, 0, 0, 0.0012, 0.160622
A* search, 15, 4, None, 0, 0, 0, 0, 0.0012, 0.164858
A* search, 16, 4, None, 0, 0, 0, 0, 0.0012, 0.169094
A* search, 17, 4, None, 0, 0, 0, 0, 0.0012, 0.17344199999999999
A* search, 18, 4, None, 0, 0, 0, 0, 0.0012, 0.17790999999999998
A* search, 19, 4, None, 0, 0, 0, 0, 0.0012, 0.182314
A* search, 20, 4, None, 0, 0, 0, 0, 0.0012, 0.18679099999999998
A* search, 21, 4, None, 0, 0, 0, 0, 0.0012, 0.191407
A* search, 22, 4, None, 0, 0, 0, 0, 0.0012, 0.19581099999999999
A* search, 23, 4, None, 0, 0, 0, 0, 0.0012, 0.20075099999999999
A* search, 24, 4, None, 0, 0, 0, 0, 0.0012, 0.205155
A* search, 25, 4, None, 0, 0, 0, 0, 0.0012, 0.209559
A* search, 26, 4, None, 0, 0, 0, 0, 0.0012, 0.214027
A* search, 27, 4, None, 0, 0, 0, 0, 0.0012, 0.218431
A* search, 28, 4, None, 0, 0, 0, 0, 0.0012, 0.22283499999999998
A* search, 29, 4, None, 0, 0, 0, 0, 0.0012, 0.227239
A* search, 30, 4, None, 0, 0, 0, 0, 0.0012, 0.231949
