Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Flat Monte Carlo, 1, 4, None, 100, 0, 0, 0, 0.119, 0.210969
Flat Monte Carlo, 2, 4, None, 100, 0, 0, 0, 0.1195, 0.113101
Flat Monte Carlo, 3, 4, None, 100, 0, 0, 0, 0.1073, 0.11842499999999999
Flat Monte Carlo, 4, 4, None, 100, 0, 0, 0, 0.1126, 0.123984
Flat Monte Carlo, 5, 4, None, 100, 0, 0, 0, 0.1076, 0.129236
Flat Monte Carlo, 6, 4, None, 100, 0, 0, 0, 0.1044, 0.13475299999999998
Flat Monte Carlo, 7, 4, None, 100, 0, 0, 0, 0.1156, 0.140049
Flat Monte Carlo, 8, 4, None, 100, 0, 0, 0, 0.1201, 0.145781
Flat Monte Carlo, 9, 4, None, 100, 0, 0, 0, 0.112, 0.150977
Flat Monte Carlo, 10, 4, None, 100, 0, 0, 0, 0.1099, 0.156237
Flat Monte Carlo, 11, 4, None, 100, 0, 0, 0, 0.1225, 0.161433
Flat Monte Carlo, 12, 4, None, 100, 0, 0, 0, 0.1116, 0.166909
Flat Monte Carlo, 13, 4, None, 100, 0, 0, 0, 0.1164, 0.17224899999999999
Flat Monte Carlo, 14, 4, None, 100, 0, 0, 0, 0.1088, 0.177665
Flat Monte Carlo, 15, 4, None, 100, 0, 0, 0, 0.1114, 0.18412099999999998
Flat Monte Carlo, 16, 4, None, 100, 0, 0, 0, 0.122, 0.18950899999999998
Flat Monte Carlo, 17, 4, None, 100, 0, 0, 0, 0.1158, 0.194897
Flat Monte Carlo, 18, 4, None, 100, 0, 0, 0, 0.1232, 0.200349
Flat Monte Carlo, 19, 4, None, 100, 0, 0, 0, 0.1073, 0.205765
Flat Monte Carlo, 20, 4, None, 100, 0, 0, 0, 0.1122, 0.21110099999999998
Flat Monte Carlo, 21, 4, None, 100, 0, 0, 0, 0.1151, 0.21654099999999998
Flat Monte Carlo, 22, 4, None, 100, 0, 0, 0, 0.1108, 0.221929
Flat Monte Carlo, 23, 4, None, 100, 0, 0, 0, 0.1099, 0.227993
Flat Monte Carlo, 24, 4, None, 100, 0, 0, 0, 0.1087, 0.23349299999999998
Flat Monte Carlo, 25, 4, None, 100, 0, 0, 0, 0.1152, 0.23910499999999998
Flat Monte Carlo, 26, 4, None, 100, 0, 0, 0, 0.112, 0.244725
Flat Monte Carlo, 27, 4, None, 100, 0, 0, 0, 0.1134, 0.250281
Flat Monte Carlo, 28, 4, None, 100, 0, 0, 0, 0.1109, 0.255893
Flat Monte Carlo, 29, 4, None, 100, 0, 0, 0, 0.1087, 0.26381699999999997
Flat Monte Carlo, 30, 4, None, 100, 0, 0, 0, 0.1094, 0.269401
