Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Greedy MCTS, 1, 4, None, 100, 0, 0, 263, 0.3475, 2.779074
Greedy MCTS, 2, 4, None, 100, 0, 0, 247, 0.3465, 2.706254
Greedy MCTS, 3, 8, None, 100, 0, 0, 290, 0.9134, 2.93137
Greedy MCTS, 4, 4, None, 100, 0, 0, 234, 0.3371, 2.594408
Greedy MCTS, 5, 4, None, 100, 0, 0, 248, 0.3334, 2.754669
Greedy MCTS, 6, 4, None, 100, 0, 0, 232, 0.3363, 2.5927729999999998
Greedy MCTS, 7, 4, None, 100, 0, 0, 215, 0.3441, 2.5019009999999997
Greedy MCTS, 8, 6, None, 100, 0, 0, 296, 0.682, 2.9985049999999998
Greedy MCTS, 9, 6, None, 100, 0, 0, 302, 0.6885, 3.061969
Greedy MCTS, 10, 4, None, 100, 0, 0, 219, 0.3425, 2.5596799999999997
Greedy MCTS, 11, 4, None, 100, 0, 0, 231, 0.3424, 2.7002569999999997
Greedy MCTS, 12, 8, None, 100, 0, 0, 306, 0.977, 3.153051
Greedy MCTS, 13, 4, None, 100, 0, 0, 234, 0.3406, 2.728013
Greedy MCTS, 14, 4, None, 100, 0, 0, 204, 0.3379, 2.496613
Greedy MCTS, 15, 4, None, 100, 0, 0, 253, 0.3435, 2.886625
Greedy MCTS, 16, 4, None, 100, 0, 0, 252, 0.3459, 2.856083
Greedy MCTS, 17, 4, None, 100, 0, 0, 248, 0.3523, 2.803001
Greedy MCTS, 18, 4, None, 100, 0, 0, 252, 0.3597, 2.863723
Greedy MCTS, 19, 4, None, 100, 0, 0, 271, 0.3491, 3.006016
Greedy MCTS, 20, 4, None, 100, 0, 0, 238, 0.3567, 2.7958849999999997
Greedy MCTS, 21, 6, None, 100, 0, 0, 304, 0.6685, 3.1913229999999997
Greedy MCTS, 22, 4, None, 100, 0, 0, 229, 0.3447, 2.728004
Greedy MCTS, 23, 8, None, 100, 0, 0, 275, 0.9142, 3.05449
Greedy MCTS, 24, 6, None, 100, 0, 0, 295, 0.6922, 3.1994439999999997
Greedy MCTS, 25, 6, None, 100, 0, 0, 274, 0.6736, 3.0906879999999997
Greedy MCTS, 26, 4, None, 100, 0, 0, 249, 0.3512, 2.962605
Greedy MCTS, 27, 8, None, 100, 0, 0, 321, 1.0109, 3.409648
Greedy MCTS, 28, 4, None, 100, 0, 0, 232, 0.3489, 2.839399
Greedy MCTS, 29, 6, None, 100, 0, 0, 292, 0.6617, 3.1867739999999998
Greedy MCTS, 30, 4, None, 100, 0, 0, 239, 0.3531, 2.8890629999999997
