Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
UCT MCTS, 1, 6, None, 100, 0, 0, 307, 0.6779, 1.690027
UCT MCTS, 2, 4, None, 100, 0, 0, 265, 0.3203, 1.691117
UCT MCTS, 3, 4, None, 100, 0, 0, 263, 0.3244, 1.4750729999999999
UCT MCTS, 4, 4, None, 100, 0, 0, 266, 0.3077, 1.49972
UCT MCTS, 5, 4, None, 100, 0, 0, 255, 0.3242, 1.5001769999999999
UCT MCTS, 6, 4, None, 100, 0, 0, 278, 0.3188, 1.588396
UCT MCTS, 7, 4, None, 100, 0, 0, 254, 0.3221, 1.588118
UCT MCTS, 8, 4, None, 100, 0, 0, 245, 0.3347, 1.39973
UCT MCTS, 9, 6, None, 100, 0, 0, 308, 0.671, 1.7490919999999999
UCT MCTS, 10, 4, None, 100, 0, 0, 266, 0.3239, 1.7493189999999998
UCT MCTS, 11, 4, None, 100, 0, 0, 254, 0.3158, 1.5186769999999998
UCT MCTS, 12, 4, None, 100, 0, 0, 253, 0.3244, 1.448289
UCT MCTS, 13, 6, None, 100, 0, 0, 323, 0.6703, 1.917768
UCT MCTS, 14, 4, None, 100, 0, 0, 245, 0.333, 1.9174669999999998
UCT MCTS, 15, 8, None, 100, 0, 0, 239, 0.8232, 1.445004
UCT MCTS, 16, 4, None, 100, 0, 0, 260, 0.3237, 1.505288
UCT MCTS, 17, 4, None, 100, 0, 0, 277, 0.3213, 1.666632
UCT MCTS, 18, 4, None, 100, 0, 0, 219, 0.3385, 1.666459
UCT MCTS, 19, 4, None, 100, 0, 0, 265, 0.317, 1.54508
UCT MCTS, 20, 4, None, 100, 0, 0, 264, 0.3354, 1.583156
UCT MCTS, 21, 4, None, 100, 0, 0, 253, 0.3251, 1.5832469999999998
UCT MCTS, 22, 6, None, 100, 0, 0, 310, 0.6643, 1.877276
UCT MCTS, 23, 6, None, 100, 0, 0, 309, 0.6454, 1.883508
UCT MCTS, 24, 4, None, 100, 0, 0, 229, 0.3227, 1.883727
UCT MCTS, 25, 4, None, 100, 0, 0, 240, 0.3312, 1.4714
UCT MCTS, 26, 4, None, 100, 0, 0, 261, 0.3324, 1.59004
UCT MCTS, 27, 4, None, 100, 0, 0, 266, 0.3246, 1.662232
UCT MCTS, 28, 4, None, 100, 0, 0, 267, 0.3338, 1.6718959999999998
UCT MCTS, 29, 4, None, 100, 0, 0, 264, 0.3236, 1.7059279999999999
UCT MCTS, 30, 4, None, 100, 0, 0, 258, 0.3202, 1.7060929999999999
Greedy MCTS, 31, 4, None, 100, 0, 0, 263, 0.3474, 2.778912
Greedy MCTS, 32, 4, None, 100, 0, 0, 247, 0.3464, 2.779677
Greedy MCTS, 33, 8, None, 100, 0, 0, 290, 0.9133, 2.931168
Greedy MCTS, 34, 4, None, 100, 0, 0, 234, 0.337, 2.93174
Greedy MCTS, 35, 4, None, 100, 0, 0, 248, 0.3333, 2.75414
Greedy MCTS, 36, 4, None, 100, 0, 0, 232, 0.3362, 2.755013
Greedy MCTS, 37, 4, None, 100, 0, 0, 215, 0.3439, 2.593358
Greedy MCTS, 38, 6, None, 100, 0, 0, 296, 0.6819, 2.997999
Greedy MCTS, 39, 6, None, 100, 0, 0, 302, 0.6884, 3.061863
Greedy MCTS, 40, 4, None, 100, 0, 0, 219, 0.3424, 3.06234
Greedy MCTS, 41, 4, None, 100, 0, 0, 231, 0.3423, 2.700291
Greedy MCTS, 42, 8, None, 100, 0, 0, 306, 0.9768, 3.1528389999999997
Greedy MCTS, 43, 4, None, 100, 0, 0, 234, 0.3404, 3.153412
Greedy MCTS, 44, 4, None, 100, 0, 0, 204, 0.3378, 2.728357
Greedy MCTS, 45, 4, None, 100, 0, 0, 253, 0.3433, 2.886095
Greedy MCTS, 46, 4, None, 100, 0, 0, 252, 0.3458, 2.8869689999999997
Greedy MCTS, 47, 4, None, 100, 0, 0, 248, 0.3522, 2.856417
Greedy MCTS, 48, 4, None, 100, 0, 0, 252, 0.3596, 2.8638749999999997
Greedy MCTS, 49, 4, None, 100, 0, 0, 271, 0.349, 3.005839
Greedy MCTS, 50, 4, None, 100, 0, 0, 238, 0.3567, 3.006389
Greedy MCTS, 51, 6, None, 100, 0, 0, 304, 0.6683, 3.19127
Greedy MCTS, 52, 4, None, 100, 0, 0, 229, 0.3446, 3.191706
Greedy MCTS, 53, 8, None, 100, 0, 0, 275, 0.914, 3.05429
Greedy MCTS, 54, 6, None, 100, 0, 0, 295, 0.6921, 3.199366
Greedy MCTS, 55, 6, None, 100, 0, 0, 274, 0.6735, 3.199826
Greedy MCTS, 56, 4, None, 100, 0, 0, 249, 0.351, 3.0910699999999998
Greedy MCTS, 57, 8, None, 100, 0, 0, 321, 1.0107, 3.409446
Greedy MCTS, 58, 4, None, 100, 0, 0, 232, 0.3488, 3.41002
Greedy MCTS, 59, 6, None, 100, 0, 0, 292, 0.6615, 3.1865859999999997
Greedy MCTS, 60, 4, None, 100, 0, 0, 239, 0.353, 3.187146
