Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Flat Monte Carlo, 1, 15, None, 100, 0, 0, 0, 3.0609, 1.0014349999999999
Flat Monte Carlo, 2, 15, None, 100, 0, 0, 0, 3.346, 0.346898
Flat Monte Carlo, 3, 14, None, 100, 0, 0, 0, 2.8255, 0.363962
Flat Monte Carlo, 4, 21, None, 100, 0, 0, 0, 5.116, 0.426942
Flat Monte Carlo, 5, 19, None, 100, 0, 0, 0, 4.3228, 0.47123
Flat Monte Carlo, 6, 18, None, 100, 0, 0, 0, 3.8688, 0.537878
Flat Monte Carlo, 7, 17, None, 100, 0, 0, 0, 3.8025, 0.581674
Flat Monte Carlo, 8, 14, None, 100, 0, 0, 0, 2.7039, 0.618142
Flat Monte Carlo, 9, 19, None, 100, 0, 0, 0, 4.2666, 0.6665179999999999
Flat Monte Carlo, 10, 14, None, 100, 0, 0, 0, 3.2005, 0.7301679999999999
Flat Monte Carlo, 11, 15, None, 100, 0, 0, 0, 2.9206, 0.739524
Flat Monte Carlo, 12, 20, None, 100, 0, 0, 0, 4.9365, 0.789912
Flat Monte Carlo, 13, 14, None, 100, 0, 0, 0, 2.6523, 0.8369439999999999
Flat Monte Carlo, 14, 16, None, 100, 0, 0, 0, 3.7928, 0.895832
Flat Monte Carlo, 15, 16, None, 100, 0, 0, 0, 3.7117, 0.9409719999999999
Flat Monte Carlo, 16, 14, None, 100, 0, 0, 0, 3.294, 0.9867279999999999
Flat Monte Carlo, 17, 14, None, 100, 0, 0, 0, 2.6502, 0.999756
Flat Monte Carlo, 18, 13, None, 100, 0, 0, 0, 3.0519, 1.026903
Flat Monte Carlo, 19, 21, None, 100, 0, 0, 0, 5.4859, 1.077111
Flat Monte Carlo, 20, 18, None, 100, 0, 0, 0, 4.4395, 1.145159
Flat Monte Carlo, 21, 13, None, 100, 0, 0, 0, 3.1945, 1.179295
Flat Monte Carlo, 22, 13, None, 100, 0, 0, 0, 3.0433, 1.210219
Flat Monte Carlo, 23, 14, None, 100, 0, 0, 0, 2.6886, 1.245447
Flat Monte Carlo, 24, 13, None, 100, 0, 0, 0, 2.831, 1.284555
Flat Monte Carlo, 25, 12, None, 100, 0, 0, 0, 2.7937, 1.318679
Flat Monte Carlo, 26, 17, None, 100, 0, 0, 0, 3.6245, 1.3615469999999998
Flat Monte Carlo, 27, 16, None, 100, 0, 0, 0, 3.3315, 1.393911
Flat Monte Carlo, 28, 14, None, 100, 0, 0, 0, 3.0064, 1.432947
Flat Monte Carlo, 29, 17, None, 100, 0, 0, 0, 3.7999, 1.495118
Flat Monte Carlo, 30, 16, None, 100, 0, 0, 0, 4.4668, 1.547302
