Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Greedy MCTS, 1, 16, None, 100, 0, 0, 468, 4.1842, 10.591135
Greedy MCTS, 2, 15, None, 100, 0, 0, 415, 3.8214, 9.784621999999999
Greedy MCTS, 3, 13, None, 100, 0, 0, 357, 3.2768, 9.216561
Greedy MCTS, 4, 16, None, 100, 0, 0, 223, 2.6409, 8.171457
Greedy MCTS, 5, 14, None, 100, 0, 0, 205, 2.2712, 7.84317
Greedy MCTS, 6, 15, None, 100, 0, 0, 247, 2.805, 8.710438
Greedy MCTS, 7, 16, None, 100, 0, 0, 362, 3.4681, 9.23776
Greedy MCTS, 8, 15, None, 100, 0, 0, 456, 3.537, 9.949485
Greedy MCTS, 9, 18, None, 100, 0, 0, 508, 5.9309, 11.08347
Greedy MCTS, 10, 14, None, 100, 0, 0, 193, 2.28, 8.068657
Greedy MCTS, 11, 18, None, 100, 0, 0, 606, 6.4771, 12.090252
Greedy MCTS, 12, 16, None, 100, 0, 0, 137, 2.0035, 8.057851
Greedy MCTS, 13, 18, None, 100, 0, 0, 1090, 7.0663, 16.313966999999998
Greedy MCTS, 14, 14, None, 100, 0, 0, 353, 3.3183, 9.639774
Greedy MCTS, 15, 14, None, 100, 0, 0, 396, 3.1328, 9.703125
Greedy MCTS, 16, 12, None, 100, 0, 0, 327, 3.0514, 9.738985
Greedy MCTS, 17, 16, None, 100, 0, 0, 187, 2.4279, 8.833649
Greedy MCTS, 18, 15, None, 100, 0, 0, 490, 3.9965, 10.805691
Greedy MCTS, 19, 15, None, 100, 0, 0, 424, 3.7818, 10.527394
Greedy MCTS, 20, 15, None, 100, 0, 0, 236, 2.5208, 8.901626
Greedy MCTS, 21, 16, None, 100, 0, 0, 360, 3.498, 10.16781
Greedy MCTS, 22, 14, None, 100, 0, 0, 403, 3.3218, 10.342189999999999
Greedy MCTS, 23, 13, None, 100, 0, 0, 367, 3.3155, 10.203185999999999
Greedy MCTS, 24, 14, None, 100, 0, 0, 240, 2.7869, 9.464274
Greedy MCTS, 25, 15, None, 100, 0, 0, 263, 2.7069, 9.327741999999999
Greedy MCTS, 26, 17, None, 100, 0, 0, 830, 5.9887, 14.190494
Greedy MCTS, 27, 15, None, 100, 0, 0, 428, 4.0168, 11.815126
Greedy MCTS, 28, 15, None, 100, 0, 0, 492, 3.9129, 11.278134
Greedy MCTS, 29, 16, None, 100, 0, 0, 123, 1.809, 8.638449999999999
Greedy MCTS, 30, 14, None, 100, 0, 0, 448, 3.6312, 11.349912999999999
