Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
Greedy MCTS, 1, 1, 1, JHipster, 100, 0, 0, 101, 0.5154
Greedy MCTS, 2, 11, 11, TestingFrameworks, 100, 0, 0, 202, 0.4987
Greedy MCTS, 3, 13, 13, Docker, 100, 0, 0, 303, 0.3771
Greedy MCTS, 4, 12, 12, Generator, 100, 0, 0, 404, 0.41
Greedy MCTS, 5, 13, 13, Server, 100, 0, 0, 468, 0.4029
Greedy MCTS, 6, 8, 8, BackEnd, 100, 0, 0, 468, 0.344
Greedy MCTS, 7, 9, 9, MicroserviceApplication, 100, 0, 0, 468, 0.3141
Greedy MCTS, 8, 7, 7, Maven, 100, 0, 0, 468, 0.279
Greedy MCTS, 9, 5, 5, Authentication, 100, 0, 0, 468, 0.2439
Greedy MCTS, 10, 6, 6, Database, 100, 0, 0, 468, 0.2148
Greedy MCTS, 11, 8, 8, Cassandra, 100, 0, 0, 468, 0.1809
Greedy MCTS, 12, 5, 5, InternationalizationSupport, 100, 0, 0, 468, 0.1469
Greedy MCTS, 13, 4, 4, Gatling, 100, 0, 0, 468, 0.1147
Greedy MCTS, 14, 3, 3, Cucumber, 100, 0, 0, 468, 0.0842
Greedy MCTS, 15, 2, 2, Uaa, 100, 0, 0, 468, 0.0537
Greedy MCTS, 16, 1, 1, JHipster, 100, 0, 0, 101, 0.5045
Greedy MCTS, 17, 11, 11, Generator, 100, 0, 0, 202, 0.4546
Greedy MCTS, 18, 12, 12, Server, 100, 0, 0, 303, 0.36
Greedy MCTS, 19, 8, 8, Authentication, 100, 0, 0, 404, 0.4098
Greedy MCTS, 20, 9, 9, Docker, 100, 0, 0, 415, 0.3414
Greedy MCTS, 21, 8, 8, JWT, 100, 0, 0, 415, 0.3102
Greedy MCTS, 22, 5, 5, MicroserviceApplication, 100, 0, 0, 415, 0.2795
Greedy MCTS, 23, 4, 4, TestingFrameworks, 100, 0, 0, 415, 0.2534
Greedy MCTS, 24, 5, 5, Database, 100, 0, 0, 415, 0.2232
Greedy MCTS, 25, 7, 7, MongoDB, 100, 0, 0, 415, 0.1927
Greedy MCTS, 26, 4, 4, BackEnd, 100, 0, 0, 415, 0.1626
Greedy MCTS, 27, 5, 5, Cucumber, 100, 0, 0, 415, 0.1355
Greedy MCTS, 28, 4, 4, Gradle, 100, 0, 0, 415, 0.1059
Greedy MCTS, 29, 2, 2, Gatling, 100, 0, 0, 415, 0.0774
Greedy MCTS, 30, 1, 1, JHipster, 100, 0, 0, 101, 0.4629
Greedy MCTS, 31, 11, 11, Generator, 100, 0, 0, 202, 0.391
Greedy MCTS, 32, 12, 12, Server, 100, 0, 0, 303, 0.3479
Greedy MCTS, 33, 8, 8, TestingFrameworks, 100, 0, 0, 357, 0.3626
