Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
UCT MCTS, 1, 15, None, 100, 0, 0, 654, 3.9906, 4.845209
UCT MCTS, 2, 14, None, 100, 0, 0, 687, 3.812, 5.290426999999999
UCT MCTS, 3, 16, None, 100, 0, 0, 657, 4.2688, 5.290354
UCT MCTS, 4, 13, None, 100, 0, 0, 277, 2.5977, 4.996378
UCT MCTS, 5, 14, None, 100, 0, 0, 819, 4.2459, 7.095115
UCT MCTS, 6, 14, None, 100, 0, 0, 748, 3.9628, 7.0950619999999995
UCT MCTS, 7, 14, None, 100, 0, 0, 898, 4.6193, 8.735954999999999
UCT MCTS, 8, 15, None, 100, 0, 0, 325, 3.2601, 8.735883
UCT MCTS, 9, 15, None, 100, 0, 0, 476, 3.6077, 4.263026
UCT MCTS, 10, 14, None, 100, 0, 0, 632, 4.1099, 6.030866
UCT MCTS, 11, 14, None, 100, 0, 0, 737, 4.2697, 7.183242
UCT MCTS, 12, 14, None, 100, 0, 0, 456, 3.4672, 7.183441999999999
UCT MCTS, 13, 16, None, 100, 0, 0, 1172, 6.4202, 12.346494
UCT MCTS, 14, 16, None, 100, 0, 0, 597, 4.2682, 12.346499999999999
UCT MCTS, 15, 13, None, 100, 0, 0, 215, 2.321, 5.441739999999999
UCT MCTS, 16, 14, None, 100, 0, 0, 738, 3.975, 6.332538
UCT MCTS, 17, 14, None, 100, 0, 0, 816, 4.0798, 6.8851059999999995
UCT MCTS, 18, 14, None, 100, 0, 0, 783, 3.9921, 6.885064
UCT MCTS, 19, 14, None, 100, 0, 0, 682, 3.9022, 6.792173999999999
UCT MCTS, 20, 14, None, 100, 0, 0, 330, 2.895, 5.809075
UCT MCTS, 21, 14, None, 100, 0, 0, 609, 3.7224, 5.36421
UCT MCTS, 22, 17, None, 100, 0, 0, 1304, 6.354, 14.288146
UCT MCTS, 23, 14, None, 100, 0, 0, 486, 3.4253, 14.288295
UCT MCTS, 24, 14, None, 100, 0, 0, 527, 4.0795, 6.43889
UCT MCTS, 25, 14, None, 100, 0, 0, 562, 3.9612, 6.438340999999999
UCT MCTS, 26, 14, None, 100, 0, 0, 484, 3.5948, 6.220863
UCT MCTS, 27, 14, None, 100, 0, 0, 831, 4.054, 7.258038
UCT MCTS, 28, 12, None, 100, 0, 0, 364, 3.152, 7.257956999999999
UCT MCTS, 29, 15, None, 100, 0, 0, 615, 4.3483, 6.86651
UCT MCTS, 30, 14, None, 100, 0, 0, 760, 3.9936, 7.01129
Greedy MCTS, 31, 16, None, 100, 0, 0, 468, 4.1841, 10.590857999999999
Greedy MCTS, 32, 15, None, 100, 0, 0, 415, 3.8213, 10.591793
Greedy MCTS, 33, 13, None, 100, 0, 0, 357, 3.2767, 9.785001
Greedy MCTS, 34, 16, None, 100, 0, 0, 223, 2.6407, 9.216932
Greedy MCTS, 35, 14, None, 100, 0, 0, 205, 2.271, 8.1718
Greedy MCTS, 36, 15, None, 100, 0, 0, 247, 2.8048, 8.710505999999999
Greedy MCTS, 37, 16, None, 100, 0, 0, 362, 3.468, 9.237782
Greedy MCTS, 38, 15, None, 100, 0, 0, 456, 3.5369, 9.949534
Greedy MCTS, 39, 18, None, 100, 0, 0, 508, 5.9307, 11.083406
Greedy MCTS, 40, 14, None, 100, 0, 0, 193, 2.2799, 11.08384
Greedy MCTS, 41, 18, None, 100, 0, 0, 606, 6.477, 12.09019
Greedy MCTS, 42, 16, None, 100, 0, 0, 137, 2.0033, 12.090905999999999
Greedy MCTS, 43, 18, None, 100, 0, 0, 1090, 7.0661, 16.312806
Greedy MCTS, 44, 14, None, 100, 0, 0, 353, 3.3181, 16.314348
Greedy MCTS, 45, 14, None, 100, 0, 0, 396, 3.1326, 9.703202
Greedy MCTS, 46, 12, None, 100, 0, 0, 327, 3.0513, 9.739118
Greedy MCTS, 47, 16, None, 100, 0, 0, 187, 2.4278, 9.739357
Greedy MCTS, 48, 15, None, 100, 0, 0, 490, 3.9964, 10.805729999999999
Greedy MCTS, 49, 15, None, 100, 0, 0, 424, 3.7817, 10.806054
Greedy MCTS, 50, 15, None, 100, 0, 0, 236, 2.5207, 10.527766
Greedy MCTS, 51, 16, None, 100, 0, 0, 360, 3.4979, 10.167802
Greedy MCTS, 52, 14, None, 100, 0, 0, 403, 3.3216, 10.342266
Greedy MCTS, 53, 13, None, 100, 0, 0, 367, 3.3154, 10.343107
Greedy MCTS, 54, 14, None, 100, 0, 0, 240, 2.7868, 10.203567
Greedy MCTS, 55, 15, None, 100, 0, 0, 263, 2.7067, 9.464616999999999
Greedy MCTS, 56, 17, None, 100, 0, 0, 830, 5.9885, 14.190458
Greedy MCTS, 57, 15, None, 100, 0, 0, 428, 4.0166, 14.190866
Greedy MCTS, 58, 15, None, 100, 0, 0, 492, 3.9128, 11.815498
Greedy MCTS, 59, 16, None, 100, 0, 0, 123, 1.8089, 11.278506
Greedy MCTS, 60, 14, None, 100, 0, 0, 448, 3.631, 11.349962
