Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
A* search, 1, 8, None, 0, 0, 0, 0, 0.0368, 0.470504
A* search, 2, 8, None, 0, 0, 0, 0, 0.0348, 0.48238499999999995
A* search, 3, 8, None, 0, 0, 0, 0, 0.035, 0.489645
A* search, 4, 8, None, 0, 0, 0, 0, 0.035, 0.496905
A* search, 5, 8, None, 0, 0, 0, 0, 0.0351, 0.504165
A* search, 6, 8, None, 0, 0, 0, 0, 0.035, 0.5114569999999999
A* search, 7, 8, None, 0, 0, 0, 0, 0.0354, 0.518845
A* search, 8, 8, None, 0, 0, 0, 0, 0.0347, 0.5261049999999999
A* search, 9, 8, None, 0, 0, 0, 0, 0.0356, 0.533365
A* search, 10, 8, None, 0, 0, 0, 0, 0.0352, 0.540689
A* search, 11, 8, None, 0, 0, 0, 0, 0.036, 0.547949
A* search, 12, 8, None, 0, 0, 0, 0, 0.0351, 0.555489
A* search, 13, 8, None, 0, 0, 0, 0, 0.0347, 0.5627489999999999
A* search, 14, 8, None, 0, 0, 0, 0, 0.0355, 0.570009
A* search, 15, 8, None, 0, 0, 0, 0, 0.0349, 0.5772689999999999
A* search, 16, 8, None, 0, 0, 0, 0, 0.0346, 0.584529
A* search, 17, 8, None, 0, 0, 0, 0, 0.0364, 0.591789
A* search, 18, 8, None, 0, 0, 0, 0, 0.0346, 0.599113
A* search, 19, 8, None, 0, 0, 0, 0, 0.0346, 0.6063729999999999
A* search, 20, 8, None, 0, 0, 0, 0, 0.0355, 0.613633
A* search, 21, 8, None, 0, 0, 0, 0, 0.0349, 0.6208929999999999
A* search, 22, 8, None, 0, 0, 0, 0, 0.0348, 0.628153
A* search, 23, 8, None, 0, 0, 0, 0, 0.0347, 0.635949
A* search, 24, 8, None, 0, 0, 0, 0, 0.0349, 0.6432089999999999
A* search, 25, 8, None, 0, 0, 0, 0, 0.0354, 0.650469
A* search, 26, 8, None, 0, 0, 0, 0, 0.0352, 0.657793
A* search, 27, 8, None, 0, 0, 0, 0, 0.0347, 0.665053
A* search, 28, 8, None, 0, 0, 0, 0, 0.0362, 0.6723129999999999
A* search, 29, 8, None, 0, 0, 0, 0, 0.0344, 0.679573
A* search, 30, 8, None, 0, 0, 0, 0, 0.0347, 0.6868329999999999
