Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Greedy MCTS, 1, 8, None, 100, 0, 0, 94, 0.4148, 1.28103
Greedy MCTS, 2, 9, None, 100, 0, 0, 166, 0.64, 1.5351089999999998
Greedy MCTS, 3, 8, None, 100, 0, 0, 147, 0.5025, 1.492583
Greedy MCTS, 4, 8, None, 100, 0, 0, 136, 0.4699, 1.461955
Greedy MCTS, 5, 8, None, 100, 0, 0, 130, 0.4672, 1.459285
Greedy MCTS, 6, 8, None, 100, 0, 0, 144, 0.4922, 1.493503
Greedy MCTS, 7, 8, None, 100, 0, 0, 120, 0.4417, 1.432823
Greedy MCTS, 8, 8, None, 100, 0, 0, 119, 0.4219, 1.436833
Greedy MCTS, 9, 8, None, 100, 0, 0, 139, 0.4718, 1.552754
Greedy MCTS, 10, 8, None, 100, 0, 0, 64, 0.3445, 1.329841
Greedy MCTS, 11, 8, None, 100, 0, 0, 96, 0.4007, 1.402181
Greedy MCTS, 12, 8, None, 100, 0, 0, 133, 0.4656, 1.5430659999999998
Greedy MCTS, 13, 8, None, 100, 0, 0, 121, 0.441, 1.520133
Greedy MCTS, 14, 8, None, 100, 0, 0, 144, 0.5138, 1.6249859999999998
Greedy MCTS, 15, 8, None, 100, 0, 0, 142, 0.5215, 1.641376
Greedy MCTS, 16, 8, None, 100, 0, 0, 141, 0.4921, 1.642177
Greedy MCTS, 17, 8, None, 100, 0, 0, 148, 0.4956, 1.6806699999999999
Greedy MCTS, 18, 8, None, 100, 0, 0, 143, 0.4894, 1.672528
Greedy MCTS, 19, 8, None, 100, 0, 0, 128, 0.4616, 1.6288479999999999
Greedy MCTS, 20, 8, None, 100, 0, 0, 101, 0.3698, 1.524646
Greedy MCTS, 21, 8, None, 100, 0, 0, 121, 0.449, 1.623978
Greedy MCTS, 22, 8, None, 100, 0, 0, 104, 0.4002, 1.587062
Greedy MCTS, 23, 8, None, 100, 0, 0, 114, 0.4465, 1.6335959999999998
Greedy MCTS, 24, 8, None, 100, 0, 0, 164, 0.5701, 1.861794
Greedy MCTS, 25, 8, None, 100, 0, 0, 101, 0.398, 1.5961109999999998
Greedy MCTS, 26, 8, None, 100, 0, 0, 142, 0.5037, 1.805906
Greedy MCTS, 27, 8, None, 100, 0, 0, 154, 0.4979, 1.8474059999999999
Greedy MCTS, 28, 8, None, 100, 0, 0, 144, 0.4937, 1.8335839999999999
Greedy MCTS, 29, 8, None, 100, 0, 0, 140, 0.4956, 1.832218
Greedy MCTS, 30, 8, None, 100, 0, 0, 121, 0.4522, 1.7750819999999998
