Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
UCT MCTS, 1, 1, 1, Pizza, 100, 0, 0, 92, 0.0933
UCT MCTS, 2, 4, 4, Dough, 100, 0, 0, 137, 0.0914
UCT MCTS, 3, 5, 5, Size, 100, 0, 0, 149, 0.0837
UCT MCTS, 4, 6, 6, Normal, 100, 0, 0, 150, 0.0746
UCT MCTS, 5, 3, 3, Topping, 100, 0, 0, 150, 0.0597
UCT MCTS, 6, 5, 5, Sicilian, 100, 0, 0, 150, 0.0511
UCT MCTS, 7, 3, 3, Salami, 100, 0, 0, 150, 0.0366
UCT MCTS, 8, 1, 1, Pizza, 100, 0, 0, 87, 0.0861
UCT MCTS, 9, 4, 4, Dough, 100, 0, 0, 126, 0.0867
UCT MCTS, 10, 5, 5, Size, 100, 0, 0, 144, 0.0808
UCT MCTS, 11, 6, 6, Normal, 100, 0, 0, 151, 0.0727
UCT MCTS, 12, 3, 3, Neapolitan, 100, 0, 0, 151, 0.059
UCT MCTS, 13, 1, 1, Topping, 100, 0, 0, 151, 0.0478
UCT MCTS, 14, 3, 3, Ham, 100, 0, 0, 151, 0.038
UCT MCTS, 15, 1, 1, Pizza, 100, 0, 0, 97, 0.0871
UCT MCTS, 16, 4, 4, Size, 100, 0, 0, 152, 0.1018
UCT MCTS, 17, 5, 5, Dough, 100, 0, 0, 164, 0.0888
UCT MCTS, 18, 6, 6, Normal, 100, 0, 0, 173, 0.0789
UCT MCTS, 19, 3, 3, Neapolitan, 100, 0, 0, 173, 0.0672
UCT MCTS, 20, 1, 1, Topping, 100, 0, 0, 173, 0.0515
UCT MCTS, 21, 3, 3, Mozzarella, 100, 0, 0, 173, 0.0412
UCT MCTS, 22, 1, 1, Pizza, 100, 0, 0, 97, 0.0905
UCT MCTS, 23, 4, 4, Dough, 100, 0, 0, 152, 0.1022
UCT MCTS, 24, 5, 5, Size, 100, 0, 0, 170, 0.0927
UCT MCTS, 25, 6, 6, Normal, 100, 0, 0, 172, 0.0811
UCT MCTS, 26, 3, 3, Neapolitan, 100, 0, 0, 172, 0.0642
UCT MCTS, 27, 1, 1, Topping, 100, 0, 0, 172, 0.0545
UCT MCTS, 28, 3, 3, Salami, 100, 0, 0, 172, 0.0416
UCT MCTS, 29, 1, 1, Pizza, 100, 0, 0, 99, 0.087
UCT MCTS, 30, 4, 4, Size, 100, 0, 0, 147, 0.0971
UCT MCTS, 31, 5, 5, Dough, 100, 0, 0, 161, 0.088
UCT MCTS, 32, 6, 6, Normal, 100, 0, 0, 165, 0.0781
UCT MCTS, 33, 3, 3, Sicilian, 100, 0, 0, 165, 0.062
UCT MCTS, 34, 1, 1, Topping, 100, 0, 0, 165, 0.0494
UCT MCTS, 35, 3, 3, Ham, 100, 0, 0, 165, 0.0409
UCT MCTS, 36, 1, 1, Pizza, 100, 0, 0, 95, 0.0917
UCT MCTS, 37, 4, 4, Dough, 100, 0, 0, 153, 0.098
UCT MCTS, 38, 5, 5, Size, 100, 0, 0, 165, 0.0879
UCT MCTS, 39, 6, 6, Normal, 100, 0, 0, 166, 0.0761
UCT MCTS, 40, 3, 3, Sicilian, 100, 0, 0, 166, 0.062
UCT MCTS, 41, 1, 1, Topping, 100, 0, 0, 166, 0.0487
UCT MCTS, 42, 3, 3, Mozzarella, 100, 0, 0, 166, 0.0392
UCT MCTS, 43, 1, 1, Pizza, 100, 0, 0, 96, 0.0925
UCT MCTS, 44, 4, 4, Dough, 100, 0, 0, 161, 0.1029
UCT MCTS, 45, 5, 5, Size, 100, 0, 0, 183, 0.098
UCT MCTS, 46, 6, 6, Normal, 100, 0, 0, 183, 0.0831
UCT MCTS, 47, 3, 3, Sicilian, 100, 0, 0, 183, 0.0665
UCT MCTS, 48, 1, 1, Topping, 100, 0, 0, 183, 0.0538
UCT MCTS, 49, 3, 3, Salami, 100, 0, 0, 183, 0.042
UCT MCTS, 50, 1, 1, Pizza, 100, 0, 0, 95, 0.0834
UCT MCTS, 51, 4, 4, Size, 100, 0, 0, 150, 0.1103
UCT MCTS, 52, 5, 5, Normal, 100, 0, 0, 158, 0.0848
UCT MCTS, 53, 2, 2, Dough, 100, 0, 0, 158, 0.0715
