Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
A* search, 1, 8, None, 0, 0, 0, 0, 0.5211, 7.248645
A* search, 2, 8, None, 0, 0, 0, 0, 0.5226, 7.268027
A* search, 3, 8, None, 0, 0, 0, 0, 0.5113, 7.271675
A* search, 4, 8, None, 0, 0, 0, 0, 0.5114, 7.288595
A* search, 5, 8, None, 0, 0, 0, 0, 0.4983, 7.319139
A* search, 6, 8, None, 0, 0, 0, 0, 0.507, 7.322467
A* search, 7, 8, None, 0, 0, 0, 0, 0.5089, 7.339515
A* search, 8, 8, None, 0, 0, 0, 0, 0.4961, 7.3700589999999995
A* search, 9, 8, None, 0, 0, 0, 0, 0.5066, 7.380579
A* search, 10, 8, None, 0, 0, 0, 0, 0.507, 7.390339
A* search, 11, 8, None, 0, 0, 0, 0, 0.4952, 7.420883
A* search, 12, 8, None, 0, 0, 0, 0, 0.5071, 7.437899
A* search, 13, 8, None, 0, 0, 0, 0, 0.5168, 7.4413789999999995
A* search, 14, 8, None, 0, 0, 0, 0, 0.5178, 7.458298999999999
A* search, 15, 8, None, 0, 0, 0, 0, 0.5012, 7.488842999999999
A* search, 16, 8, None, 0, 0, 0, 0, 0.5086, 7.492139
A* search, 17, 8, None, 0, 0, 0, 0, 0.5129, 7.509059
A* search, 18, 8, None, 0, 0, 0, 0, 0.497, 7.539667
A* search, 19, 8, None, 0, 0, 0, 0, 0.509, 7.545147
A* search, 20, 8, None, 0, 0, 0, 0, 0.5115, 7.559882999999999
A* search, 21, 8, None, 0, 0, 0, 0, 0.4995, 7.590427
A* search, 22, 8, None, 0, 0, 0, 0, 0.5191, 7.6072109999999995
A* search, 23, 8, None, 0, 0, 0, 0, 0.5178, 7.6112269999999995
A* search, 24, 8, None, 0, 0, 0, 0, 0.5166, 7.628146999999999
A* search, 25, 8, None, 0, 0, 0, 0, 0.5039, 7.658690999999999
A* search, 26, 8, None, 0, 0, 0, 0, 0.5146, 7.662051
A* search, 27, 8, None, 0, 0, 0, 0, 0.5181, 7.678971
A* search, 28, 8, None, 0, 0, 0, 0, 0.5021, 7.709515
A* search, 29, 8, None, 0, 0, 0, 0, 0.5146, 7.712810999999999
A* search, 30, 8, None, 0, 0, 0, 0, 0.5201, 7.729730999999999
