Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Flat Monte Carlo, 1, 10, None, 100, 0, 0, 0, 0.9402, 0.692496
Flat Monte Carlo, 2, 11, None, 100, 0, 0, 0, 1.0096, 0.293832
Flat Monte Carlo, 3, 11, None, 100, 0, 0, 0, 1.0426, 0.315508
Flat Monte Carlo, 4, 11, None, 100, 0, 0, 0, 1.0081, 0.337476
Flat Monte Carlo, 5, 9, None, 100, 0, 0, 0, 0.8989, 0.36112
Flat Monte Carlo, 6, 12, None, 100, 0, 0, 0, 1.0277, 0.374308
Flat Monte Carlo, 7, 11, None, 100, 0, 0, 0, 1.0517, 0.4052
Flat Monte Carlo, 8, 9, None, 100, 0, 0, 0, 0.9232, 0.4365
Flat Monte Carlo, 9, 10, None, 100, 0, 0, 0, 0.993, 0.449812
Flat Monte Carlo, 10, 10, None, 100, 0, 0, 0, 0.9713, 0.47126399999999996
Flat Monte Carlo, 11, 11, None, 100, 0, 0, 0, 1.0231, 0.48728
Flat Monte Carlo, 12, 10, None, 100, 0, 0, 0, 0.9677, 0.5150239999999999
Flat Monte Carlo, 13, 12, None, 100, 0, 0, 0, 1.0295, 0.531624
Flat Monte Carlo, 14, 11, None, 100, 0, 0, 0, 0.999, 0.553604
Flat Monte Carlo, 15, 12, None, 100, 0, 0, 0, 1.0643, 0.574236
Flat Monte Carlo, 16, 11, None, 100, 0, 0, 0, 1.0408, 0.6003999999999999
Flat Monte Carlo, 17, 12, None, 100, 0, 0, 0, 1.037, 0.621184
Flat Monte Carlo, 18, 9, None, 100, 0, 0, 0, 0.9311, 0.6646639999999999
Flat Monte Carlo, 19, 9, None, 100, 0, 0, 0, 0.9664, 0.685492
Flat Monte Carlo, 20, 10, None, 100, 0, 0, 0, 0.9698, 0.6959879999999999
Flat Monte Carlo, 21, 10, None, 100, 0, 0, 0, 0.9759, 0.717268
Flat Monte Carlo, 22, 10, None, 100, 0, 0, 0, 0.9487, 0.7410519999999999
Flat Monte Carlo, 23, 9, None, 100, 0, 0, 0, 0.9728, 0.7661899999999999
Flat Monte Carlo, 24, 10, None, 100, 0, 0, 0, 0.9527, 0.777154
Flat Monte Carlo, 25, 12, None, 100, 0, 0, 0, 1.0138, 0.78955
Flat Monte Carlo, 26, 11, None, 100, 0, 0, 0, 0.9918, 0.817094
Flat Monte Carlo, 27, 13, None, 100, 0, 0, 0, 0.9994, 0.842009
Flat Monte Carlo, 28, 11, None, 100, 0, 0, 0, 0.9947, 0.866949
Flat Monte Carlo, 29, 12, None, 100, 0, 0, 0, 1.086, 0.8874209999999999
Flat Monte Carlo, 30, 11, None, 100, 0, 0, 0, 0.9873, 0.9140689999999999
