Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
Flat Monte Carlo, 1, 0, 0, GPL, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 2, 5, 5, GraphType, 100, 0, 0, 0, 0.1945
Flat Monte Carlo, 3, 6, 6, Driver, 100, 0, 0, 0, 0.1703
Flat Monte Carlo, 4, 6, 6, Benchmark, 100, 0, 0, 0, 0.1465
Flat Monte Carlo, 5, 5, 5, Weight, 100, 0, 0, 0, 0.1269
Flat Monte Carlo, 6, 4, 4, Undirected, 100, 0, 0, 0, 0.1074
Flat Monte Carlo, 7, 3, 3, Search, 100, 0, 0, 0, 0.0809
Flat Monte Carlo, 8, 4, 4, Algorithms, 100, 0, 0, 0, 0.0631
Flat Monte Carlo, 9, 10, 10, CC, 100, 0, 0, 0, 0.049
Flat Monte Carlo, 10, 0, 0, GPL, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 11, 5, 5, Weight, 100, 0, 0, 0, 0.1982
Flat Monte Carlo, 12, 4, 4, GraphType, 100, 0, 0, 0, 0.1839
Flat Monte Carlo, 13, 5, 5, Driver, 100, 0, 0, 0, 0.1584
Flat Monte Carlo, 14, 5, 5, Benchmark, 100, 0, 0, 0, 0.137
Flat Monte Carlo, 15, 4, 4, Search, 100, 0, 0, 0, 0.1002
Flat Monte Carlo, 16, 5, 5, Undirected, 100, 0, 0, 0, 0.0854
Flat Monte Carlo, 17, 4, 4, Directed, 100, 0, 0, 0, 0.0631
Flat Monte Carlo, 18, 3, 3, Algorithms, 100, 0, 0, 0, 0.0494
Flat Monte Carlo, 19, 9, 9, Shortest, 100, 0, 0, 0, 0.0321
Flat Monte Carlo, 20, 0, 0, GPL, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 21, 5, 5, GraphType, 100, 0, 0, 0, 0.2044
Flat Monte Carlo, 22, 6, 6, Directed, 100, 0, 0, 0, 0.1802
Flat Monte Carlo, 23, 5, 5, Search, 100, 0, 0, 0, 0.1672
Flat Monte Carlo, 24, 6, 6, Driver, 100, 0, 0, 0, 0.139
Flat Monte Carlo, 25, 6, 6, Benchmark, 100, 0, 0, 0, 0.1162
Flat Monte Carlo, 26, 5, 5, Weight, 100, 0, 0, 0, 0.0936
Flat Monte Carlo, 27, 4, 4, Undirected, 100, 0, 0, 0, 0.069
