Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Greedy MCTS, 1, 11, None, 100, 0, 0, 807, 3.0856, 13.505334999999999
Greedy MCTS, 2, 9, None, 100, 0, 0, 778, 2.1751, 13.469009999999999
Greedy MCTS, 3, 11, None, 100, 0, 0, 782, 3.0611, 13.237482
Greedy MCTS, 4, 11, None, 100, 0, 0, 779, 3.1465, 13.062619999999999
Greedy MCTS, 5, 13, None, 100, 0, 0, 774, 3.6555, 13.214043
Greedy MCTS, 6, 11, None, 100, 0, 0, 893, 2.988, 14.449503
Greedy MCTS, 7, 10, None, 100, 0, 0, 826, 2.6581, 13.82916
Greedy MCTS, 8, 9, None, 100, 0, 0, 779, 2.1203, 13.729422
Greedy MCTS, 9, 15, None, 100, 0, 0, 941, 4.2921, 15.006516
Greedy MCTS, 10, 9, None, 100, 0, 0, 790, 2.3298, 14.071074999999999
Greedy MCTS, 11, 10, None, 100, 0, 0, 724, 2.6341, 12.807843
Greedy MCTS, 12, 12, None, 100, 0, 0, 802, 3.2254, 13.683581
Greedy MCTS, 13, 9, None, 100, 0, 0, 808, 2.1034, 14.123137999999999
Greedy MCTS, 14, 12, None, 100, 0, 0, 984, 3.2568, 15.554031
Greedy MCTS, 15, 13, None, 100, 0, 0, 642, 3.6643, 12.242712
Greedy MCTS, 16, 13, None, 100, 0, 0, 762, 3.6473, 13.559332
Greedy MCTS, 17, 11, None, 100, 0, 0, 848, 2.933, 14.366983
Greedy MCTS, 18, 12, None, 100, 0, 0, 729, 3.5356, 13.150407999999999
Greedy MCTS, 19, 9, None, 100, 0, 0, 752, 2.2798, 13.469529999999999
Greedy MCTS, 20, 11, None, 100, 0, 0, 827, 3.0804, 14.160502999999999
Greedy MCTS, 21, 17, None, 100, 0, 0, 1037, 4.61, 16.191371999999998
Greedy MCTS, 22, 9, None, 100, 0, 0, 808, 2.1158, 14.661594
Greedy MCTS, 23, 12, None, 100, 0, 0, 801, 3.4879, 14.096290999999999
Greedy MCTS, 24, 12, None, 100, 0, 0, 680, 3.4598, 12.933783
Greedy MCTS, 25, 10, None, 100, 0, 0, 700, 2.751, 13.090746999999999
Greedy MCTS, 26, 10, None, 100, 0, 0, 829, 2.5768, 14.520266999999999
Greedy MCTS, 27, 12, None, 100, 0, 0, 946, 3.3415, 15.39852
Greedy MCTS, 28, 12, None, 100, 0, 0, 832, 3.504, 14.625907999999999
Greedy MCTS, 29, 12, None, 100, 0, 0, 886, 3.3249, 15.044779
Greedy MCTS, 30, 10, None, 100, 0, 0, 800, 2.6982, 14.10118
