Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Random strategy., 1, 16, None, 0, 0, 0, 0, 0.0022, 0.045453
Random strategy., 2, 14, None, 0, 0, 0, 0, 0.0018, 0.07854799999999999
Random strategy., 3, 18, None, 0, 0, 0, 0, 0.0024, 0.114008
Random strategy., 4, 17, None, 0, 0, 0, 0, 0.0027, 0.14672
Random strategy., 5, 17, None, 0, 0, 0, 0, 0.0022, 0.17995999999999998
Random strategy., 6, 13, None, 0, 0, 0, 0, 0.0013, 0.200508
Random strategy., 7, 15, None, 0, 0, 0, 0, 0.0018, 0.22767199999999999
Random strategy., 8, 18, None, 0, 0, 0, 0, 0.0023, 0.26201199999999997
Random strategy., 9, 18, None, 0, 0, 0, 0, 0.0027, 0.301317
Random strategy., 10, 17, None, 0, 0, 0, 0, 0.0025, 0.340138
Random strategy., 11, 17, None, 0, 0, 0, 0, 0.0024, 0.375834
Random strategy., 12, 18, None, 0, 0, 0, 0, 0.0025, 0.41426599999999997
Random strategy., 13, 18, None, 0, 0, 0, 0, 0.0022, 0.44845399999999996
Random strategy., 14, 14, None, 0, 0, 0, 0, 0.0018, 0.474943
Random strategy., 15, 17, None, 0, 0, 0, 0, 0.0021, 0.5062789999999999
Random strategy., 16, 11, None, 0, 0, 0, 0, 0.0014, 0.5259429999999999
Random strategy., 17, 17, None, 0, 0, 0, 0, 0.0023, 0.560811
Random strategy., 18, 17, None, 0, 0, 0, 0, 0.0027, 0.5991989999999999
Random strategy., 19, 18, None, 0, 0, 0, 0, 0.0025, 0.636255
Random strategy., 20, 12, None, 0, 0, 0, 0, 0.0013, 0.6564749999999999
Random strategy., 21, 18, None, 0, 0, 0, 0, 0.0024, 0.693303
Random strategy., 22, 17, None, 0, 0, 0, 0, 0.0024, 0.730355
Random strategy., 23, 17, None, 0, 0, 0, 0, 0.0025, 0.767103
Random strategy., 24, 18, None, 0, 0, 0, 0, 0.0023, 0.8019069999999999
Random strategy., 25, 18, None, 0, 0, 0, 0, 0.0024, 0.837579
Random strategy., 26, 12, None, 0, 0, 0, 0, 0.0013, 0.8586429999999999
Random strategy., 27, 12, None, 0, 0, 0, 0, 0.0013, 0.878647
Random strategy., 28, 18, None, 0, 0, 0, 0, 0.0023, 0.915339
Random strategy., 29, 18, None, 0, 0, 0, 0, 0.0026, 0.955807
Random strategy., 30, 14, None, 0, 0, 0, 0, 0.0021, 0.986375
