Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
UCT MCTS, 1, 13, None, 100, 0, 0, 774, 3.5977, 6.720177
UCT MCTS, 2, 13, None, 100, 0, 0, 636, 3.4161, 6.721331999999999
UCT MCTS, 3, 12, None, 100, 0, 0, 762, 3.3863, 6.385051
UCT MCTS, 4, 10, None, 100, 0, 0, 765, 2.5296, 6.388383
UCT MCTS, 5, 12, None, 100, 0, 0, 727, 3.4025, 6.38767
UCT MCTS, 6, 12, None, 100, 0, 0, 794, 3.4458, 6.977043
UCT MCTS, 7, 13, None, 100, 0, 0, 766, 3.7894, 6.977621999999999
UCT MCTS, 8, 13, None, 100, 0, 0, 747, 3.7298, 6.690155
UCT MCTS, 9, 13, None, 100, 0, 0, 830, 3.7486, 7.258143
UCT MCTS, 10, 13, None, 100, 0, 0, 795, 3.7251, 7.258426
UCT MCTS, 11, 12, None, 100, 0, 0, 884, 3.2087, 7.834854
UCT MCTS, 12, 12, None, 100, 0, 0, 792, 3.3639, 7.83461
UCT MCTS, 13, 13, None, 100, 0, 0, 802, 3.6854, 7.042549999999999
UCT MCTS, 14, 13, None, 100, 0, 0, 777, 3.6704, 7.116778
UCT MCTS, 15, 13, None, 100, 0, 0, 840, 3.6393, 7.414822
UCT MCTS, 16, 13, None, 100, 0, 0, 762, 3.6871, 7.412541999999999
UCT MCTS, 17, 12, None, 100, 0, 0, 830, 3.219, 7.675878
UCT MCTS, 18, 13, None, 100, 0, 0, 700, 3.6058, 7.676032999999999
UCT MCTS, 19, 13, None, 100, 0, 0, 904, 3.6615, 8.289386
UCT MCTS, 20, 12, None, 100, 0, 0, 918, 3.2816, 8.583286
UCT MCTS, 21, 9, None, 100, 0, 0, 808, 1.9757, 8.58357
UCT MCTS, 22, 13, None, 100, 0, 0, 663, 3.6786, 8.026644
UCT MCTS, 23, 13, None, 100, 0, 0, 619, 3.4671, 5.919886
UCT MCTS, 24, 12, None, 100, 0, 0, 695, 3.346, 6.420376999999999
UCT MCTS, 25, 12, None, 100, 0, 0, 809, 3.4215, 7.448841
UCT MCTS, 26, 13, None, 100, 0, 0, 800, 3.6994, 7.4491249999999996
UCT MCTS, 27, 12, None, 100, 0, 0, 764, 3.4074, 7.439531
UCT MCTS, 28, 12, None, 100, 0, 0, 759, 3.3986, 7.217477
UCT MCTS, 29, 13, None, 100, 0, 0, 758, 3.6185, 7.128549
UCT MCTS, 30, 9, None, 100, 0, 0, 786, 2.0756, 7.622465
Greedy MCTS, 31, 11, None, 100, 0, 0, 807, 3.0853, 13.505659
Greedy MCTS, 32, 9, None, 100, 0, 0, 778, 2.175, 13.506010999999999
Greedy MCTS, 33, 11, None, 100, 0, 0, 782, 3.061, 13.469382
Greedy MCTS, 34, 11, None, 100, 0, 0, 779, 3.1464, 13.237853999999999
Greedy MCTS, 35, 13, None, 100, 0, 0, 774, 3.6554, 13.213839
Greedy MCTS, 36, 11, None, 100, 0, 0, 893, 2.9878, 14.449299
Greedy MCTS, 37, 10, None, 100, 0, 0, 826, 2.6579, 14.450168999999999
Greedy MCTS, 38, 9, None, 100, 0, 0, 779, 2.1202, 13.829521
Greedy MCTS, 39, 15, None, 100, 0, 0, 941, 4.2919, 15.006302999999999
Greedy MCTS, 40, 9, None, 100, 0, 0, 790, 2.3297, 15.006877999999999
Greedy MCTS, 41, 10, None, 100, 0, 0, 724, 2.6339, 14.071447
Greedy MCTS, 42, 12, None, 100, 0, 0, 802, 3.2253, 13.683330999999999
Greedy MCTS, 43, 9, None, 100, 0, 0, 808, 2.1032, 14.122655
Greedy MCTS, 44, 12, None, 100, 0, 0, 984, 3.2566, 15.553827
Greedy MCTS, 45, 13, None, 100, 0, 0, 642, 3.6641, 15.554402999999999
Greedy MCTS, 46, 13, None, 100, 0, 0, 762, 3.6472, 13.559118999999999
Greedy MCTS, 47, 11, None, 100, 0, 0, 848, 2.9328, 14.367467
Greedy MCTS, 48, 12, None, 100, 0, 0, 729, 3.5355, 14.367353999999999
Greedy MCTS, 49, 9, None, 100, 0, 0, 752, 2.2797, 13.470039
Greedy MCTS, 50, 11, None, 100, 0, 0, 827, 3.0802, 14.160299
Greedy MCTS, 51, 17, None, 100, 0, 0, 1037, 4.6098, 16.191167
Greedy MCTS, 52, 9, None, 100, 0, 0, 808, 2.1156, 16.191751
Greedy MCTS, 53, 12, None, 100, 0, 0, 801, 3.4877, 14.662438
Greedy MCTS, 54, 12, None, 100, 0, 0, 680, 3.4597, 14.096672
Greedy MCTS, 55, 10, None, 100, 0, 0, 700, 2.7508, 13.091479
Greedy MCTS, 56, 10, None, 100, 0, 0, 829, 2.5767, 14.520747
Greedy MCTS, 57, 12, None, 100, 0, 0, 946, 3.3413, 15.398306999999999
Greedy MCTS, 58, 12, None, 100, 0, 0, 832, 3.5039, 15.398881999999999
Greedy MCTS, 59, 12, None, 100, 0, 0, 886, 3.3248, 15.044575
Greedy MCTS, 60, 10, None, 100, 0, 0, 800, 2.6981, 15.045150999999999
