Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
UCT MCTS, 1, 1, 1, GPL, 100, 0, 0, 101, 0.1506
UCT MCTS, 2, 5, 5, Driver, 100, 0, 0, 202, 0.1699
UCT MCTS, 3, 5, 5, GraphType, 100, 0, 0, 303, 0.2296
UCT MCTS, 4, 6, 6, Directed, 100, 0, 0, 404, 0.2834
UCT MCTS, 5, 5, 5, Benchmark, 100, 0, 0, 501, 0.3032
UCT MCTS, 6, 4, 4, Search, 100, 0, 0, 598, 0.2798
UCT MCTS, 7, 5, 5, DFS, 100, 0, 0, 685, 0.3202
UCT MCTS, 8, 4, 4, Undirected, 100, 0, 0, 748, 0.3784
UCT MCTS, 9, 3, 3, Weight, 100, 0, 0, 774, 0.418
UCT MCTS, 10, 2, 2, Algorithms, 100, 0, 0, 774, 0.4014
UCT MCTS, 11, 8, 8, BFS, 100, 0, 0, 774, 0.3552
UCT MCTS, 12, 7, 7, SCC, 100, 0, 0, 774, 0.3056
UCT MCTS, 13, 1, 1, GPL, 100, 0, 0, 101, 0.1496
UCT MCTS, 14, 5, 5, GraphType, 100, 0, 0, 202, 0.1728
UCT MCTS, 15, 6, 6, Directed, 100, 0, 0, 298, 0.2277
UCT MCTS, 16, 5, 5, Weight, 100, 0, 0, 374, 0.2886
UCT MCTS, 17, 4, 4, Search, 100, 0, 0, 446, 0.2936
UCT MCTS, 18, 5, 5, DFS, 100, 0, 0, 523, 0.3285
UCT MCTS, 19, 4, 4, Undirected, 100, 0, 0, 579, 0.3323
UCT MCTS, 20, 3, 3, Driver, 100, 0, 0, 627, 0.3516
UCT MCTS, 21, 3, 3, Benchmark, 100, 0, 0, 636, 0.3646
UCT MCTS, 22, 2, 2, Algorithms, 100, 0, 0, 636, 0.3405
UCT MCTS, 23, 8, 8, BFS, 100, 0, 0, 636, 0.2987
UCT MCTS, 24, 7, 7, CC, 100, 0, 0, 636, 0.2558
UCT MCTS, 25, 1, 1, GPL, 100, 0, 0, 101, 0.1613
UCT MCTS, 26, 5, 5, Driver, 100, 0, 0, 202, 0.1694
UCT MCTS, 27, 5, 5, GraphType, 100, 0, 0, 303, 0.2227
UCT MCTS, 28, 6, 6, Weight, 100, 0, 0, 404, 0.2641
UCT MCTS, 29, 5, 5, Undirected, 100, 0, 0, 505, 0.3174
UCT MCTS, 30, 4, 4, Benchmark, 100, 0, 0, 602, 0.3313
UCT MCTS, 31, 3, 3, Search, 100, 0, 0, 673, 0.3748
UCT MCTS, 32, 4, 4, DFS, 100, 0, 0, 743, 0.3736
UCT MCTS, 33, 3, 3, Directed, 100, 0, 0, 762, 0.4208
UCT MCTS, 34, 2, 2, Algorithms, 100, 0, 0, 762, 0.3933
UCT MCTS, 35, 8, 8, Num, 100, 0, 0, 762, 0.3478
UCT MCTS, 36, 1, 1, GPL, 100, 0, 0, 101, 0.1483
UCT MCTS, 37, 5, 5, GraphType, 100, 0, 0, 202, 0.1689
UCT MCTS, 38, 6, 6, Undirected, 100, 0, 0, 303, 0.2304
UCT MCTS, 39, 5, 5, Weight, 100, 0, 0, 404, 0.255
UCT MCTS, 40, 4, 4, Driver, 100, 0, 0, 502, 0.3047
UCT MCTS, 41, 4, 4, Benchmark, 100, 0, 0, 592, 0.3289
UCT MCTS, 42, 3, 3, Directed, 100, 0, 0, 666, 0.3528
UCT MCTS, 43, 2, 2, Algorithms, 100, 0, 0, 696, 0.4086
UCT MCTS, 44, 8, 8, Shortest, 100, 0, 0, 765, 0.321
UCT MCTS, 45, 1, 1, GPL, 100, 0, 0, 101, 0.1543
UCT MCTS, 46, 5, 5, GraphType, 100, 0, 0, 202, 0.177
UCT MCTS, 47, 6, 6, Weight, 100, 0, 0, 303, 0.2259
UCT MCTS, 48, 5, 5, Driver, 100, 0, 0, 404, 0.276
UCT MCTS, 49, 5, 5, Directed, 100, 0, 0, 505, 0.3168
UCT MCTS, 50, 4, 4, Benchmark, 100, 0, 0, 583, 0.3506
UCT MCTS, 51, 3, 3, Search, 100, 0, 0, 650, 0.3733
UCT MCTS, 52, 4, 4, DFS, 100, 0, 0, 700, 0.3867
UCT MCTS, 53, 3, 3, Undirected, 100, 0, 0, 727, 0.3968
UCT MCTS, 54, 2, 2, Algorithms, 100, 0, 0, 727, 0.388
UCT MCTS, 55, 8, 8, CC, 100, 0, 0, 727, 0.3453
UCT MCTS, 56, 1, 1, GPL, 100, 0, 0, 101, 0.1452
UCT MCTS, 57, 5, 5, Driver, 100, 0, 0, 202, 0.1678
UCT MCTS, 58, 5, 5, Weight, 100, 0, 0, 303, 0.225
UCT MCTS, 59, 4, 4, Search, 100, 0, 0, 404, 0.2816
UCT MCTS, 60, 5, 5, Benchmark, 100, 0, 0, 505, 0.3084
UCT MCTS, 61, 4, 4, GraphType, 100, 0, 0, 605, 0.3173
UCT MCTS, 62, 5, 5, Directed, 100, 0, 0, 694, 0.3406
UCT MCTS, 63, 4, 4, Undirected, 100, 0, 0, 762, 0.3854
UCT MCTS, 64, 3, 3, DFS, 100, 0, 0, 794, 0.454
UCT MCTS, 65, 2, 2, Algorithms, 100, 0, 0, 794, 0.4314
UCT MCTS, 66, 8, 8, CC, 100, 0, 0, 794, 0.3789
UCT MCTS, 67, 1, 1, GPL, 100, 0, 0, 101, 0.1764
UCT MCTS, 68, 5, 5, Driver, 100, 0, 0, 202, 0.1637
UCT MCTS, 69, 5, 5, GraphType, 100, 0, 0, 303, 0.2545
UCT MCTS, 70, 6, 6, Directed, 100, 0, 0, 404, 0.2589
UCT MCTS, 71, 5, 5, Benchmark, 100, 0, 0, 505, 0.3043
UCT MCTS, 72, 4, 4, Undirected, 100, 0, 0, 606, 0.3384
UCT MCTS, 73, 3, 3, Weight, 100, 0, 0, 693, 0.3779
UCT MCTS, 74, 2, 2, Search, 100, 0, 0, 738, 0.4081
UCT MCTS, 75, 3, 3, DFS, 100, 0, 0, 766, 0.4229
UCT MCTS, 76, 2, 2, Algorithms, 100, 0, 0, 766, 0.4043
UCT MCTS, 77, 8, 8, BFS, 100, 0, 0, 766, 0.357
UCT MCTS, 78, 7, 7, Prim, 100, 0, 0, 766, 0.311
UCT MCTS, 79, 1, 1, GPL, 100, 0, 0, 101, 0.1465
UCT MCTS, 80, 5, 5, Driver, 100, 0, 0, 202, 0.1721
UCT MCTS, 81, 5, 5, Benchmark, 100, 0, 0, 303, 0.2239
UCT MCTS, 82, 4, 4, GraphType, 100, 0, 0, 404, 0.2661
UCT MCTS, 83, 5, 5, Directed, 100, 0, 0, 505, 0.3071
UCT MCTS, 84, 4, 4, Weight, 100, 0, 0, 606, 0.3328
UCT MCTS, 85, 3, 3, Undirected, 100, 0, 0, 681, 0.3696
UCT MCTS, 86, 2, 2, Search, 100, 0, 0, 730, 0.3981
UCT MCTS, 87, 3, 3, DFS, 100, 0, 0, 747, 0.436
