Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
Greedy MCTS, 1, 1, 1, JHipster, 100, 0, 0, 101, 0.4807
Greedy MCTS, 2, 11, 11, Database, 100, 0, 0, 202, 0.3115
Greedy MCTS, 3, 13, 13, Cassandra, 100, 0, 0, 279, 0.277
Greedy MCTS, 4, 9, 9, Authentication, 100, 0, 0, 347, 0.3033
Greedy MCTS, 5, 11, 11, TestingFrameworks, 100, 0, 0, 392, 0.316
Greedy MCTS, 6, 13, 13, Generator, 100, 0, 0, 416, 0.3073
Greedy MCTS, 7, 14, 14, Server, 100, 0, 0, 433, 0.2925
Greedy MCTS, 8, 9, 9, BackEnd, 100, 0, 0, 443, 0.2625
Greedy MCTS, 9, 10, 10, Uaa, 100, 0, 0, 449, 0.2381
Greedy MCTS, 10, 8, 8, Cucumber, 100, 0, 0, 449, 0.2081
Greedy MCTS, 11, 7, 7, Maven, 100, 0, 0, 449, 0.1756
Greedy MCTS, 12, 5, 5, Gatling, 100, 0, 0, 449, 0.1444
Greedy MCTS, 13, 4, 4, UaaServer, 100, 0, 0, 449, 0.1134
Greedy MCTS, 14, 1, 1, JHipster, 100, 0, 0, 101, 0.5211
Greedy MCTS, 15, 11, 11, Libsass, 100, 0, 0, 202, 0.5089
Greedy MCTS, 16, 10, 10, ClusteredSession, 100, 0, 0, 303, 0.4835
Greedy MCTS, 17, 9, 9, Authentication, 100, 0, 0, 385, 0.4083
Greedy MCTS, 18, 12, 12, Uaa, 100, 0, 0, 397, 0.4245
Greedy MCTS, 19, 7, 7, Database, 100, 0, 0, 425, 0.4157
Greedy MCTS, 20, 9, 9, Cassandra, 100, 0, 0, 430, 0.3997
Greedy MCTS, 21, 6, 6, BackEnd, 100, 0, 0, 430, 0.37
Greedy MCTS, 22, 7, 7, Generator, 100, 0, 0, 430, 0.3417
Greedy MCTS, 23, 7, 7, Maven, 100, 0, 0, 430, 0.3111
Greedy MCTS, 24, 5, 5, SpringWebSockets, 100, 0, 0, 430, 0.2829
Greedy MCTS, 25, 4, 4, TestingFrameworks, 100, 0, 0, 430, 0.2555
Greedy MCTS, 26, 6, 6, Gatling, 100, 0, 0, 430, 0.2283
Greedy MCTS, 27, 5, 5, Application, 100, 0, 0, 430, 0.1959
Greedy MCTS, 28, 5, 5, MicroserviceGateway, 100, 0, 0, 430, 0.1661
Greedy MCTS, 29, 4, 4, Protractor, 100, 0, 0, 430, 0.1379
Greedy MCTS, 30, 3, 3, Cucumber, 100, 0, 0, 430, 0.1078
Greedy MCTS, 31, 1, 1, JHipster, 100, 0, 0, 101, 0.5439
Greedy MCTS, 32, 11, 11, BackEnd, 100, 0, 0, 202, 0.4428
Greedy MCTS, 33, 12, 12, Authentication, 100, 0, 0, 271, 0.286
Greedy MCTS, 34, 15, 15, Generator, 100, 0, 0, 347, 0.304
Greedy MCTS, 35, 16, 16, Server, 100, 0, 0, 375, 0.3117
Greedy MCTS, 36, 10, 10, Database, 100, 0, 0, 418, 0.2941
Greedy MCTS, 37, 12, 12, MongoDB, 100, 0, 0, 449, 0.297
Greedy MCTS, 38, 9, 9, TestingFrameworks, 100, 0, 0, 456, 0.2748
Greedy MCTS, 39, 10, 10, Cucumber, 100, 0, 0, 460, 0.2445
Greedy MCTS, 40, 9, 9, MicroserviceApplication, 100, 0, 0, 462, 0.2135
Greedy MCTS, 41, 7, 7, Gradle, 100, 0, 0, 462, 0.1808
Greedy MCTS, 42, 5, 5, Gatling, 100, 0, 0, 462, 0.1469
Greedy MCTS, 43, 4, 4, JWT, 100, 0, 0, 462, 0.1147
Greedy MCTS, 44, 1, 1, JHipster, 100, 0, 0, 101, 0.5205
Greedy MCTS, 45, 11, 11, Generator, 100, 0, 0, 202, 0.3842
Greedy MCTS, 46, 12, 12, Server, 100, 0, 0, 224, 0.2461
Greedy MCTS, 47, 8, 8, Docker, 100, 0, 0, 224, 0.2183
Greedy MCTS, 48, 7, 7, UaaServer, 100, 0, 0, 224, 0.2017
Greedy MCTS, 49, 5, 5, Database, 100, 0, 0, 224, 0.1843
Greedy MCTS, 50, 7, 7, Cassandra, 100, 0, 0, 224, 0.1681
Greedy MCTS, 51, 4, 4, Authentication, 100, 0, 0, 224, 0.1504
Greedy MCTS, 52, 4, 4, BackEnd, 100, 0, 0, 224, 0.1331
Greedy MCTS, 53, 5, 5, InternationalizationSupport, 100, 0, 0, 224, 0.1172
Greedy MCTS, 54, 4, 4, TestingFrameworks, 100, 0, 0, 224, 0.1008
Greedy MCTS, 55, 5, 5, Uaa, 100, 0, 0, 224, 0.0851
Greedy MCTS, 56, 4, 4, Gradle, 100, 0, 0, 224, 0.0687
Greedy MCTS, 57, 2, 2, Gatling, 100, 0, 0, 224, 0.0525
Greedy MCTS, 58, 1, 1, Cucumber, 100, 0, 0, 224, 0.0372
