Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Random strategy., 1, 21, None, 0, 0, 0, 0, 0.0042, 0.06512899999999999
Random strategy., 2, 20, None, 0, 0, 0, 0, 0.0038, 0.11655599999999999
Random strategy., 3, 20, None, 0, 0, 0, 0, 0.004, 0.161732
Random strategy., 4, 21, None, 0, 0, 0, 0, 0.004, 0.208165
Random strategy., 5, 28, None, 0, 0, 0, 0, 0.0067, 0.28726199999999996
Random strategy., 6, 16, None, 0, 0, 0, 0, 0.0034, 0.322859
Random strategy., 7, 28, None, 0, 0, 0, 0, 0.0061, 0.39497499999999997
Random strategy., 8, 20, None, 0, 0, 0, 0, 0.0041, 0.441531
Random strategy., 9, 21, None, 0, 0, 0, 0, 0.0042, 0.490087
Random strategy., 10, 20, None, 0, 0, 0, 0, 0.0041, 0.538555
Random strategy., 11, 21, None, 0, 0, 0, 0, 0.004, 0.5858949999999999
Random strategy., 12, 21, None, 0, 0, 0, 0, 0.0037, 0.6308309999999999
Random strategy., 13, 21, None, 0, 0, 0, 0, 0.0043, 0.681331
Random strategy., 14, 20, None, 0, 0, 0, 0, 0.0047, 0.728247
Random strategy., 15, 21, None, 0, 0, 0, 0, 0.0044, 0.780079
Random strategy., 16, 21, None, 0, 0, 0, 0, 0.004, 0.827727
Random strategy., 17, 21, None, 0, 0, 0, 0, 0.0043, 0.878952
Random strategy., 18, 21, None, 0, 0, 0, 0, 0.0043, 0.930256
Random strategy., 19, 21, None, 0, 0, 0, 0, 0.0041, 0.9790439999999999
Random strategy., 20, 29, None, 0, 0, 0, 0, 0.0068, 1.062792
Random strategy., 21, 27, None, 0, 0, 0, 0, 0.0062, 1.13382
Random strategy., 22, 20, None, 0, 0, 0, 0, 0.0045, 1.184624
Random strategy., 23, 28, None, 0, 0, 0, 0, 0.006, 1.254764
Random strategy., 24, 29, None, 0, 0, 0, 0, 0.0069, 1.33725
Random strategy., 25, 20, None, 0, 0, 0, 0, 0.0039, 1.381383
Random strategy., 26, 20, None, 0, 0, 0, 0, 0.0038, 1.425443
Random strategy., 27, 28, None, 0, 0, 0, 0, 0.0065, 1.5021829999999998
Random strategy., 28, 20, None, 0, 0, 0, 0, 0.0036, 1.5467549999999999
Random strategy., 29, 27, None, 0, 0, 0, 0, 0.0061, 1.620064
Random strategy., 30, 21, None, 0, 0, 0, 0, 0.0045, 1.6672639999999999
