Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
UCT MCTS, 1, 12, None, 100, 0, 0, 466, 3.3692, 4.545033
UCT MCTS, 2, 14, None, 100, 0, 0, 710, 3.92, 5.662342
UCT MCTS, 3, 14, None, 100, 0, 0, 383, 3.1442, 5.662259
UCT MCTS, 4, 15, None, 100, 0, 0, 904, 4.7941, 8.412213999999999
UCT MCTS, 5, 14, None, 100, 0, 0, 698, 3.8919, 8.412253999999999
UCT MCTS, 6, 14, None, 100, 0, 0, 666, 4.1704, 6.22865
UCT MCTS, 7, 15, None, 100, 0, 0, 457, 3.7062, 6.228864
UCT MCTS, 8, 14, None, 100, 0, 0, 807, 4.0604, 6.55035
UCT MCTS, 9, 14, None, 100, 0, 0, 564, 3.8696, 6.550268
UCT MCTS, 10, 14, None, 100, 0, 0, 822, 4.029, 6.492217
UCT MCTS, 11, 14, None, 100, 0, 0, 397, 3.3529, 6.4921359999999995
UCT MCTS, 12, 12, None, 100, 0, 0, 308, 2.6823, 4.233839
UCT MCTS, 13, 15, None, 100, 0, 0, 599, 3.8687, 4.798613
UCT MCTS, 14, 16, None, 100, 0, 0, 1347, 6.2571, 14.754688999999999
UCT MCTS, 15, 17, None, 100, 0, 0, 1115, 6.898, 14.7539
UCT MCTS, 16, 14, None, 100, 0, 0, 858, 4.1341, 11.032492
UCT MCTS, 17, 15, None, 100, 0, 0, 526, 3.8805, 7.098166
UCT MCTS, 18, 14, None, 100, 0, 0, 818, 4.0662, 6.998952999999999
UCT MCTS, 19, 15, None, 100, 0, 0, 575, 3.8978, 6.998882
UCT MCTS, 20, 12, None, 100, 0, 0, 657, 3.8719, 6.957885
UCT MCTS, 21, 15, None, 100, 0, 0, 531, 3.7897, 6.9557649999999995
UCT MCTS, 22, 15, None, 100, 0, 0, 564, 3.8499, 5.193232999999999
UCT MCTS, 23, 14, None, 100, 0, 0, 555, 3.7008, 5.211285
UCT MCTS, 24, 14, None, 100, 0, 0, 676, 3.9392, 6.084225
UCT MCTS, 25, 14, None, 100, 0, 0, 785, 4.2128, 7.828073
UCT MCTS, 26, 15, None, 100, 0, 0, 552, 3.779, 7.827992999999999
UCT MCTS, 27, 15, None, 100, 0, 0, 494, 4.0284, 6.033761
UCT MCTS, 28, 15, None, 100, 0, 0, 396, 3.5307, 6.033709
UCT MCTS, 29, 14, None, 100, 0, 0, 726, 4.1865, 7.253889
UCT MCTS, 30, 16, None, 100, 0, 0, 1121, 6.5232, 11.572485
Greedy MCTS, 31, 14, None, 100, 0, 0, 449, 3.4339, 14.263126
Greedy MCTS, 32, 18, None, 100, 0, 0, 430, 5.5681, 14.666962
Greedy MCTS, 33, 14, None, 100, 0, 0, 462, 3.6646, 14.696373999999999
Greedy MCTS, 34, 16, None, 100, 0, 0, 224, 2.6776, 14.696669
Greedy MCTS, 35, 14, None, 100, 0, 0, 379, 3.5286, 14.291725999999999
Greedy MCTS, 36, 17, None, 100, 0, 0, 714, 6.3514, 16.996882
Greedy MCTS, 37, 16, None, 100, 0, 0, 157, 2.1762, 16.997585
Greedy MCTS, 38, 14, None, 100, 0, 0, 265, 2.7244, 13.206005999999999
Greedy MCTS, 39, 15, None, 100, 0, 0, 193, 2.2857, 13.20631
Greedy MCTS, 40, 15, None, 100, 0, 0, 379, 3.8216, 15.032242
Greedy MCTS, 41, 15, None, 100, 0, 0, 304, 3.0964, 15.032575
Greedy MCTS, 42, 15, None, 100, 0, 0, 177, 2.3536, 13.799446
Greedy MCTS, 43, 14, None, 100, 0, 0, 289, 3.062, 13.848878
Greedy MCTS, 44, 14, None, 100, 0, 0, 405, 3.5688, 14.608422
Greedy MCTS, 45, 15, None, 100, 0, 0, 183, 2.3057, 14.608716999999999
Greedy MCTS, 46, 15, None, 100, 0, 0, 254, 2.7331, 13.505341999999999
Greedy MCTS, 47, 18, None, 100, 0, 0, 536, 6.2416, 16.15373
Greedy MCTS, 48, 15, None, 100, 0, 0, 369, 3.205, 16.154166
Greedy MCTS, 49, 15, None, 100, 0, 0, 422, 3.3716, 14.548922
Greedy MCTS, 50, 14, None, 100, 0, 0, 275, 2.8691, 14.549273999999999
Greedy MCTS, 51, 14, None, 100, 0, 0, 382, 3.503, 15.044746
Greedy MCTS, 52, 17, None, 100, 0, 0, 702, 6.5127, 18.033098
Greedy MCTS, 53, 15, None, 100, 0, 0, 348, 3.4666, 18.034042
Greedy MCTS, 54, 15, None, 100, 0, 0, 889, 6.3477, 19.68441
Greedy MCTS, 55, 18, None, 100, 0, 0, 690, 5.8284, 19.684762
Greedy MCTS, 56, 15, None, 100, 0, 0, 188, 2.3787, 17.450186
Greedy MCTS, 57, 19, None, 100, 0, 0, 587, 6.1129, 16.808609999999998
Greedy MCTS, 58, 20, None, 100, 0, 0, 322, 4.9487, 16.809072999999998
Greedy MCTS, 59, 19, None, 100, 0, 0, 726, 6.5455, 18.221425999999997
Greedy MCTS, 60, 12, None, 100, 0, 0, 352, 3.1845, 18.22189
