Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
UCT MCTS, 1, 1, 1, JHipster, 100, 0, 0, 101, 0.4797
UCT MCTS, 2, 11, 11, Generator, 100, 0, 0, 202, 0.3681
UCT MCTS, 3, 12, 12, Server, 100, 0, 0, 303, 0.3617
UCT MCTS, 4, 8, 8, MicroserviceApplication, 100, 0, 0, 404, 0.3291
UCT MCTS, 5, 6, 6, BackEnd, 100, 0, 0, 465, 0.3882
UCT MCTS, 6, 7, 7, Gradle, 100, 0, 0, 465, 0.3147
UCT MCTS, 7, 5, 5, TestingFrameworks, 100, 0, 0, 465, 0.284
UCT MCTS, 8, 6, 6, Authentication, 100, 0, 0, 465, 0.2552
UCT MCTS, 9, 7, 7, Uaa, 100, 0, 0, 465, 0.2241
UCT MCTS, 10, 5, 5, Cucumber, 100, 0, 0, 466, 0.1959
UCT MCTS, 11, 4, 4, Gatling, 100, 0, 0, 466, 0.1661
UCT MCTS, 12, 1, 1, JHipster, 100, 0, 0, 101, 0.4556
UCT MCTS, 13, 11, 11, Database, 100, 0, 0, 202, 0.2987
UCT MCTS, 14, 13, 13, Cassandra, 100, 0, 0, 303, 0.3004
UCT MCTS, 15, 9, 9, Generator, 100, 0, 0, 404, 0.3046
UCT MCTS, 16, 10, 10, Server, 100, 0, 0, 499, 0.3319
UCT MCTS, 17, 7, 7, TestingFrameworks, 100, 0, 0, 593, 0.3248
UCT MCTS, 18, 8, 8, MicroserviceApplication, 100, 0, 0, 685, 0.3343
UCT MCTS, 19, 6, 6, Authentication, 100, 0, 0, 709, 0.3606
UCT MCTS, 20, 7, 7, Cucumber, 100, 0, 0, 710, 0.3284
UCT MCTS, 21, 6, 6, Gatling, 100, 0, 0, 710, 0.2834
UCT MCTS, 22, 5, 5, BackEnd, 100, 0, 0, 710, 0.2422
UCT MCTS, 23, 6, 6, Gradle, 100, 0, 0, 710, 0.1955
UCT MCTS, 24, 4, 4, Uaa, 100, 0, 0, 710, 0.148
UCT MCTS, 25, 1, 1, JHipster, 100, 0, 0, 101, 0.4939
UCT MCTS, 26, 11, 11, Authentication, 100, 0, 0, 202, 0.3008
UCT MCTS, 27, 14, 14, Uaa, 100, 0, 0, 293, 0.2587
UCT MCTS, 28, 9, 9, Database, 100, 0, 0, 366, 0.2886
UCT MCTS, 29, 11, 11, MongoDB, 100, 0, 0, 382, 0.2981
UCT MCTS, 30, 8, 8, Generator, 100, 0, 0, 382, 0.2768
UCT MCTS, 31, 9, 9, Server, 100, 0, 0, 383, 0.2514
UCT MCTS, 32, 6, 6, TestingFrameworks, 100, 0, 0, 383, 0.2241
UCT MCTS, 33, 7, 7, BackEnd, 100, 0, 0, 383, 0.2029
UCT MCTS, 34, 8, 8, UaaServer, 100, 0, 0, 383, 0.1766
UCT MCTS, 35, 6, 6, Gatling, 100, 0, 0, 383, 0.1459
UCT MCTS, 36, 5, 5, Cucumber, 100, 0, 0, 383, 0.1196
UCT MCTS, 37, 4, 4, Gradle, 100, 0, 0, 383, 0.0944
UCT MCTS, 38, 1, 1, JHipster, 100, 0, 0, 101, 0.5086
UCT MCTS, 39, 11, 11, TestingFrameworks, 100, 0, 0, 202, 0.5026
UCT MCTS, 40, 13, 13, Generator, 100, 0, 0, 303, 0.4144
UCT MCTS, 41, 14, 14, Server, 100, 0, 0, 404, 0.4195
UCT MCTS, 42, 9, 9, InternationalizationSupport, 100, 0, 0, 505, 0.3832
UCT MCTS, 43, 8, 8, BackEnd, 100, 0, 0, 606, 0.3322
UCT MCTS, 44, 9, 9, Database, 100, 0, 0, 707, 0.3472
UCT MCTS, 45, 11, 11, Cassandra, 100, 0, 0, 808, 0.3335
UCT MCTS, 46, 8, 8, Authentication, 100, 0, 0, 890, 0.3446
UCT MCTS, 47, 9, 9, Uaa, 100, 0, 0, 904, 0.3475
UCT MCTS, 48, 7, 7, Cucumber, 100, 0, 0, 904, 0.2964
UCT MCTS, 49, 6, 6, Gradle, 100, 0, 0, 904, 0.2414
UCT MCTS, 50, 4, 4, Gatling, 100, 0, 0, 904, 0.185
UCT MCTS, 51, 3, 3, MicroserviceApplication, 100, 0, 0, 904, 0.1291
UCT MCTS, 52, 1, 1, JHipster, 100, 0, 0, 101, 0.4237
UCT MCTS, 53, 11, 11, Database, 100, 0, 0, 202, 0.3636
UCT MCTS, 54, 13, 13, Cassandra, 100, 0, 0, 303, 0.3014
UCT MCTS, 55, 9, 9, TestingFrameworks, 100, 0, 0, 391, 0.2995
UCT MCTS, 56, 11, 11, Generator, 100, 0, 0, 487, 0.3199
UCT MCTS, 57, 12, 12, Server, 100, 0, 0, 579, 0.3305
UCT MCTS, 58, 8, 8, Gatling, 100, 0, 0, 657, 0.3283
UCT MCTS, 59, 7, 7, MicroserviceApplication, 100, 0, 0, 696, 0.3403
UCT MCTS, 60, 5, 5, Cucumber, 100, 0, 0, 698, 0.3176
UCT MCTS, 61, 4, 4, Authentication, 100, 0, 0, 698, 0.276
UCT MCTS, 62, 5, 5, BackEnd, 100, 0, 0, 698, 0.2329
UCT MCTS, 63, 6, 6, Maven, 100, 0, 0, 698, 0.1949
UCT MCTS, 64, 4, 4, Uaa, 100, 0, 0, 698, 0.1472
UCT MCTS, 65, 1, 1, JHipster, 100, 0, 0, 101, 0.4417
UCT MCTS, 66, 11, 11, Generator, 100, 0, 0, 202, 0.3687
UCT MCTS, 67, 12, 12, Server, 100, 0, 0, 303, 0.3645
UCT MCTS, 68, 8, 8, TestingFrameworks, 100, 0, 0, 404, 0.3623
UCT MCTS, 69, 9, 9, BackEnd, 100, 0, 0, 505, 0.393
UCT MCTS, 70, 10, 10, Gatling, 100, 0, 0, 606, 0.3905
UCT MCTS, 71, 9, 9, Maven, 100, 0, 0, 666, 0.3634
UCT MCTS, 72, 7, 7, MicroserviceApplication, 100, 0, 0, 666, 0.3491
UCT MCTS, 73, 5, 5, Database, 100, 0, 0, 666, 0.307
UCT MCTS, 74, 7, 7, MongoDB, 100, 0, 0, 666, 0.2663
UCT MCTS, 75, 4, 4, Authentication, 100, 0, 0, 666, 0.2245
UCT MCTS, 76, 5, 5, Uaa, 100, 0, 0, 666, 0.1856
UCT MCTS, 77, 3, 3, Cucumber, 100, 0, 0, 666, 0.1407
UCT MCTS, 78, 1, 1, JHipster, 100, 0, 0, 101, 0.448
UCT MCTS, 79, 11, 11, Generator, 100, 0, 0, 202, 0.3733
UCT MCTS, 80, 12, 12, Server, 100, 0, 0, 303, 0.377
UCT MCTS, 81, 8, 8, MicroserviceApplication, 100, 0, 0, 404, 0.3815
UCT MCTS, 82, 6, 6, BackEnd, 100, 0, 0, 457, 0.3631
UCT MCTS, 83, 7, 7, TestingFrameworks, 100, 0, 0, 457, 0.3116
UCT MCTS, 84, 8, 8, Gradle, 100, 0, 0, 457, 0.2822
UCT MCTS, 85, 6, 6, InternationalizationSupport, 100, 0, 0, 457, 0.2529
UCT MCTS, 86, 5, 5, Gatling, 100, 0, 0, 457, 0.2246
UCT MCTS, 87, 4, 4, Cucumber, 100, 0, 0, 457, 0.1943
UCT MCTS, 88, 3, 3, Database, 100, 0, 0, 457, 0.1651
UCT MCTS, 89, 5, 5, Cassandra, 100, 0, 0, 457, 0.1362
UCT MCTS, 90, 2, 2, Authentication, 100, 0, 0, 457, 0.1062
UCT MCTS, 91, 3, 3, Uaa, 100, 0, 0, 457, 0.0774
UCT MCTS, 92, 1, 1, JHipster, 100, 0, 0, 101, 0.454
UCT MCTS, 93, 11, 11, Database, 100, 0, 0, 202, 0.297
UCT MCTS, 94, 13, 13, Cassandra, 100, 0, 0, 303, 0.2975
UCT MCTS, 95, 9, 9, Generator, 100, 0, 0, 404, 0.3115
UCT MCTS, 96, 10, 10, Server, 100, 0, 0, 505, 0.3248
UCT MCTS, 97, 7, 7, TestingFrameworks, 100, 0, 0, 602, 0.3437
UCT MCTS, 98, 8, 8, Authentication, 100, 0, 0, 698, 0.3469
UCT MCTS, 99, 9, 9, MicroserviceApplication, 100, 0, 0, 779, 0.3438
UCT MCTS, 100, 7, 7, BackEnd, 100, 0, 0, 807, 0.3547
UCT MCTS, 101, 8, 8, Gradle, 100, 0, 0, 807, 0.3232
UCT MCTS, 102, 6, 6, Gatling, 100, 0, 0, 807, 0.2676
UCT MCTS, 103, 5, 5, Cucumber, 100, 0, 0, 807, 0.2177
UCT MCTS, 104, 4, 4, JWT, 100, 0, 0, 807, 0.1663
UCT MCTS, 105, 1, 1, JHipster, 100, 0, 0, 101, 0.5093
UCT MCTS, 106, 11, 11, TestingFrameworks, 100, 0, 0, 202, 0.4391
UCT MCTS, 107, 13, 13, Database, 100, 0, 0, 303, 0.3054
UCT MCTS, 108, 15, 15, Cassandra, 100, 0, 0, 397, 0.3033
UCT MCTS, 109, 11, 11, Gatling, 100, 0, 0, 471, 0.3253
UCT MCTS, 110, 10, 10, Generator, 100, 0, 0, 531, 0.3308
UCT MCTS, 111, 11, 11, Server, 100, 0, 0, 562, 0.3295
UCT MCTS, 112, 7, 7, Cucumber, 100, 0, 0, 564, 0.3086
UCT MCTS, 113, 6, 6, MicroserviceApplication, 100, 0, 0, 564, 0.2734
UCT MCTS, 114, 4, 4, Authentication, 100, 0, 0, 564, 0.2336
UCT MCTS, 115, 5, 5, BackEnd, 100, 0, 0, 564, 0.1964
UCT MCTS, 116, 6, 6, Uaa, 100, 0, 0, 564, 0.1668
UCT MCTS, 117, 4, 4, Gradle, 100, 0, 0, 564, 0.1336
UCT MCTS, 118, 1, 1, JHipster, 100, 0, 0, 101, 0.4361
UCT MCTS, 119, 11, 11, Database, 100, 0, 0, 202, 0.274
UCT MCTS, 120, 13, 13, Cassandra, 100, 0, 0, 303, 0.2948
UCT MCTS, 121, 9, 9, Generator, 100, 0, 0, 404, 0.308
UCT MCTS, 122, 10, 10, Server, 100, 0, 0, 505, 0.3318
UCT MCTS, 123, 7, 7, TestingFrameworks, 100, 0, 0, 605, 0.347
UCT MCTS, 124, 8, 8, BackEnd, 100, 0, 0, 697, 0.3467
UCT MCTS, 125, 9, 9, Authentication, 100, 0, 0, 769, 0.3497
UCT MCTS, 126, 10, 10, Gradle, 100, 0, 0, 813, 0.3459
UCT MCTS, 127, 8, 8, Cucumber, 100, 0, 0, 822, 0.3208
UCT MCTS, 128, 7, 7, MicroserviceApplication, 100, 0, 0, 822, 0.2713
UCT MCTS, 129, 5, 5, Gatling, 100, 0, 0, 822, 0.2201
UCT MCTS, 130, 4, 4, Uaa, 100, 0, 0, 822, 0.1707
UCT MCTS, 131, 1, 1, JHipster, 100, 0, 0, 101, 0.4979
UCT MCTS, 132, 11, 11, Authentication, 100, 0, 0, 202, 0.4106
UCT MCTS, 133, 14, 14, Uaa, 100, 0, 0, 303, 0.2789
UCT MCTS, 134, 9, 9, Database, 100, 0, 0, 376, 0.2992
UCT MCTS, 135, 11, 11, Cassandra, 100, 0, 0, 395, 0.3072
UCT MCTS, 136, 8, 8, TestingFrameworks, 100, 0, 0, 397, 0.2872
UCT MCTS, 137, 10, 10, Generator, 100, 0, 0, 397, 0.2614
