Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
Flat Monte Carlo, 1, 0, 0, Pizza, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 2, 4, 4, Size, 100, 0, 0, 0, 0.0784
Flat Monte Carlo, 3, 5, 5, Normal, 100, 0, 0, 0, 0.0634
Flat Monte Carlo, 4, 2, 2, Dough, 100, 0, 0, 0, 0.0456
Flat Monte Carlo, 5, 3, 3, Neapolitan, 100, 0, 0, 0, 0.0317
Flat Monte Carlo, 6, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 7, 3, 3, Salami, 100, 0, 0, 0, 0.0097
Flat Monte Carlo, 8, 0, 0, Pizza, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 9, 4, 4, Size, 100, 0, 0, 0, 0.0753
Flat Monte Carlo, 10, 5, 5, Normal, 100, 0, 0, 0, 0.0648
Flat Monte Carlo, 11, 2, 2, Dough, 100, 0, 0, 0, 0.047
Flat Monte Carlo, 12, 3, 3, Sicilian, 100, 0, 0, 0, 0.0324
Flat Monte Carlo, 13, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 14, 3, 3, Ham, 100, 0, 0, 0, 0.0096
Flat Monte Carlo, 15, 0, 0, Pizza, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 16, 4, 4, Dough, 100, 0, 0, 0, 0.0751
Flat Monte Carlo, 17, 5, 5, Size, 100, 0, 0, 0, 0.0641
Flat Monte Carlo, 18, 6, 6, Normal, 100, 0, 0, 0, 0.0483
Flat Monte Carlo, 19, 3, 3, Sicilian, 100, 0, 0, 0, 0.0307
Flat Monte Carlo, 20, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 21, 3, 3, Ham, 100, 0, 0, 0, 0.0092
Flat Monte Carlo, 22, 0, 0, Pizza, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 23, 4, 4, Size, 100, 0, 0, 0, 0.0757
Flat Monte Carlo, 24, 5, 5, Dough, 100, 0, 0, 0, 0.0603
Flat Monte Carlo, 25, 6, 6, Normal, 100, 0, 0, 0, 0.0488
Flat Monte Carlo, 26, 3, 3, Sicilian, 100, 0, 0, 0, 0.0312
Flat Monte Carlo, 27, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 28, 3, 3, Salami, 100, 0, 0, 0, 0.0092
Flat Monte Carlo, 29, 0, 0, Pizza, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 30, 4, 4, Dough, 100, 0, 0, 0, 0.075
Flat Monte Carlo, 31, 5, 5, Size, 100, 0, 0, 0, 0.0632
Flat Monte Carlo, 32, 6, 6, Normal, 100, 0, 0, 0, 0.0486
Flat Monte Carlo, 33, 3, 3, Neapolitan, 100, 0, 0, 0, 0.0299
Flat Monte Carlo, 34, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 35, 3, 3, Ham, 100, 0, 0, 0, 0.0093
Flat Monte Carlo, 36, 0, 0, Pizza, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 37, 4, 4, Size, 100, 0, 0, 0, 0.0766
Flat Monte Carlo, 38, 5, 5, Dough, 100, 0, 0, 0, 0.0589
Flat Monte Carlo, 39, 6, 6, Normal, 100, 0, 0, 0, 0.0486
Flat Monte Carlo, 40, 3, 3, Sicilian, 100, 0, 0, 0, 0.0307
Flat Monte Carlo, 41, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 42, 3, 3, Mozzarella, 100, 0, 0, 0, 0.0094
Flat Monte Carlo, 43, 0, 0, Pizza, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 44, 4, 4, Size, 100, 0, 0, 0, 0.0766
Flat Monte Carlo, 45, 5, 5, Normal, 100, 0, 0, 0, 0.0633
Flat Monte Carlo, 46, 2, 2, Dough, 100, 0, 0, 0, 0.0453
Flat Monte Carlo, 47, 3, 3, Neapolitan, 100, 0, 0, 0, 0.0312
Flat Monte Carlo, 48, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 49, 3, 3, Salami, 100, 0, 0, 0, 0.0092
Flat Monte Carlo, 50, 0, 0, Pizza, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 51, 4, 4, Size, 100, 0, 0, 0, 0.076
Flat Monte Carlo, 52, 5, 5, Dough, 100, 0, 0, 0, 0.0612
Flat Monte Carlo, 53, 6, 6, Normal, 100, 0, 0, 0, 0.0485
Flat Monte Carlo, 54, 3, 3, Neapolitan, 100, 0, 0, 0, 0.0303
Flat Monte Carlo, 55, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 56, 3, 3, Ham, 100, 0, 0, 0, 0.0092
Flat Monte Carlo, 57, 0, 0, Pizza, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 58, 4, 4, Dough, 100, 0, 0, 0, 0.0777
Flat Monte Carlo, 59, 5, 5, Size, 100, 0, 0, 0, 0.0642
Flat Monte Carlo, 60, 6, 6, Normal, 100, 0, 0, 0, 0.0485
Flat Monte Carlo, 61, 3, 3, Neapolitan, 100, 0, 0, 0, 0.0305
Flat Monte Carlo, 62, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 63, 3, 3, Ham, 100, 0, 0, 0, 0.0091
Flat Monte Carlo, 64, 0, 0, Pizza, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 65, 4, 4, Dough, 100, 0, 0, 0, 0.0762
Flat Monte Carlo, 66, 5, 5, Size, 100, 0, 0, 0, 0.0632
Flat Monte Carlo, 67, 6, 6, Normal, 100, 0, 0, 0, 0.0469
Flat Monte Carlo, 68, 3, 3, Sicilian, 100, 0, 0, 0, 0.0314
Flat Monte Carlo, 69, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 70, 3, 3, Mozzarella, 100, 0, 0, 0, 0.0094
Flat Monte Carlo, 71, 0, 0, Pizza, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 72, 4, 4, Size, 100, 0, 0, 0, 0.0771
Flat Monte Carlo, 73, 5, 5, Normal, 100, 0, 0, 0, 0.0596
Flat Monte Carlo, 74, 2, 2, Dough, 100, 0, 0, 0, 0.044
Flat Monte Carlo, 75, 3, 3, Neapolitan, 100, 0, 0, 0, 0.0301
Flat Monte Carlo, 76, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 77, 3, 3, Ham, 100, 0, 0, 0, 0.0092
Flat Monte Carlo, 78, 0, 0, Pizza, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 79, 4, 4, Size, 100, 0, 0, 0, 0.0748
Flat Monte Carlo, 80, 5, 5, Normal, 100, 0, 0, 0, 0.0595
Flat Monte Carlo, 81, 2, 2, Dough, 100, 0, 0, 0, 0.0461
Flat Monte Carlo, 82, 3, 3, Neapolitan, 100, 0, 0, 0, 0.0303
Flat Monte Carlo, 83, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 84, 3, 3, Ham, 100, 0, 0, 0, 0.0093
Flat Monte Carlo, 85, 0, 0, Pizza, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 86, 4, 4, Size, 100, 0, 0, 0, 0.0764
Flat Monte Carlo, 87, 5, 5, Normal, 100, 0, 0, 0, 0.0632
Flat Monte Carlo, 88, 2, 2, Dough, 100, 0, 0, 0, 0.0452
Flat Monte Carlo, 89, 3, 3, Neapolitan, 100, 0, 0, 0, 0.0308
Flat Monte Carlo, 90, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 91, 3, 3, Salami, 100, 0, 0, 0, 0.0092
Flat Monte Carlo, 92, 0, 0, Pizza, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 93, 4, 4, Size, 100, 0, 0, 0, 0.0773
Flat Monte Carlo, 94, 5, 5, Normal, 100, 0, 0, 0, 0.0625
Flat Monte Carlo, 95, 2, 2, Dough, 100, 0, 0, 0, 0.0467
Flat Monte Carlo, 96, 3, 3, Sicilian, 100, 0, 0, 0, 0.0303
Flat Monte Carlo, 97, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 98, 3, 3, Salami, 100, 0, 0, 0, 0.0092
Flat Monte Carlo, 99, 0, 0, Pizza, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 100, 4, 4, Dough, 100, 0, 0, 0, 0.0768
Flat Monte Carlo, 101, 5, 5, Size, 100, 0, 0, 0, 0.0642
Flat Monte Carlo, 102, 6, 6, Normal, 100, 0, 0, 0, 0.0474
Flat Monte Carlo, 103, 3, 3, Sicilian, 100, 0, 0, 0, 0.0306
Flat Monte Carlo, 104, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 105, 3, 3, Mozzarella, 100, 0, 0, 0, 0.0092
Flat Monte Carlo, 106, 0, 0, Pizza, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 107, 4, 4, Size, 100, 0, 0, 0, 0.0744
Flat Monte Carlo, 108, 5, 5, Dough, 100, 0, 0, 0, 0.063
Flat Monte Carlo, 109, 6, 6, Normal, 100, 0, 0, 0, 0.0484
Flat Monte Carlo, 110, 3, 3, Neapolitan, 100, 0, 0, 0, 0.0302
Flat Monte Carlo, 111, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 112, 3, 3, Ham, 100, 0, 0, 0, 0.0093
Flat Monte Carlo, 113, 0, 0, Pizza, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 114, 4, 4, Size, 100, 0, 0, 0, 0.0739
Flat Monte Carlo, 115, 5, 5, Dough, 100, 0, 0, 0, 0.0612
Flat Monte Carlo, 116, 6, 6, Normal, 100, 0, 0, 0, 0.0466
Flat Monte Carlo, 117, 3, 3, Neapolitan, 100, 0, 0, 0, 0.0298
Flat Monte Carlo, 118, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 119, 3, 3, Salami, 100, 0, 0, 0, 0.0092
Flat Monte Carlo, 120, 0, 0, Pizza, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 121, 4, 4, Size, 100, 0, 0, 0, 0.0762
Flat Monte Carlo, 122, 5, 5, Dough, 100, 0, 0, 0, 0.062
Flat Monte Carlo, 123, 6, 6, Normal, 100, 0, 0, 0, 0.046
Flat Monte Carlo, 124, 3, 3, Neapolitan, 100, 0, 0, 0, 0.0306
Flat Monte Carlo, 125, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 126, 3, 3, Mozzarella, 100, 0, 0, 0, 0.0093
Flat Monte Carlo, 127, 0, 0, Pizza, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 128, 4, 4, Size, 100, 0, 0, 0, 0.0758
Flat Monte Carlo, 129, 5, 5, Normal, 100, 0, 0, 0, 0.0589
Flat Monte Carlo, 130, 2, 2, Dough, 100, 0, 0, 0, 0.0462
Flat Monte Carlo, 131, 3, 3, Sicilian, 100, 0, 0, 0, 0.0297
Flat Monte Carlo, 132, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 133, 3, 3, Ham, 100, 0, 0, 0, 0.0093
Flat Monte Carlo, 134, 0, 0, Pizza, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 135, 4, 4, Size, 100, 0, 0, 0, 0.0741
Flat Monte Carlo, 136, 5, 5, Normal, 100, 0, 0, 0, 0.0641
Flat Monte Carlo, 137, 2, 2, Dough, 100, 0, 0, 0, 0.0441
Flat Monte Carlo, 138, 3, 3, Sicilian, 100, 0, 0, 0, 0.0307
Flat Monte Carlo, 139, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 140, 3, 3, Salami, 100, 0, 0, 0, 0.0093
Flat Monte Carlo, 141, 0, 0, Pizza, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 142, 4, 4, Size, 100, 0, 0, 0, 0.0752
Flat Monte Carlo, 143, 5, 5, Normal, 100, 0, 0, 0, 0.0614
Flat Monte Carlo, 144, 2, 2, Dough, 100, 0, 0, 0, 0.0449
Flat Monte Carlo, 145, 3, 3, Neapolitan, 100, 0, 0, 0, 0.0299
Flat Monte Carlo, 146, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 147, 3, 3, Ham, 100, 0, 0, 0, 0.0091
Flat Monte Carlo, 148, 0, 0, Pizza, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 149, 4, 4, Size, 100, 0, 0, 0, 0.0741
Flat Monte Carlo, 150, 5, 5, Normal, 100, 0, 0, 0, 0.0612
Flat Monte Carlo, 151, 2, 2, Dough, 100, 0, 0, 0, 0.0448
Flat Monte Carlo, 152, 3, 3, Sicilian, 100, 0, 0, 0, 0.0305
Flat Monte Carlo, 153, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 154, 3, 3, Mozzarella, 100, 0, 0, 0, 0.0093
Flat Monte Carlo, 155, 0, 0, Pizza, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 156, 4, 4, Size, 100, 0, 0, 0, 0.0759
Flat Monte Carlo, 157, 5, 5, Normal, 100, 0, 0, 0, 0.0595
Flat Monte Carlo, 158, 2, 2, Dough, 100, 0, 0, 0, 0.0452
Flat Monte Carlo, 159, 3, 3, Sicilian, 100, 0, 0, 0, 0.0306
Flat Monte Carlo, 160, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 161, 3, 3, Ham, 100, 0, 0, 0, 0.0092
Flat Monte Carlo, 162, 0, 0, Pizza, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 163, 4, 4, Dough, 100, 0, 0, 0, 0.0756
Flat Monte Carlo, 164, 5, 5, Size, 100, 0, 0, 0, 0.0607
Flat Monte Carlo, 165, 6, 6, Normal, 100, 0, 0, 0, 0.0454
Flat Monte Carlo, 166, 3, 3, Neapolitan, 100, 0, 0, 0, 0.0302
Flat Monte Carlo, 167, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 168, 3, 3, Ham, 100, 0, 0, 0, 0.0091
Flat Monte Carlo, 169, 0, 0, Pizza, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 170, 4, 4, Size, 100, 0, 0, 0, 0.0766
Flat Monte Carlo, 171, 5, 5, Dough, 100, 0, 0, 0, 0.0627
Flat Monte Carlo, 172, 6, 6, Normal, 100, 0, 0, 0, 0.0489
Flat Monte Carlo, 173, 3, 3, Neapolitan, 100, 0, 0, 0, 0.0309
Flat Monte Carlo, 174, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 175, 3, 3, Ham, 100, 0, 0, 0, 0.0091
Flat Monte Carlo, 176, 0, 0, Pizza, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 177, 4, 4, Dough, 100, 0, 0, 0, 0.077
Flat Monte Carlo, 178, 5, 5, Size, 100, 0, 0, 0, 0.0628
Flat Monte Carlo, 179, 6, 6, Normal, 100, 0, 0, 0, 0.0494
Flat Monte Carlo, 180, 3, 3, Neapolitan, 100, 0, 0, 0, 0.0308
Flat Monte Carlo, 181, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 182, 3, 3, Ham, 100, 0, 0, 0, 0.0092
Flat Monte Carlo, 183, 0, 0, Pizza, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 184, 4, 4, Size, 100, 0, 0, 0, 0.0777
Flat Monte Carlo, 185, 5, 5, Normal, 100, 0, 0, 0, 0.0618
Flat Monte Carlo, 186, 2, 2, Dough, 100, 0, 0, 0, 0.0454
Flat Monte Carlo, 187, 3, 3, Neapolitan, 100, 0, 0, 0, 0.0305
Flat Monte Carlo, 188, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 189, 3, 3, Ham, 100, 0, 0, 0, 0.0092
Flat Monte Carlo, 190, 0, 0, Pizza, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 191, 4, 4, Dough, 100, 0, 0, 0, 0.0755
Flat Monte Carlo, 192, 5, 5, Size, 100, 0, 0, 0, 0.0638
Flat Monte Carlo, 193, 6, 6, Normal, 100, 0, 0, 0, 0.0495
Flat Monte Carlo, 194, 3, 3, Sicilian, 100, 0, 0, 0, 0.0311
Flat Monte Carlo, 195, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 196, 3, 3, Ham, 100, 0, 0, 0, 0.0092
Flat Monte Carlo, 197, 0, 0, Pizza, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 198, 4, 4, Size, 100, 0, 0, 0, 0.077
Flat Monte Carlo, 199, 5, 5, Normal, 100, 0, 0, 0, 0.0614
Flat Monte Carlo, 200, 2, 2, Dough, 100, 0, 0, 0, 0.0463
Flat Monte Carlo, 201, 3, 3, Sicilian, 100, 0, 0, 0, 0.0312
Flat Monte Carlo, 202, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 203, 3, 3, Salami, 100, 0, 0, 0, 0.0091
Flat Monte Carlo, 204, 0, 0, Pizza, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 205, 4, 4, Dough, 100, 0, 0, 0, 0.0773
Flat Monte Carlo, 206, 5, 5, Size, 100, 0, 0, 0, 0.0619
Flat Monte Carlo, 207, 6, 6, Normal, 100, 0, 0, 0, 0.0468
Flat Monte Carlo, 208, 3, 3, Neapolitan, 100, 0, 0, 0, 0.0293
Flat Monte Carlo, 209, 0, 0, Topping, 100, 0, 0, 0, 0.0
Flat Monte Carlo, 210, 3, 3, Ham, 100, 0, 0, 0, 0.0092
