Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Greedy MCTS, 1, 8, None, 100, 0, 0, 141, 0.4974, 1.749197
Greedy MCTS, 2, 8, None, 100, 0, 0, 144, 0.4857, 1.769687
Greedy MCTS, 3, 8, None, 100, 0, 0, 139, 0.4666, 1.766476
Greedy MCTS, 4, 8, None, 100, 0, 0, 117, 0.4522, 1.683107
Greedy MCTS, 5, 8, None, 100, 0, 0, 132, 0.4915, 1.774417
Greedy MCTS, 6, 8, None, 100, 0, 0, 132, 0.4756, 1.7902749999999998
Greedy MCTS, 7, 8, None, 100, 0, 0, 138, 0.4815, 1.8110929999999998
Greedy MCTS, 8, 9, None, 100, 0, 0, 135, 0.5509, 1.824363
Greedy MCTS, 9, 8, None, 100, 0, 0, 150, 0.5092, 1.9332479999999999
Greedy MCTS, 10, 8, None, 100, 0, 0, 130, 0.472, 1.8430119999999999
Greedy MCTS, 11, 8, None, 100, 0, 0, 152, 0.5128, 1.9784519999999999
Greedy MCTS, 12, 8, None, 100, 0, 0, 132, 0.4724, 1.900444
Greedy MCTS, 13, 9, None, 100, 0, 0, 60, 0.3667, 1.631503
Greedy MCTS, 14, 8, None, 100, 0, 0, 138, 0.494, 1.9514079999999998
Greedy MCTS, 15, 8, None, 100, 0, 0, 125, 0.4587, 1.908594
Greedy MCTS, 16, 8, None, 100, 0, 0, 112, 0.4315, 1.8722759999999998
Greedy MCTS, 17, 8, None, 100, 0, 0, 135, 0.4884, 1.98485
Greedy MCTS, 18, 8, None, 100, 0, 0, 46, 0.2878, 1.639695
Greedy MCTS, 19, 8, None, 100, 0, 0, 123, 0.4609, 1.98623
Greedy MCTS, 20, 8, None, 100, 0, 0, 114, 0.4281, 1.9354049999999998
Greedy MCTS, 21, 8, None, 100, 0, 0, 141, 0.5081, 2.125919
Greedy MCTS, 22, 8, None, 100, 0, 0, 133, 0.4693, 2.081932
Greedy MCTS, 23, 8, None, 100, 0, 0, 174, 0.5382, 2.3003389999999997
Greedy MCTS, 24, 8, None, 100, 0, 0, 156, 0.5208, 2.238184
Greedy MCTS, 25, 8, None, 100, 0, 0, 123, 0.4477, 2.082576
Greedy MCTS, 26, 8, None, 100, 0, 0, 83, 0.3708, 1.9169019999999999
Greedy MCTS, 27, 8, None, 100, 0, 0, 134, 0.5218, 2.202986
Greedy MCTS, 28, 8, None, 100, 0, 0, 126, 0.4658, 2.155694
Greedy MCTS, 29, 8, None, 100, 0, 0, 125, 0.4658, 2.14452
Greedy MCTS, 30, 8, None, 100, 0, 0, 138, 0.4998, 2.255836
