Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
Greedy MCTS, 1, 1, 1, Pizza, 100, 0, 0, 77, 0.0705
Greedy MCTS, 2, 4, 4, Size, 100, 0, 0, 124, 0.0874
Greedy MCTS, 3, 5, 5, Dough, 100, 0, 0, 141, 0.0883
Greedy MCTS, 4, 6, 6, Topping, 100, 0, 0, 141, 0.0793
Greedy MCTS, 5, 8, 8, Neapolitan, 100, 0, 0, 141, 0.0717
Greedy MCTS, 6, 6, 6, Normal, 100, 0, 0, 141, 0.0563
Greedy MCTS, 7, 3, 3, Mozzarella, 100, 0, 0, 141, 0.0426
Greedy MCTS, 8, 1, 1, Pizza, 100, 0, 0, 85, 0.0729
Greedy MCTS, 9, 4, 4, Size, 100, 0, 0, 124, 0.0887
Greedy MCTS, 10, 5, 5, Dough, 100, 0, 0, 139, 0.086
Greedy MCTS, 11, 6, 6, Normal, 100, 0, 0, 144, 0.0771
Greedy MCTS, 12, 3, 3, Neapolitan, 100, 0, 0, 144, 0.0644
Greedy MCTS, 13, 1, 1, Topping, 100, 0, 0, 144, 0.0523
Greedy MCTS, 14, 3, 3, Mozzarella, 100, 0, 0, 144, 0.0423
Greedy MCTS, 15, 1, 1, Pizza, 100, 0, 0, 79, 0.0675
Greedy MCTS, 16, 4, 4, Size, 100, 0, 0, 115, 0.0852
Greedy MCTS, 17, 5, 5, Normal, 100, 0, 0, 139, 0.0825
Greedy MCTS, 18, 2, 2, Dough, 100, 0, 0, 139, 0.0732
Greedy MCTS, 19, 3, 3, Neapolitan, 100, 0, 0, 139, 0.063
Greedy MCTS, 20, 1, 1, Topping, 100, 0, 0, 139, 0.0508
Greedy MCTS, 21, 3, 3, Mozzarella, 100, 0, 0, 139, 0.0424
Greedy MCTS, 22, 1, 1, Pizza, 100, 0, 0, 89, 0.0723
Greedy MCTS, 23, 4, 4, Dough, 100, 0, 0, 110, 0.0865
Greedy MCTS, 24, 5, 5, Size, 100, 0, 0, 115, 0.0781
Greedy MCTS, 25, 6, 6, Normal, 100, 0, 0, 117, 0.0681
Greedy MCTS, 26, 3, 3, Topping, 100, 0, 0, 117, 0.0566
Greedy MCTS, 27, 5, 5, Neapolitan, 100, 0, 0, 117, 0.0497
Greedy MCTS, 28, 3, 3, Ham, 100, 0, 0, 117, 0.0388
Greedy MCTS, 29, 1, 1, Pizza, 100, 0, 0, 94, 0.0756
Greedy MCTS, 30, 4, 4, Dough, 100, 0, 0, 130, 0.0938
Greedy MCTS, 31, 5, 5, Neapolitan, 100, 0, 0, 132, 0.0869
Greedy MCTS, 32, 3, 3, Size, 100, 0, 0, 132, 0.0727
Greedy MCTS, 33, 4, 4, Topping, 100, 0, 0, 132, 0.0632
Greedy MCTS, 34, 6, 6, Normal, 100, 0, 0, 132, 0.0557
Greedy MCTS, 35, 3, 3, Salami, 100, 0, 0, 132, 0.0413
Greedy MCTS, 36, 1, 1, Pizza, 100, 0, 0, 91, 0.0717
Greedy MCTS, 37, 4, 4, Dough, 100, 0, 0, 113, 0.0947
Greedy MCTS, 38, 5, 5, Size, 100, 0, 0, 126, 0.0826
Greedy MCTS, 39, 6, 6, Normal, 100, 0, 0, 132, 0.0738
Greedy MCTS, 40, 3, 3, Sicilian, 100, 0, 0, 132, 0.0603
Greedy MCTS, 41, 1, 1, Topping, 100, 0, 0, 132, 0.0493
Greedy MCTS, 42, 3, 3, Salami, 100, 0, 0, 132, 0.0411
Greedy MCTS, 43, 1, 1, Pizza, 100, 0, 0, 80, 0.0701
Greedy MCTS, 44, 4, 4, Size, 100, 0, 0, 129, 0.0907
Greedy MCTS, 45, 5, 5, Dough, 100, 0, 0, 133, 0.0841
Greedy MCTS, 46, 6, 6, Normal, 100, 0, 0, 138, 0.079
Greedy MCTS, 47, 3, 3, Sicilian, 100, 0, 0, 138, 0.0635
Greedy MCTS, 48, 1, 1, Topping, 100, 0, 0, 138, 0.0504
Greedy MCTS, 49, 3, 3, Mozzarella, 100, 0, 0, 138, 0.0411
Greedy MCTS, 50, 1, 1, Pizza, 100, 0, 0, 86, 0.0702
