Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
UCT MCTS, 1, 1, 1, Pizza, 100, 0, 0, 94, 0.0721
UCT MCTS, 2, 4, 4, Size, 100, 0, 0, 154, 0.0926
UCT MCTS, 3, 5, 5, Dough, 100, 0, 0, 167, 0.098
UCT MCTS, 4, 6, 6, Normal, 100, 0, 0, 167, 0.0855
UCT MCTS, 5, 3, 3, Sicilian, 100, 0, 0, 167, 0.0678
UCT MCTS, 6, 1, 1, Topping, 100, 0, 0, 167, 0.0544
UCT MCTS, 7, 3, 3, Ham, 100, 0, 0, 167, 0.0437
UCT MCTS, 8, 1, 1, Pizza, 100, 0, 0, 90, 0.0711
UCT MCTS, 9, 4, 4, Size, 100, 0, 0, 147, 0.0932
UCT MCTS, 10, 5, 5, Normal, 100, 0, 0, 166, 0.0948
UCT MCTS, 11, 2, 2, Dough, 100, 0, 0, 166, 0.0811
UCT MCTS, 12, 3, 3, Sicilian, 100, 0, 0, 166, 0.0693
UCT MCTS, 13, 1, 1, Topping, 100, 0, 0, 166, 0.0549
UCT MCTS, 14, 3, 3, Mozzarella, 100, 0, 0, 166, 0.044
UCT MCTS, 15, 1, 1, Pizza, 100, 0, 0, 88, 0.0654
UCT MCTS, 16, 4, 4, Size, 100, 0, 0, 145, 0.0924
UCT MCTS, 17, 5, 5, Normal, 100, 0, 0, 153, 0.0907
UCT MCTS, 18, 2, 2, Dough, 100, 0, 0, 153, 0.0758
UCT MCTS, 19, 3, 3, Sicilian, 100, 0, 0, 153, 0.0652
UCT MCTS, 20, 1, 1, Topping, 100, 0, 0, 153, 0.052
UCT MCTS, 21, 3, 3, Ham, 100, 0, 0, 153, 0.042
UCT MCTS, 22, 1, 1, Pizza, 100, 0, 0, 94, 0.0693
UCT MCTS, 23, 4, 4, Size, 100, 0, 0, 140, 0.0914
UCT MCTS, 24, 5, 5, Normal, 100, 0, 0, 163, 0.0931
UCT MCTS, 25, 2, 2, Dough, 100, 0, 0, 163, 0.081
UCT MCTS, 26, 3, 3, Neapolitan, 100, 0, 0, 163, 0.0686
UCT MCTS, 27, 1, 1, Topping, 100, 0, 0, 163, 0.0549
UCT MCTS, 28, 3, 3, Salami, 100, 0, 0, 163, 0.0439
UCT MCTS, 29, 1, 1, Pizza, 100, 0, 0, 94, 0.0704
UCT MCTS, 30, 4, 4, Dough, 100, 0, 0, 145, 0.0942
UCT MCTS, 31, 5, 5, Size, 100, 0, 0, 151, 0.0912
UCT MCTS, 32, 6, 6, Normal, 100, 0, 0, 151, 0.0797
UCT MCTS, 33, 3, 3, Neapolitan, 100, 0, 0, 151, 0.0642
UCT MCTS, 34, 1, 1, Topping, 100, 0, 0, 151, 0.0514
UCT MCTS, 35, 3, 3, Salami, 100, 0, 0, 151, 0.0417
UCT MCTS, 36, 1, 1, Pizza, 100, 0, 0, 96, 0.0702
UCT MCTS, 37, 4, 4, Dough, 100, 0, 0, 145, 0.0942
UCT MCTS, 38, 5, 5, Size, 100, 0, 0, 159, 0.0936
UCT MCTS, 39, 6, 6, Normal, 100, 0, 0, 159, 0.0833
UCT MCTS, 40, 3, 3, Neapolitan, 100, 0, 0, 159, 0.0671
UCT MCTS, 41, 1, 1, Topping, 100, 0, 0, 159, 0.0536
UCT MCTS, 42, 3, 3, Salami, 100, 0, 0, 159, 0.0432
UCT MCTS, 43, 1, 1, Pizza, 100, 0, 0, 82, 0.0671
UCT MCTS, 44, 4, 4, Size, 100, 0, 0, 124, 0.0831
UCT MCTS, 45, 5, 5, Normal, 100, 0, 0, 165, 0.0908
UCT MCTS, 46, 2, 2, Dough, 100, 0, 0, 165, 0.0808
UCT MCTS, 47, 3, 3, Sicilian, 100, 0, 0, 165, 0.0692
UCT MCTS, 48, 1, 1, Topping, 100, 0, 0, 165, 0.0542
UCT MCTS, 49, 3, 3, Salami, 100, 0, 0, 165, 0.0437
UCT MCTS, 50, 1, 1, Pizza, 100, 0, 0, 95, 0.0697
UCT MCTS, 51, 4, 4, Dough, 100, 0, 0, 144, 0.0934
UCT MCTS, 52, 5, 5, Size, 100, 0, 0, 164, 0.0955
UCT MCTS, 53, 6, 6, Normal, 100, 0, 0, 167, 0.0851
UCT MCTS, 54, 3, 3, Sicilian, 100, 0, 0, 167, 0.0692
UCT MCTS, 55, 1, 1, Topping, 100, 0, 0, 167, 0.0553
UCT MCTS, 56, 3, 3, Ham, 100, 0, 0, 167, 0.0443
UCT MCTS, 57, 1, 1, Pizza, 100, 0, 0, 91, 0.071
UCT MCTS, 58, 4, 4, Size, 100, 0, 0, 144, 0.0938
UCT MCTS, 59, 5, 5, Normal, 100, 0, 0, 167, 0.0951
UCT MCTS, 60, 2, 2, Dough, 100, 0, 0, 167, 0.0813
UCT MCTS, 61, 3, 3, Neapolitan, 100, 0, 0, 167, 0.0697
UCT MCTS, 62, 1, 1, Topping, 100, 0, 0, 167, 0.0553
UCT MCTS, 63, 3, 3, Salami, 100, 0, 0, 167, 0.0444
UCT MCTS, 64, 1, 1, Pizza, 100, 0, 0, 88, 0.0658
UCT MCTS, 65, 4, 4, Size, 100, 0, 0, 109, 0.0789
UCT MCTS, 66, 5, 5, Normal, 100, 0, 0, 112, 0.072
UCT MCTS, 67, 2, 2, Dough, 100, 0, 0, 112, 0.0617
UCT MCTS, 68, 3, 3, Sicilian, 100, 0, 0, 112, 0.0527
UCT MCTS, 69, 1, 1, Topping, 100, 0, 0, 112, 0.0422
UCT MCTS, 70, 3, 3, Salami, 100, 0, 0, 112, 0.0348
UCT MCTS, 71, 1, 1, Pizza, 100, 0, 0, 93, 0.0696
UCT MCTS, 72, 4, 4, Dough, 100, 0, 0, 123, 0.0868
UCT MCTS, 73, 5, 5, Size, 100, 0, 0, 136, 0.0822
UCT MCTS, 74, 6, 6, Normal, 100, 0, 0, 142, 0.0735
UCT MCTS, 75, 3, 3, Neapolitan, 100, 0, 0, 142, 0.0622
UCT MCTS, 76, 1, 1, Topping, 100, 0, 0, 142, 0.0496
UCT MCTS, 77, 3, 3, Salami, 100, 0, 0, 142, 0.0406
UCT MCTS, 78, 1, 1, Pizza, 100, 0, 0, 97, 0.0735
UCT MCTS, 79, 4, 4, Size, 100, 0, 0, 146, 0.0928
UCT MCTS, 80, 5, 5, Normal, 100, 0, 0, 167, 0.0964
UCT MCTS, 81, 2, 2, Topping, 100, 0, 0, 167, 0.0833
UCT MCTS, 82, 4, 4, Dough, 100, 0, 0, 167, 0.0717
UCT MCTS, 83, 5, 5, Neapolitan, 100, 0, 0, 167, 0.0595
UCT MCTS, 84, 3, 3, Salami, 100, 0, 0, 167, 0.0449
UCT MCTS, 85, 1, 1, Pizza, 100, 0, 0, 98, 0.0753
UCT MCTS, 86, 4, 4, Size, 100, 0, 0, 147, 0.0957
UCT MCTS, 87, 5, 5, Dough, 100, 0, 0, 160, 0.0961
UCT MCTS, 88, 6, 6, Normal, 100, 0, 0, 161, 0.0833
UCT MCTS, 89, 3, 3, Sicilian, 100, 0, 0, 161, 0.0679
UCT MCTS, 90, 1, 1, Topping, 100, 0, 0, 161, 0.0542
UCT MCTS, 91, 3, 3, Mozzarella, 100, 0, 0, 161, 0.0437
UCT MCTS, 92, 1, 1, Pizza, 100, 0, 0, 89, 0.071
UCT MCTS, 93, 4, 4, Size, 100, 0, 0, 139, 0.09
UCT MCTS, 94, 5, 5, Normal, 100, 0, 0, 161, 0.0955
UCT MCTS, 95, 2, 2, Dough, 100, 0, 0, 161, 0.083
UCT MCTS, 96, 3, 3, Neapolitan, 100, 0, 0, 161, 0.0707
UCT MCTS, 97, 1, 1, Topping, 100, 0, 0, 161, 0.0551
UCT MCTS, 98, 3, 3, Salami, 100, 0, 0, 161, 0.0442
UCT MCTS, 99, 1, 1, Pizza, 100, 0, 0, 94, 0.073
UCT MCTS, 100, 4, 4, Size, 100, 0, 0, 157, 0.0952
UCT MCTS, 101, 5, 5, Normal, 100, 0, 0, 173, 0.1019
UCT MCTS, 102, 2, 2, Topping, 100, 0, 0, 173, 0.0856
UCT MCTS, 103, 4, 4, Dough, 100, 0, 0, 173, 0.0741
UCT MCTS, 104, 5, 5, Sicilian, 100, 0, 0, 173, 0.0624
UCT MCTS, 105, 3, 3, Mozzarella, 100, 0, 0, 173, 0.0469
UCT MCTS, 106, 1, 1, Pizza, 100, 0, 0, 94, 0.0747
UCT MCTS, 107, 4, 4, Size, 100, 0, 0, 133, 0.0907
UCT MCTS, 108, 5, 5, Dough, 100, 0, 0, 154, 0.0872
UCT MCTS, 109, 6, 6, Normal, 100, 0, 0, 160, 0.0801
UCT MCTS, 110, 3, 3, Neapolitan, 100, 0, 0, 160, 0.0674
UCT MCTS, 111, 1, 1, Topping, 100, 0, 0, 160, 0.0541
UCT MCTS, 112, 3, 3, Salami, 100, 0, 0, 160, 0.0434
UCT MCTS, 113, 1, 1, Pizza, 100, 0, 0, 92, 0.0695
UCT MCTS, 114, 4, 4, Size, 100, 0, 0, 150, 0.101
UCT MCTS, 115, 5, 5, Normal, 100, 0, 0, 164, 0.0964
UCT MCTS, 116, 2, 2, Dough, 100, 0, 0, 164, 0.0805
UCT MCTS, 117, 3, 3, Neapolitan, 100, 0, 0, 164, 0.0681
UCT MCTS, 118, 1, 1, Topping, 100, 0, 0, 164, 0.0545
UCT MCTS, 119, 3, 3, Salami, 100, 0, 0, 164, 0.0444
UCT MCTS, 120, 1, 1, Pizza, 100, 0, 0, 94, 0.0701
UCT MCTS, 121, 4, 4, Size, 100, 0, 0, 147, 0.0951
UCT MCTS, 122, 5, 5, Normal, 100, 0, 0, 158, 0.0952
UCT MCTS, 123, 2, 2, Topping, 100, 0, 0, 158, 0.08
UCT MCTS, 124, 4, 4, Dough, 100, 0, 0, 158, 0.0692
UCT MCTS, 125, 5, 5, Sicilian, 100, 0, 0, 158, 0.0572
UCT MCTS, 126, 3, 3, Salami, 100, 0, 0, 158, 0.0436
UCT MCTS, 127, 1, 1, Pizza, 100, 0, 0, 93, 0.0711
UCT MCTS, 128, 4, 4, Dough, 100, 0, 0, 124, 0.0867
UCT MCTS, 129, 5, 5, Size, 100, 0, 0, 144, 0.0865
UCT MCTS, 130, 6, 6, Sicilian, 100, 0, 0, 148, 0.0771
UCT MCTS, 131, 4, 4, Normal, 100, 0, 0, 150, 0.0642
UCT MCTS, 132, 1, 1, Topping, 100, 0, 0, 150, 0.051
UCT MCTS, 133, 3, 3, Ham, 100, 0, 0, 150, 0.0411
UCT MCTS, 134, 1, 1, Pizza, 100, 0, 0, 95, 0.0715
UCT MCTS, 135, 4, 4, Size, 100, 0, 0, 132, 0.0908
UCT MCTS, 136, 5, 5, Dough, 100, 0, 0, 151, 0.0901
UCT MCTS, 137, 6, 6, Neapolitan, 100, 0, 0, 156, 0.0814
UCT MCTS, 138, 4, 4, Normal, 100, 0, 0, 156, 0.0683
UCT MCTS, 139, 1, 1, Topping, 100, 0, 0, 156, 0.0533
UCT MCTS, 140, 3, 3, Salami, 100, 0, 0, 156, 0.0431
UCT MCTS, 141, 1, 1, Pizza, 100, 0, 0, 97, 0.0736
UCT MCTS, 142, 4, 4, Dough, 100, 0, 0, 157, 0.0955
UCT MCTS, 143, 5, 5, Size, 100, 0, 0, 180, 0.1034
UCT MCTS, 144, 6, 6, Normal, 100, 0, 0, 184, 0.0916
UCT MCTS, 145, 3, 3, Neapolitan, 100, 0, 0, 184, 0.0748
UCT MCTS, 146, 1, 1, Topping, 100, 0, 0, 184, 0.059
UCT MCTS, 147, 3, 3, Salami, 100, 0, 0, 184, 0.0478
UCT MCTS, 148, 1, 1, Pizza, 100, 0, 0, 95, 0.0732
UCT MCTS, 149, 4, 4, Size, 100, 0, 0, 154, 0.0966
UCT MCTS, 150, 5, 5, Dough, 100, 0, 0, 175, 0.1013
UCT MCTS, 151, 6, 6, Normal, 100, 0, 0, 181, 0.0898
UCT MCTS, 152, 3, 3, Neapolitan, 100, 0, 0, 181, 0.074
UCT MCTS, 153, 1, 1, Topping, 100, 0, 0, 181, 0.0604
UCT MCTS, 154, 3, 3, Salami, 100, 0, 0, 181, 0.0472
UCT MCTS, 155, 1, 1, Pizza, 100, 0, 0, 96, 0.0704
UCT MCTS, 156, 4, 4, Dough, 100, 0, 0, 159, 0.096
UCT MCTS, 157, 5, 5, Neapolitan, 100, 0, 0, 176, 0.0997
UCT MCTS, 158, 3, 3, Size, 100, 0, 0, 176, 0.0862
UCT MCTS, 159, 4, 4, Normal, 100, 0, 0, 176, 0.0732
UCT MCTS, 160, 1, 1, Topping, 100, 0, 0, 176, 0.0578
UCT MCTS, 161, 3, 3, Salami, 100, 0, 0, 176, 0.0461
UCT MCTS, 162, 1, 1, Pizza, 100, 0, 0, 85, 0.0688
UCT MCTS, 163, 4, 4, Size, 100, 0, 0, 154, 0.0944
UCT MCTS, 164, 5, 5, Normal, 100, 0, 0, 182, 0.1018
