Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
A* search, 1, 13, None, 0, 0, 0, 0, 398.048, 4475.343424
A* search, 2, 13, None, 0, 0, 0, 0, 394.664, 4475.37691
A* search, 3, 13, None, 0, 0, 0, 0, 395.275, 4475.408442
A* search, 4, 13, None, 0, 0, 0, 0, 397.8236, 4475.439974
A* search, 5, 13, None, 0, 0, 0, 0, 396.4709, 4475.471506
A* search, 6, 13, None, 0, 0, 0, 0, 392.6254, 4475.50307
A* search, 7, 13, None, 0, 0, 0, 0, 395.8172, 4475.534729999999
A* search, 8, 13, None, 0, 0, 0, 0, 394.6634, 4475.566261999999
A* search, 9, 13, None, 0, 0, 0, 0, 396.2511, 4475.597794
A* search, 10, 13, None, 0, 0, 0, 0, 398.4006, 4475.62939
A* search, 11, 13, None, 0, 0, 0, 0, 396.3441, 4475.660922
A* search, 12, 13, None, 0, 0, 0, 0, 397.2753, 4475.692734
A* search, 13, 13, None, 0, 0, 0, 0, 393.9039, 4475.724266
A* search, 14, 13, None, 0, 0, 0, 0, 396.1857, 4475.755798
A* search, 15, 13, None, 0, 0, 0, 0, 395.9799, 4475.78733
A* search, 16, 13, None, 0, 0, 0, 0, 396.1769, 4475.818862
A* search, 17, 13, None, 0, 0, 0, 0, 396.3345, 4475.850394
A* search, 18, 13, None, 0, 0, 0, 0, 396.9336, 4475.88199
A* search, 19, 13, None, 0, 0, 0, 0, 398.3106, 4475.913522
A* search, 20, 13, None, 0, 0, 0, 0, 397.5228, 4475.945054
A* search, 21, 13, None, 0, 0, 0, 0, 393.6179, 4475.976586
A* search, 22, 13, None, 0, 0, 0, 0, 399.8618, 4476.008118
A* search, 23, 13, None, 0, 0, 0, 0, 394.8459, 4476.040186
A* search, 24, 13, None, 0, 0, 0, 0, 395.8664, 4476.071718
A* search, 25, 13, None, 0, 0, 0, 0, 395.6469, 4476.10325
A* search, 26, 13, None, 0, 0, 0, 0, 399.8352, 4476.134846
A* search, 27, 13, None, 0, 0, 0, 0, 395.1042, 4476.166378
A* search, 28, 13, None, 0, 0, 0, 0, 395.8971, 4476.19791
A* search, 29, 13, None, 0, 0, 0, 0, 394.5357, 4476.229442
A* search, 30, 13, None, 0, 0, 0, 0, 396.2643, 4476.260974
