Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Greedy MCTS, 1, 14, None, 100, 0, 0, 1313, 6.8244, 38.971739
Greedy MCTS, 2, 14, None, 100, 0, 0, 1313, 7.5257, 38.50449
Greedy MCTS, 3, 13, None, 100, 0, 0, 1212, 6.496, 39.398106
Greedy MCTS, 4, 15, None, 100, 0, 0, 1414, 8.0812, 41.301798999999995
Greedy MCTS, 5, 13, None, 100, 0, 0, 1212, 6.1571, 39.110101
Greedy MCTS, 6, 16, None, 100, 0, 0, 1515, 9.5872, 41.805468999999995
Greedy MCTS, 7, 16, None, 100, 0, 0, 1515, 9.1981, 41.622538
Greedy MCTS, 8, 15, None, 100, 0, 0, 1414, 7.748, 40.929738
Greedy MCTS, 9, 13, None, 100, 0, 0, 1212, 6.3552, 38.675613
Greedy MCTS, 10, 16, None, 100, 0, 0, 1515, 9.4023, 41.424602
Greedy MCTS, 11, 17, None, 100, 0, 0, 1616, 9.6491, 43.76757
Greedy MCTS, 12, 14, None, 100, 0, 0, 1313, 6.8677, 40.907137999999996
Greedy MCTS, 13, 16, None, 100, 0, 0, 1515, 9.684, 41.648162
Greedy MCTS, 14, 18, None, 100, 0, 0, 1717, 12.0763, 43.847851
Greedy MCTS, 15, 18, None, 100, 0, 0, 1717, 10.1293, 43.235178999999995
Greedy MCTS, 16, 13, None, 100, 0, 0, 1212, 6.0742, 38.868469
Greedy MCTS, 17, 17, None, 100, 0, 0, 1616, 10.6319, 42.571214999999995
Greedy MCTS, 18, 14, None, 100, 0, 0, 1313, 7.0176, 40.235054
Greedy MCTS, 19, 15, None, 100, 0, 0, 1414, 7.8513, 41.445806999999995
Greedy MCTS, 20, 17, None, 100, 0, 0, 1616, 10.0562, 43.861971
Greedy MCTS, 21, 16, None, 100, 0, 0, 1515, 8.98, 42.056498999999995
Greedy MCTS, 22, 17, None, 100, 0, 0, 1616, 10.0777, 42.393191
Greedy MCTS, 23, 15, None, 100, 0, 0, 1414, 7.6829, 41.753079
Greedy MCTS, 24, 18, None, 100, 0, 0, 1717, 11.9057, 43.875367
Greedy MCTS, 25, 15, None, 100, 0, 0, 1414, 8.5692, 42.69093
Greedy MCTS, 26, 15, None, 100, 0, 0, 1414, 8.0805, 42.439558999999996
Greedy MCTS, 27, 15, None, 100, 0, 0, 1414, 7.9831, 42.438069999999996
Greedy MCTS, 28, 15, None, 100, 0, 0, 1414, 8.2381, 42.822922999999996
Greedy MCTS, 29, 14, None, 100, 0, 0, 1313, 7.5001, 40.764271
Greedy MCTS, 30, 16, None, 100, 0, 0, 1515, 8.9583, 41.80769
