Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
Greedy MCTS, 1, 1, 1, TankWar, 100, 0, 0, 101, 0.6166
Greedy MCTS, 2, 9, 9, AI, 100, 0, 0, 202, 0.6192
Greedy MCTS, 3, 10, 10, explodieren, 100, 0, 0, 303, 0.4717
Greedy MCTS, 4, 9, 9, GUI, 100, 0, 0, 404, 0.4287
Greedy MCTS, 5, 10, 10, Platform, 100, 0, 0, 505, 0.478
Greedy MCTS, 6, 11, 11, Hard, 100, 0, 0, 606, 0.5526
Greedy MCTS, 7, 9, 9, Tanks, 100, 0, 0, 707, 0.5552
Greedy MCTS, 8, 11, 11, Language, 100, 0, 0, 808, 0.5803
Greedy MCTS, 9, 12, 12, EN, 100, 0, 0, 909, 0.5618
Greedy MCTS, 10, 10, 10, Map, 100, 0, 0, 1010, 0.4605
Greedy MCTS, 11, 12, 12, M_600, 100, 0, 0, 1111, 0.5193
Greedy MCTS, 12, 9, 9, Handy, 100, 0, 0, 1212, 0.4914
Greedy MCTS, 13, 7, 7, China_Type99, 100, 0, 0, 1313, 0.4862
Greedy MCTS, 14, 1, 1, TankWar, 100, 0, 0, 101, 0.6391
Greedy MCTS, 15, 9, 9, explodieren, 100, 0, 0, 202, 0.6134
Greedy MCTS, 16, 8, 8, Platform, 100, 0, 0, 303, 0.527
Greedy MCTS, 17, 9, 9, GUI, 100, 0, 0, 404, 0.4294
Greedy MCTS, 18, 10, 10, Map, 100, 0, 0, 505, 0.4855
Greedy MCTS, 19, 12, 12, M_600, 100, 0, 0, 606, 0.5421
Greedy MCTS, 20, 9, 9, Handy, 100, 0, 0, 707, 0.5835
Greedy MCTS, 21, 7, 7, AI, 100, 0, 0, 808, 0.6172
Greedy MCTS, 22, 8, 8, Tanks, 100, 0, 0, 909, 0.6158
Greedy MCTS, 23, 10, 10, Language, 100, 0, 0, 1010, 0.6343
Greedy MCTS, 24, 11, 11, Hard, 100, 0, 0, 1111, 0.6202
Greedy MCTS, 25, 9, 9, DE, 100, 0, 0, 1212, 0.5957
Greedy MCTS, 26, 7, 7, USA_M1Abrams, 100, 0, 0, 1313, 0.5903
Greedy MCTS, 27, 1, 1, TankWar, 100, 0, 0, 101, 0.668
Greedy MCTS, 28, 9, 9, Tanks, 100, 0, 0, 202, 0.6247
Greedy MCTS, 29, 11, 11, GUI, 100, 0, 0, 303, 0.5172
Greedy MCTS, 30, 12, 12, Language, 100, 0, 0, 404, 0.4194
Greedy MCTS, 31, 13, 13, Platform, 100, 0, 0, 505, 0.457
Greedy MCTS, 32, 14, 14, AI, 100, 0, 0, 606, 0.519
Greedy MCTS, 33, 15, 15, Map, 100, 0, 0, 707, 0.5404
Greedy MCTS, 34, 17, 17, M_600, 100, 0, 0, 808, 0.552
Greedy MCTS, 35, 14, 14, Easy, 100, 0, 0, 909, 0.5995
Greedy MCTS, 36, 12, 12, Handy, 100, 0, 0, 1010, 0.5229
Greedy MCTS, 37, 10, 10, DE, 100, 0, 0, 1111, 0.541
Greedy MCTS, 38, 8, 8, China_Type99, 100, 0, 0, 1212, 0.5043
Greedy MCTS, 39, 1, 1, TankWar, 100, 0, 0, 101, 0.623
Greedy MCTS, 40, 9, 9, Platform, 100, 0, 0, 202, 0.585
Greedy MCTS, 41, 10, 10, PC, 100, 0, 0, 303, 0.5112
Greedy MCTS, 42, 8, 8, AI, 100, 0, 0, 404, 0.4364
Greedy MCTS, 43, 9, 9, Easy, 100, 0, 0, 505, 0.4955
Greedy MCTS, 44, 7, 7, GUI, 100, 0, 0, 606, 0.5429
Greedy MCTS, 45, 8, 8, Soundeffekt, 100, 0, 0, 707, 0.6279
Greedy MCTS, 46, 9, 9, Map, 100, 0, 0, 808, 0.6136
Greedy MCTS, 47, 11, 11, Language, 100, 0, 0, 909, 0.6273
Greedy MCTS, 48, 12, 12, Tanks, 100, 0, 0, 1010, 0.6308
Greedy MCTS, 49, 14, 14, Sound_fuer_Handy, 100, 0, 0, 1111, 0.6038
Greedy MCTS, 50, 12, 12, M_600, 100, 0, 0, 1212, 0.6162
Greedy MCTS, 51, 9, 9, EN, 100, 0, 0, 1313, 0.5866
Greedy MCTS, 52, 7, 7, China_Type99, 100, 0, 0, 1414, 0.5468
Greedy MCTS, 53, 1, 1, TankWar, 100, 0, 0, 101, 0.6368
Greedy MCTS, 54, 9, 9, AI, 100, 0, 0, 202, 0.5173
Greedy MCTS, 55, 10, 10, Language, 100, 0, 0, 303, 0.468
Greedy MCTS, 56, 11, 11, DE, 100, 0, 0, 404, 0.4046
Greedy MCTS, 57, 9, 9, Platform, 100, 0, 0, 505, 0.477
