Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Random strategy., 1, 26, None, 0, 0, 0, 0, 0.006, 0.084521
Random strategy., 2, 27, None, 0, 0, 0, 0, 0.0062, 0.17074899999999998
Random strategy., 3, 23, None, 0, 0, 0, 0, 0.0055, 0.243222
Random strategy., 4, 29, None, 0, 0, 0, 0, 0.0069, 0.32192699999999996
Random strategy., 5, 27, None, 0, 0, 0, 0, 0.0058, 0.400028
Random strategy., 6, 24, None, 0, 0, 0, 0, 0.0061, 0.47969599999999996
Random strategy., 7, 14, None, 0, 0, 0, 0, 0.0037, 0.517556
Random strategy., 8, 30, None, 0, 0, 0, 0, 0.0075, 0.609856
Random strategy., 9, 23, None, 0, 0, 0, 0, 0.0053, 0.6783159999999999
Random strategy., 10, 25, None, 0, 0, 0, 0, 0.0055, 0.751425
Random strategy., 11, 30, None, 0, 0, 0, 0, 0.0068, 0.841509
Random strategy., 12, 19, None, 0, 0, 0, 0, 0.0048, 0.9047609999999999
Random strategy., 13, 22, None, 0, 0, 0, 0, 0.0043, 0.9633929999999999
Random strategy., 14, 30, None, 0, 0, 0, 0, 0.0061, 1.043145
Random strategy., 15, 31, None, 0, 0, 0, 0, 0.007, 1.136925
Random strategy., 16, 31, None, 0, 0, 0, 0, 0.0068, 1.230237
Random strategy., 17, 24, None, 0, 0, 0, 0, 0.0051, 1.297869
Random strategy., 18, 26, None, 0, 0, 0, 0, 0.0053, 1.3678329999999999
Random strategy., 19, 30, None, 0, 0, 0, 0, 0.0068, 1.4584169999999999
Random strategy., 20, 24, None, 0, 0, 0, 0, 0.0046, 1.521461
Random strategy., 21, 31, None, 0, 0, 0, 0, 0.0071, 1.6103399999999999
Random strategy., 22, 27, None, 0, 0, 0, 0, 0.0055, 1.684088
Random strategy., 23, 22, None, 0, 0, 0, 0, 0.0053, 1.7554319999999999
Random strategy., 24, 23, None, 0, 0, 0, 0, 0.0045, 1.814584
Random strategy., 25, 17, None, 0, 0, 0, 0, 0.0033, 1.858396
Random strategy., 26, 24, None, 0, 0, 0, 0, 0.0046, 1.922621
Random strategy., 27, 28, None, 0, 0, 0, 0, 0.0059, 1.999205
Random strategy., 28, 21, None, 0, 0, 0, 0, 0.0054, 2.071865
Random strategy., 29, 26, None, 0, 0, 0, 0, 0.0065, 2.158265
Random strategy., 30, 23, None, 0, 0, 0, 0, 0.0058, 2.235921
