Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
UCT MCTS, 1, 13, None, 100, 0, 0, 1212, 5.9953, 19.168188
UCT MCTS, 2, 13, None, 100, 0, 0, 1212, 5.7609, 19.165492999999998
UCT MCTS, 3, 15, None, 100, 0, 0, 1414, 7.3782, 21.437248
UCT MCTS, 4, 13, None, 100, 0, 0, 1212, 6.3398, 21.433857
UCT MCTS, 5, 13, None, 100, 0, 0, 1212, 6.0219, 18.523297
UCT MCTS, 6, 13, None, 100, 0, 0, 1212, 5.9796, 19.763596
UCT MCTS, 7, 15, None, 100, 0, 0, 1414, 7.6803, 21.574772
UCT MCTS, 8, 13, None, 100, 0, 0, 1212, 5.6639, 21.575069
UCT MCTS, 9, 13, None, 100, 0, 0, 1212, 5.735, 19.550976
UCT MCTS, 10, 13, None, 100, 0, 0, 1212, 5.7776, 19.550984
UCT MCTS, 11, 13, None, 100, 0, 0, 1212, 5.5549, 19.655208
UCT MCTS, 12, 15, None, 100, 0, 0, 1414, 7.7864, 22.171083
UCT MCTS, 13, 15, None, 100, 0, 0, 1414, 7.7974, 22.171381
UCT MCTS, 14, 16, None, 100, 0, 0, 1515, 8.7139, 21.940770999999998
UCT MCTS, 15, 15, None, 100, 0, 0, 1414, 7.7646, 21.941133999999998
UCT MCTS, 16, 13, None, 100, 0, 0, 1212, 5.7547, 21.785957999999997
UCT MCTS, 17, 13, None, 100, 0, 0, 1212, 5.7962, 19.466981999999998
UCT MCTS, 18, 13, None, 100, 0, 0, 1212, 6.5748, 19.689958999999998
UCT MCTS, 19, 13, None, 100, 0, 0, 1212, 5.8269, 20.396255
UCT MCTS, 20, 14, None, 100, 0, 0, 1313, 6.9334, 21.135063
UCT MCTS, 21, 14, None, 100, 0, 0, 1313, 6.6993, 21.910275
UCT MCTS, 22, 14, None, 100, 0, 0, 1313, 6.8173, 21.906117
UCT MCTS, 23, 14, None, 100, 0, 0, 1313, 6.836, 21.279550999999998
UCT MCTS, 24, 13, None, 100, 0, 0, 1212, 6.1106, 21.279829
UCT MCTS, 25, 16, None, 100, 0, 0, 1515, 7.5126, 23.657515
UCT MCTS, 26, 13, None, 100, 0, 0, 1212, 5.7014, 23.657840999999998
UCT MCTS, 27, 13, None, 100, 0, 0, 1212, 5.7778, 20.99113
UCT MCTS, 28, 16, None, 100, 0, 0, 1515, 8.689, 22.261535
UCT MCTS, 29, 13, None, 100, 0, 0, 1212, 5.9165, 22.261888
UCT MCTS, 30, 14, None, 100, 0, 0, 1313, 6.7679, 20.872263
Greedy MCTS, 31, 14, None, 100, 0, 0, 1313, 6.8242, 38.971236999999995
Greedy MCTS, 32, 14, None, 100, 0, 0, 1313, 7.5255, 38.972397
Greedy MCTS, 33, 13, None, 100, 0, 0, 1212, 6.4958, 39.397901
Greedy MCTS, 34, 15, None, 100, 0, 0, 1414, 8.0811, 41.301584999999996
Greedy MCTS, 35, 13, None, 100, 0, 0, 1212, 6.1569, 41.30217
Greedy MCTS, 36, 16, None, 100, 0, 0, 1515, 9.587, 41.805265
Greedy MCTS, 37, 16, None, 100, 0, 0, 1515, 9.1979, 41.806146
Greedy MCTS, 38, 15, None, 100, 0, 0, 1414, 7.7479, 41.622909
Greedy MCTS, 39, 13, None, 100, 0, 0, 1212, 6.355, 40.930108
Greedy MCTS, 40, 16, None, 100, 0, 0, 1515, 9.4021, 41.424397
Greedy MCTS, 41, 17, None, 100, 0, 0, 1616, 9.6489, 43.767365
Greedy MCTS, 42, 14, None, 100, 0, 0, 1313, 6.8675, 43.768221
Greedy MCTS, 43, 16, None, 100, 0, 0, 1515, 9.6838, 41.646861
Greedy MCTS, 44, 18, None, 100, 0, 0, 1717, 12.0761, 43.847645
Greedy MCTS, 45, 18, None, 100, 0, 0, 1717, 10.1292, 43.848223
Greedy MCTS, 46, 13, None, 100, 0, 0, 1212, 6.074, 43.235496
Greedy MCTS, 47, 17, None, 100, 0, 0, 1616, 10.6317, 42.571009
Greedy MCTS, 48, 14, None, 100, 0, 0, 1313, 7.0175, 42.571596
Greedy MCTS, 49, 15, None, 100, 0, 0, 1414, 7.8511, 41.445592999999995
Greedy MCTS, 50, 17, None, 100, 0, 0, 1616, 10.0561, 43.863597
Greedy MCTS, 51, 16, None, 100, 0, 0, 1515, 8.9798, 43.862342999999996
Greedy MCTS, 52, 17, None, 100, 0, 0, 1616, 10.0775, 42.396293
Greedy MCTS, 53, 15, None, 100, 0, 0, 1414, 7.6827, 42.394034999999995
Greedy MCTS, 54, 18, None, 100, 0, 0, 1717, 11.9055, 43.875161
Greedy MCTS, 55, 15, None, 100, 0, 0, 1414, 8.569, 43.875738999999996
Greedy MCTS, 56, 15, None, 100, 0, 0, 1414, 8.0803, 42.691292999999995
Greedy MCTS, 57, 15, None, 100, 0, 0, 1414, 7.9829, 42.439931
Greedy MCTS, 58, 15, None, 100, 0, 0, 1414, 8.2379, 42.824540999999996
Greedy MCTS, 59, 14, None, 100, 0, 0, 1313, 7.4999, 42.823294999999995
Greedy MCTS, 60, 16, None, 100, 0, 0, 1515, 8.9581, 41.807485
