Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
UCT MCTS, 1, 1, 1, TankWar, 100, 0, 0, 101, 0.5871
UCT MCTS, 2, 9, 9, Language, 100, 0, 0, 202, 0.5608
UCT MCTS, 3, 10, 10, Platform, 100, 0, 0, 303, 0.5859
UCT MCTS, 4, 11, 11, Tanks, 100, 0, 0, 404, 0.535
UCT MCTS, 5, 13, 13, GUI, 100, 0, 0, 505, 0.4889
UCT MCTS, 6, 14, 14, AI, 100, 0, 0, 606, 0.4164
UCT MCTS, 7, 15, 15, Map, 100, 0, 0, 707, 0.4639
UCT MCTS, 8, 17, 17, Easy, 100, 0, 0, 808, 0.4952
UCT MCTS, 9, 15, 15, DE, 100, 0, 0, 909, 0.4879
UCT MCTS, 10, 13, 13, M_780, 100, 0, 0, 1010, 0.4658
UCT MCTS, 11, 10, 10, PC, 100, 0, 0, 1111, 0.4712
UCT MCTS, 12, 8, 8, USA_M1Abrams, 100, 0, 0, 1212, 0.4343
UCT MCTS, 13, 1, 1, TankWar, 100, 0, 0, 101, 0.6077
UCT MCTS, 14, 9, 9, AI, 100, 0, 0, 202, 0.5383
UCT MCTS, 15, 10, 10, Hard, 100, 0, 0, 303, 0.5374
UCT MCTS, 16, 8, 8, Language, 100, 0, 0, 404, 0.4063
UCT MCTS, 17, 9, 9, Platform, 100, 0, 0, 505, 0.4141
UCT MCTS, 18, 10, 10, GUI, 100, 0, 0, 606, 0.46
UCT MCTS, 19, 11, 11, Map, 100, 0, 0, 707, 0.4738
UCT MCTS, 20, 13, 13, PC, 100, 0, 0, 808, 0.4849
UCT MCTS, 21, 11, 11, EN, 100, 0, 0, 909, 0.4966
UCT MCTS, 22, 9, 9, Tanks, 100, 0, 0, 1010, 0.4266
UCT MCTS, 23, 11, 11, M_240, 100, 0, 0, 1111, 0.4555
UCT MCTS, 24, 8, 8, USA_M1Abrams, 100, 0, 0, 1212, 0.4288
UCT MCTS, 25, 1, 1, TankWar, 100, 0, 0, 101, 0.5934
UCT MCTS, 26, 9, 9, Language, 100, 0, 0, 202, 0.535
