Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Flat Monte Carlo, 1, 3, None, 100, 0, 0, 0, 0.1541, 0.33501
Flat Monte Carlo, 2, 3, None, 100, 0, 0, 0, 0.1344, 0.29214399999999996
Flat Monte Carlo, 3, 3, None, 100, 0, 0, 0, 0.1255, 0.29736599999999996
Flat Monte Carlo, 4, 3, None, 100, 0, 0, 0, 0.1273, 0.302823
Flat Monte Carlo, 5, 3, None, 100, 0, 0, 0, 0.1242, 0.307231
Flat Monte Carlo, 6, 3, None, 100, 0, 0, 0, 0.121, 0.312631
Flat Monte Carlo, 7, 3, None, 100, 0, 0, 0, 0.1183, 0.317847
Flat Monte Carlo, 8, 3, None, 100, 0, 0, 0, 0.1133, 0.32301799999999997
Flat Monte Carlo, 9, 3, None, 100, 0, 0, 0, 0.1264, 0.328106
Flat Monte Carlo, 10, 3, None, 100, 0, 0, 0, 0.1236, 0.33329
Flat Monte Carlo, 11, 3, None, 100, 0, 0, 0, 0.1304, 0.338663
Flat Monte Carlo, 12, 3, None, 100, 0, 0, 0, 0.126, 0.344475
Flat Monte Carlo, 13, 3, None, 100, 0, 0, 0, 0.1238, 0.349879
Flat Monte Carlo, 14, 3, None, 100, 0, 0, 0, 0.1185, 0.355079
Flat Monte Carlo, 15, 3, None, 100, 0, 0, 0, 0.1152, 0.36017099999999996
Flat Monte Carlo, 16, 3, None, 100, 0, 0, 0, 0.1323, 0.365539
Flat Monte Carlo, 17, 3, None, 100, 0, 0, 0, 0.1035, 0.37077499999999997
Flat Monte Carlo, 18, 3, None, 100, 0, 0, 0, 0.1096, 0.376071
Flat Monte Carlo, 19, 3, None, 100, 0, 0, 0, 0.1239, 0.381335
Flat Monte Carlo, 20, 3, None, 100, 0, 0, 0, 0.111, 0.38653499999999996
Flat Monte Carlo, 21, 3, None, 100, 0, 0, 0, 0.1072, 0.391767
Flat Monte Carlo, 22, 3, None, 100, 0, 0, 0, 0.112, 0.398095
Flat Monte Carlo, 23, 3, None, 100, 0, 0, 0, 0.1252, 0.40386299999999997
Flat Monte Carlo, 24, 3, None, 100, 0, 0, 0, 0.1133, 0.409095
Flat Monte Carlo, 25, 3, None, 100, 0, 0, 0, 0.1267, 0.414439
Flat Monte Carlo, 26, 3, None, 100, 0, 0, 0, 0.1236, 0.41984699999999997
Flat Monte Carlo, 27, 3, None, 100, 0, 0, 0, 0.1165, 0.425191
Flat Monte Carlo, 28, 3, None, 100, 0, 0, 0, 0.1172, 0.430531
Flat Monte Carlo, 29, 3, None, 100, 0, 0, 0, 0.1288, 0.43587899999999996
Flat Monte Carlo, 30, 3, None, 100, 0, 0, 0, 0.1137, 0.441223
