Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
Greedy MCTS, 1, 1, 1, wget, 100, 0, 0, 101, 0.0943
Greedy MCTS, 2, 13, 13, base, 100, 0, 0, 202, 0.1062
Greedy MCTS, 3, 1, 1, wget, 100, 0, 0, 101, 0.09
Greedy MCTS, 4, 13, 13, base, 100, 0, 0, 202, 0.1008
Greedy MCTS, 5, 1, 1, wget, 100, 0, 0, 101, 0.0971
Greedy MCTS, 6, 13, 13, base, 100, 0, 0, 202, 0.106
Greedy MCTS, 7, 1, 1, wget, 100, 0, 0, 101, 0.0973
Greedy MCTS, 8, 13, 13, base, 100, 0, 0, 202, 0.1045
Greedy MCTS, 9, 1, 1, wget, 100, 0, 0, 101, 0.1046
Greedy MCTS, 10, 13, 13, base, 100, 0, 0, 202, 0.1043
Greedy MCTS, 11, 1, 1, wget, 100, 0, 0, 101, 0.0938
Greedy MCTS, 12, 13, 13, base, 100, 0, 0, 202, 0.1048
Greedy MCTS, 13, 1, 1, wget, 100, 0, 0, 101, 0.0857
Greedy MCTS, 14, 13, 13, base, 100, 0, 0, 202, 0.1093
Greedy MCTS, 15, 1, 1, wget, 100, 0, 0, 101, 0.0924
Greedy MCTS, 16, 13, 13, base, 100, 0, 0, 202, 0.109
Greedy MCTS, 17, 1, 1, wget, 100, 0, 0, 101, 0.0993
Greedy MCTS, 18, 13, 13, base, 100, 0, 0, 202, 0.1174
Greedy MCTS, 19, 1, 1, wget, 100, 0, 0, 101, 0.092
Greedy MCTS, 20, 13, 13, base, 100, 0, 0, 202, 0.1077
Greedy MCTS, 21, 1, 1, wget, 100, 0, 0, 101, 0.0912
Greedy MCTS, 22, 13, 13, base, 100, 0, 0, 202, 0.1079
Greedy MCTS, 23, 1, 1, wget, 100, 0, 0, 101, 0.0903
Greedy MCTS, 24, 13, 13, base, 100, 0, 0, 202, 0.1058
Greedy MCTS, 25, 1, 1, wget, 100, 0, 0, 101, 0.0967
Greedy MCTS, 26, 13, 13, base, 100, 0, 0, 202, 0.1079
Greedy MCTS, 27, 1, 1, wget, 100, 0, 0, 101, 0.1068
Greedy MCTS, 28, 13, 13, base, 100, 0, 0, 202, 0.1049
Greedy MCTS, 29, 1, 1, wget, 100, 0, 0, 101, 0.0915
Greedy MCTS, 30, 13, 13, base, 100, 0, 0, 202, 0.1033
Greedy MCTS, 31, 1, 1, wget, 100, 0, 0, 101, 0.0986
Greedy MCTS, 32, 13, 13, base, 100, 0, 0, 202, 0.1101
Greedy MCTS, 33, 1, 1, wget, 100, 0, 0, 101, 0.0923
Greedy MCTS, 34, 13, 13, base, 100, 0, 0, 202, 0.1017
Greedy MCTS, 35, 1, 1, wget, 100, 0, 0, 101, 0.0954
Greedy MCTS, 36, 13, 13, base, 100, 0, 0, 202, 0.1037
Greedy MCTS, 37, 1, 1, wget, 100, 0, 0, 101, 0.1035
Greedy MCTS, 38, 13, 13, base, 100, 0, 0, 202, 0.1059
Greedy MCTS, 39, 1, 1, wget, 100, 0, 0, 101, 0.089
Greedy MCTS, 40, 13, 13, base, 100, 0, 0, 202, 0.1081
Greedy MCTS, 41, 1, 1, wget, 100, 0, 0, 101, 0.0938
Greedy MCTS, 42, 13, 13, base, 100, 0, 0, 202, 0.1095
Greedy MCTS, 43, 1, 1, wget, 100, 0, 0, 101, 0.093
Greedy MCTS, 44, 13, 13, base, 100, 0, 0, 202, 0.1031
Greedy MCTS, 45, 1, 1, wget, 100, 0, 0, 101, 0.0929
Greedy MCTS, 46, 13, 13, base, 100, 0, 0, 202, 0.1164
Greedy MCTS, 47, 1, 1, wget, 100, 0, 0, 101, 0.0905
Greedy MCTS, 48, 13, 13, base, 100, 0, 0, 202, 0.1054
Greedy MCTS, 49, 1, 1, wget, 100, 0, 0, 101, 0.0934
Greedy MCTS, 50, 13, 13, base, 100, 0, 0, 202, 0.1064
Greedy MCTS, 51, 1, 1, wget, 100, 0, 0, 101, 0.0957
Greedy MCTS, 52, 13, 13, base, 100, 0, 0, 202, 0.1075
Greedy MCTS, 53, 1, 1, wget, 100, 0, 0, 101, 0.0916
Greedy MCTS, 54, 13, 13, base, 100, 0, 0, 202, 0.1068
Greedy MCTS, 55, 1, 1, wget, 100, 0, 0, 101, 0.1035
Greedy MCTS, 56, 13, 13, base, 100, 0, 0, 202, 0.1076
Greedy MCTS, 57, 1, 1, wget, 100, 0, 0, 101, 0.0986
Greedy MCTS, 58, 13, 13, base, 100, 0, 0, 202, 0.1126
Greedy MCTS, 59, 1, 1, wget, 100, 0, 0, 101, 0.0876
Greedy MCTS, 60, 13, 13, base, 100, 0, 0, 202, 0.1058
