Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Flat Monte Carlo,1,2,None,100,200,118,118,0,0.1009,0.1433,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Num', 'Search']"
Flat Monte Carlo,2,2,None,100,200,157,157,0,0.1007,0.1982,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Search', 'Num']"
Flat Monte Carlo,3,2,None,100,200,160,160,0,0.1015,0.2078,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Search', 'Num']"
Flat Monte Carlo,4,2,None,100,200,131,131,0,0.1023,0.2058,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Num', 'Search']"
Flat Monte Carlo,5,2,None,100,200,147,147,0,0.1009,0.2024,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Search', 'Num']"
Flat Monte Carlo,6,2,None,100,200,153,153,0,0.1032,0.212,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Search', 'Num']"
Flat Monte Carlo,7,2,None,100,200,151,151,0,0.1032,0.2145,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Search', 'Num']"
Flat Monte Carlo,8,2,None,100,200,150,150,0,0.1021,0.2169,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Search', 'Num']"
Flat Monte Carlo,9,3,None,100,300,215,215,0,0.1423,0.2874,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Directed', 'Weight', 'Shortest']"
Flat Monte Carlo,10,3,None,100,300,217,217,0,0.1432,0.2958,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Weight', 'Directed', 'Shortest']"
Flat Monte Carlo,11,4,None,100,400,243,243,0,0.1856,0.3296,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Prim', 'Search', 'Weight', 'Undirected']"
Flat Monte Carlo,12,3,None,100,300,209,209,0,0.1404,0.3285,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Undirected', 'Weight', 'Kruskal']"
Flat Monte Carlo,13,3,None,100,300,219,219,0,0.1373,0.3191,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Undirected', 'Search', 'Num']"
Flat Monte Carlo,14,3,None,100,300,221,221,0,0.1424,0.3254,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Undirected', 'Search', 'CC']"
Flat Monte Carlo,15,3,None,100,300,199,199,0,0.1477,0.3242,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Shortest', 'Directed', 'Weight']"
Flat Monte Carlo,16,2,None,100,200,156,156,0,0.1029,0.3038,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Search', 'Num']"
Flat Monte Carlo,17,2,None,100,200,147,147,0,0.0985,0.2647,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Search', 'Num']"
Flat Monte Carlo,18,3,None,100,300,211,211,0,0.1381,0.3337,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Undirected', 'Search', 'Num']"
Flat Monte Carlo,19,2,None,100,200,150,150,0,0.1084,0.3326,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Search', 'Num']"
Flat Monte Carlo,20,3,None,100,300,248,248,0,0.145,0.3814,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Undirected', 'Search', 'CC']"
Flat Monte Carlo,21,2,None,100,200,155,155,0,0.105,0.3803,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Search', 'Num']"
Flat Monte Carlo,22,2,None,100,200,140,140,0,0.1027,0.2863,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Search', 'Num']"
Flat Monte Carlo,23,2,None,100,200,150,150,0,0.1032,0.2925,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Search', 'Num']"
Flat Monte Carlo,24,2,None,100,200,154,154,0,0.103,0.2998,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Search', 'Num']"
Flat Monte Carlo,25,2,None,100,200,150,150,0,0.1021,0.2996,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Search', 'Num']"
Flat Monte Carlo,26,2,None,100,200,146,146,0,0.1001,0.2982,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Search', 'Num']"
Flat Monte Carlo,27,2,None,100,200,127,127,0,0.0964,0.297,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Num', 'Search']"
Flat Monte Carlo,28,2,None,100,200,155,155,0,0.1043,0.3148,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Search', 'Num']"
Flat Monte Carlo,29,2,None,100,200,138,138,0,0.1021,0.3136,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Search', 'Num']"
Flat Monte Carlo,30,3,None,100,300,219,219,0,0.1439,0.393,"['GraphType', 'GPL', 'Algorithms', 'Driver', 'Benchmark', 'Directed', 'Search', 'Num']"
