Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Parallel Flat Monte Carlo,1,2,None,100,200,200,200,0,0.1317,0.5973,"['Algorithms', 'GPL', 'GraphType', 'Driver', 'Benchmark', 'Num', 'Search']"
Parallel Flat Monte Carlo,2,3,None,100,300,300,300,0,0.1885,0.6144,"['Algorithms', 'GPL', 'GraphType', 'Driver', 'Benchmark', 'Search', 'Undirected', 'Num']"
Parallel Flat Monte Carlo,3,3,None,100,300,300,300,0,0.1983,0.62,"['Algorithms', 'GPL', 'GraphType', 'Driver', 'Benchmark', 'Undirected', 'Num', 'Search']"
Parallel Flat Monte Carlo,4,3,None,100,300,300,300,0,0.1914,0.6257,"['Algorithms', 'GPL', 'GraphType', 'Driver', 'Benchmark', 'Undirected', 'Weight', 'Prim']"
Parallel Flat Monte Carlo,5,3,None,100,300,300,300,0,0.1982,0.6347,"['Algorithms', 'GPL', 'GraphType', 'Driver', 'Benchmark', 'Undirected', 'Weight', 'Kruskal']"
Parallel Flat Monte Carlo,6,4,None,100,400,400,400,0,0.2613,0.6543,"['Algorithms', 'GPL', 'GraphType', 'Driver', 'Benchmark', 'Weight', 'Directed', 'Undirected', 'Prim']"
Parallel Flat Monte Carlo,7,5,None,100,500,500,500,0,0.3239,0.6614,"['Algorithms', 'GPL', 'GraphType', 'Driver', 'Benchmark', 'Prim', 'CC', 'Search', 'Weight', 'Undirected']"
Parallel Flat Monte Carlo,8,4,None,100,400,400,400,0,0.2573,0.6697,"['Algorithms', 'GPL', 'GraphType', 'Driver', 'Benchmark', 'Directed', 'Kruskal', 'Weight', 'Undirected']"
Parallel Flat Monte Carlo,9,2,None,100,200,200,200,0,0.1284,0.6677,"['Algorithms', 'GPL', 'GraphType', 'Driver', 'Benchmark', 'Search', 'Num']"
Parallel Flat Monte Carlo,10,2,None,100,200,200,200,0,0.1284,0.6716,"['Algorithms', 'GPL', 'GraphType', 'Driver', 'Benchmark', 'Search', 'Num']"
Parallel Flat Monte Carlo,11,3,None,100,300,300,300,0,0.1904,0.6748,"['Algorithms', 'GPL', 'GraphType', 'Driver', 'Benchmark', 'Directed', 'Num', 'Search']"
Parallel Flat Monte Carlo,12,3,None,100,300,300,300,0,0.1932,0.6804,"['Algorithms', 'GPL', 'GraphType', 'Driver', 'Benchmark', 'Directed', 'Search', 'Num']"
Parallel Flat Monte Carlo,13,3,None,100,300,300,300,0,0.1956,0.6858,"['Algorithms', 'GPL', 'GraphType', 'Driver', 'Benchmark', 'Weight', 'Kruskal', 'Undirected']"
Parallel Flat Monte Carlo,14,2,None,100,200,200,200,0,0.1301,0.6916,"['Algorithms', 'GPL', 'GraphType', 'Driver', 'Benchmark', 'Search', 'Num']"
