Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Random strategy,1,12,None,0,0,0,0,0,0.0008,0.0144,"['GPL', 'Driver', 'Benchmark', 'Algorithms', 'GraphType', 'Cycle', 'SCC', 'Prim', 'Shortest', 'Num', 'Undirected', 'CC', 'Search', 'Weight', 'BFS', 'Directed', 'DFS']"
Random strategy,2,12,None,0,0,0,0,0,0.0008,0.0361,"['GPL', 'Driver', 'Benchmark', 'Algorithms', 'GraphType', 'Undirected', 'Search', 'BFS', 'DFS', 'Prim', 'Shortest', 'SCC', 'Cycle', 'CC', 'Weight', 'Num', 'Directed']"
Random strategy,3,9,None,0,0,0,0,0,0.0006,0.0499,"['GPL', 'Driver', 'Benchmark', 'Algorithms', 'GraphType', 'Search', 'Shortest', 'CC', 'BFS', 'Num', 'Weight', 'Kruskal', 'Undirected', 'Directed']"
Random strategy,4,12,None,0,0,0,0,0,0.0007,0.0682,"['GPL', 'Driver', 'Benchmark', 'Algorithms', 'GraphType', 'CC', 'Undirected', 'Prim', 'SCC', 'Shortest', 'Num', 'Search', 'Directed', 'DFS', 'Cycle', 'BFS', 'Weight']"
Random strategy,5,12,None,0,0,0,0,0,0.0007,0.0865,"['GPL', 'Driver', 'Benchmark', 'Algorithms', 'GraphType', 'CC', 'Weight', 'SCC', 'Prim', 'Search', 'Cycle', 'Undirected', 'BFS', 'Num', 'Shortest', 'DFS', 'Directed']"
Random strategy,6,12,None,0,0,0,0,0,0.0007,0.1047,"['GPL', 'Driver', 'Benchmark', 'Algorithms', 'GraphType', 'Prim', 'Cycle', 'Shortest', 'Num', 'Weight', 'Undirected', 'Search', 'BFS', 'SCC', 'Directed', 'CC', 'DFS']"
Random strategy,7,12,None,0,0,0,0,0,0.0008,0.1233,"['GPL', 'Driver', 'Benchmark', 'Algorithms', 'GraphType', 'Directed', 'Undirected', 'SCC', 'CC', 'Search', 'Cycle', 'BFS', 'Shortest', 'DFS', 'Num', 'Kruskal', 'Weight']"
Random strategy,8,11,None,0,0,0,0,0,0.0007,0.1402,"['GPL', 'Driver', 'Benchmark', 'Algorithms', 'GraphType', 'Shortest', 'Directed', 'Search', 'Cycle', 'Weight', 'CC', 'BFS', 'Kruskal', 'Num', 'DFS', 'Undirected']"
Random strategy,9,12,None,0,0,0,0,0,0.0007,0.1584,"['GPL', 'Driver', 'Benchmark', 'Algorithms', 'GraphType', 'SCC', 'Directed', 'Prim', 'CC', 'Cycle', 'Num', 'Undirected', 'Search', 'BFS', 'DFS', 'Shortest', 'Weight']"
Random strategy,10,8,None,0,0,0,0,0,0.0006,0.1711,"['GPL', 'Driver', 'Benchmark', 'Algorithms', 'GraphType', 'Weight', 'CC', 'Prim', 'Search', 'Directed', 'Shortest', 'BFS', 'Undirected']"
Random strategy,11,9,None,0,0,0,0,0,0.0006,0.185,"['GPL', 'Driver', 'Benchmark', 'Algorithms', 'GraphType', 'Prim', 'CC', 'Directed', 'Undirected', 'Num', 'Search', 'Cycle', 'DFS', 'Weight']"
Random strategy,12,12,None,0,0,0,0,0,0.001,0.2035,"['GPL', 'Driver', 'Benchmark', 'Algorithms', 'GraphType', 'Num', 'Kruskal', 'Cycle', 'Search', 'CC', 'BFS', 'Undirected', 'DFS', 'SCC', 'Directed', 'Shortest', 'Weight']"
Random strategy,13,12,None,0,0,0,0,0,0.0007,0.2224,"['GPL', 'Driver', 'Benchmark', 'Algorithms', 'GraphType', 'Directed', 'Prim', 'Search', 'CC', 'Cycle', 'Shortest', 'BFS', 'DFS', 'Num', 'Undirected', 'SCC', 'Weight']"
Random strategy,14,11,None,0,0,0,0,0,0.0007,0.2391,"['GPL', 'Driver', 'Benchmark', 'Algorithms', 'GraphType', 'Num', 'Cycle', 'SCC', 'Kruskal', 'CC', 'Shortest', 'Directed', 'Search', 'Undirected', 'Weight', 'DFS']"
Random strategy,15,10,None,0,0,0,0,0,0.0006,0.2544,"['GPL', 'Driver', 'Benchmark', 'Algorithms', 'GraphType', 'Num', 'Weight', 'Kruskal', 'Search', 'DFS', 'SCC', 'CC', 'Undirected', 'BFS', 'Directed']"
