Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Flat Monte Carlo,1,2,None,100,200,154,154,0,12.8473,0.6812,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Flat Monte Carlo,2,2,None,100,200,160,160,0,13.6404,0.7201,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Flat Monte Carlo,3,2,None,100,200,167,167,0,14.7717,0.7715,"['FQAs', 'Security', 'Integrity']"
Flat Monte Carlo,4,2,None,100,200,166,166,0,14.7678,0.7688,"['FQAs', 'Security', 'Integrity']"
Flat Monte Carlo,5,2,None,100,200,154,154,0,13.8741,0.7478,"['FQAs', 'Security', 'Confidentiality']"
Flat Monte Carlo,6,2,None,100,200,157,157,0,13.6006,0.7535,"['FQAs', 'Security', 'Privacy']"
Flat Monte Carlo,7,2,None,100,200,159,159,0,14.1,0.7621,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Flat Monte Carlo,8,2,None,100,200,159,159,0,13.9706,0.7831,"['FQAs', 'Security', 'Integrity']"
Flat Monte Carlo,9,2,None,100,200,147,147,0,12.7234,0.762,"['FQAs', 'Security', 'Integrity']"
Flat Monte Carlo,10,2,None,100,200,157,157,0,13.6037,0.7797,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Flat Monte Carlo,11,2,None,100,200,162,162,0,13.6682,0.8097,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Flat Monte Carlo,12,2,None,100,200,164,164,0,14.5893,0.8399,"['FQAs', 'Security', 'Privacy']"
Flat Monte Carlo,13,2,None,100,200,168,168,0,15.0508,0.8545,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Flat Monte Carlo,14,2,None,100,200,166,166,0,14.3875,0.8553,"['FQAs', 'ContextAwareness', 'TimeAware']"
Flat Monte Carlo,15,2,None,100,200,158,158,0,13.0923,0.8342,"['FQAs', 'ContextAwareness', 'TimeAware']"
Flat Monte Carlo,16,2,None,100,200,162,162,0,14.3511,0.8591,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Flat Monte Carlo,17,2,None,100,200,158,158,0,13.4631,0.8459,"['FQAs', 'ContextAwareness', 'UserAware']"
Flat Monte Carlo,18,2,None,100,200,165,165,0,14.5303,0.8971,"['FQAs', 'Security', 'Privacy']"
Flat Monte Carlo,19,2,None,100,200,169,169,0,14.8986,0.9275,"['FQAs', 'Security', 'Integrity']"
Flat Monte Carlo,20,2,None,100,200,159,159,0,13.7288,0.9063,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Flat Monte Carlo,21,2,None,100,200,160,160,0,13.7279,0.8858,"['FQAs', 'ContextAwareness', 'TimeAware']"
Flat Monte Carlo,22,2,None,100,200,166,166,0,14.5603,0.9226,"['FQAs', 'ContextAwareness', 'TimeAware']"
Flat Monte Carlo,23,2,None,100,200,161,161,0,14.111,0.9252,"['FQAs', 'Security', 'Privacy']"
Flat Monte Carlo,24,2,None,100,200,155,155,0,13.7102,0.9108,"['FQAs', 'Security', 'Non_Repudiation']"
Flat Monte Carlo,25,2,None,100,200,163,163,0,14.6088,0.9488,"['FQAs', 'Security', 'Integrity']"
Flat Monte Carlo,26,2,None,100,200,171,171,0,15.2145,0.9854,"['FQAs', 'ContextAwareness', 'UserAware']"
Flat Monte Carlo,27,2,None,100,200,152,152,0,12.9779,0.9689,"['FQAs', 'Security', 'Confidentiality']"
Flat Monte Carlo,28,2,None,100,200,162,162,0,13.4617,0.9608,"['FQAs', 'ContextAwareness', 'UserAware']"
Flat Monte Carlo,29,2,None,100,200,162,162,0,13.7612,0.9715,"['FQAs', 'ContextAwareness', 'TimeAware']"
Flat Monte Carlo,30,2,None,100,200,163,163,0,14.0744,0.9833,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
