Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Parallel Flat Monte Carlo,1,126,None,100,12600,12600,12600,0,119.5727,1.4101,"['FQAs', 'Security', 'ContextAwareness', 'Integrity', 'DeviceAware', 'LocationAware', 'Hashing', 'Performance', 'Privacy', 'Caching', 'TimeAware', 'HashingOperations', 'Hash', 'EnvironmentAware', 'Encryption', 'WiFiLocation', 'Persistence', 'CacheType', 'Non_Repudiation', 'EncryptionAlgorithms', 'MaxLifeSeconds', 'Mode', 'EncryptionOperations', 'ECB', 'UserAware', 'Encrypt', 'KeySize', 'BatteryStatus', 'CachingImplementations', 'LocalCache', 'GPS', 'EternalObjects', 'Caffeine', 'DatabaseStorage', 'FileStorage', 'FileType', 'Symmetric', 'Binary', 'FileStorageOperations', 'DataType', 'DatabaseStorageImplementations', 'MaxSizeCache', 'DESede', 'OracleDB', 'DeleteFile', 'Authentication', 'IRSensor', 'DatabaseStorageOperations', 'HashingImplementations', 'Usability', 'Feedback', 'SystemStatusDisplay', 'AnonymousUser', 'TemporalFile', 'Confidentiality', 'Padding', 'ContextualHelp', 'AuthenticationLogging', 'Integers', 'FileStorageImplementations', 'HashingAlgorithms', 'PasswordLength', 'Strings', 'InteractionFeedback', 'Objects', 'Logging', 'LimitedSession', 'ContextualHelpImplementations', 'Alerts', 'DatabaseType', 'OAEP', 'SHA1', 'Format', 'ErrorLog', 'UserType', 'Advanced', 'NoSQL', 'AuthenticationOperations', 'CypheredMessages', 'Beginner', 'LoggingImplementations', 'EncryptionImplementations', 'BouncyCastle', 'LogBack', 'Store', 'JavaSecurityMessageDigest', 'HistoryLog', 'Level', 'TraceFile', 'Error', 'AuthenticatedUser', 'ProgressFeedback', 'Authenticate', 'HelpType', 'JavaIO', 'ExecutionControl', 'Shortcuts', 'Info', 'CachingOperations', 'Trace', 'HTML', 'CacheUpdate', 'ExecutionControl_1', 'ContextualHelpOperations', 'Floats', 'ShowHelp', 'Intermediate', 'GoBack', 'Redo', 'Expert', 'Tutorial', 'SecureDatabase', 'AuthenticationMechanism', 'PasswordType', 'AuthenticationImplementations', 'JavaWizardAPI', 'Internationalization', 'MatrixCode', 'Locale', 'Debug', 'Handler', 'Alphanumeric', 'LoggingOperations', 'Wizard', 'Log', 'SpringSecurity', 'FileLog']"
Parallel Flat Monte Carlo,2,127,None,100,12700,12700,12700,0,127.5388,1.9511,"['FQAs', 'ContextAwareness', 'DeviceAware', 'UserAware', 'BatteryStatus', 'IRSensor', 'TimeAware', 'Persistence', 'EnvironmentAware', 'Usability', 'Logging', 'ContextualHelp', 'HelpType', 'LocationAware', 'CypheredMessages', 'Performance', 'ErrorLog', 'Feedback', 'FileStorage', 'AuthenticatedUser', 'Security', 'LoggingOperations', 'Tutorial', 'Wizard', 'FileType', 'DatabaseStorage', 'UserType', 'GPS', 'Expert', 'XMLFile', 'DataType', 'LoggingImplementations', 'SecureDatabase', 'WiFiLocation', 'FileStorageImplementations', 'Level', 'FileStorageOperations', 'Objects', 'DatabaseStorageImplementations', 'Error', 'ExecutionControl', 'InteractionFeedback', 'ExecutionControl_1', 'OracleDB', 'Info', 'CreateFile', 'LogBack', 'Privacy', 'JavaIO', 'TemporalFile', 'Hashing', 'HashingImplementations', 'Undo', 'DatabaseStorageOperations', 'HashingAlgorithms', 'TraceFile', 'Non_Repudiation', 'HashingOperations', 'GoBack', 'Warning', 'ContextualHelpOperations', 'Integrity', 'Cancel', 'ShowHelp', 'Authentication', 'Floats', 'Confidentiality', 'Trace', 'SHA1', 'ContextualHelpImplementations', 'Intermediate', 'AuthenticationOperations', 'DatabaseType', 'Handler', 'AuthenticationImplementations', 'Log', 'ProgressFeedback', 'Beginner', 'Relational', 'JavaSecurityMessageDigest', 'FileLog', 'Advanced', 'Format', 'Internationalization', 'LimitedSession', 'SpringSecurity', 'Caching', 'Strings', 'AuthenticationLogging', 'CacheType', 'RemoteCache', 'PasswordType', 'Redo', 'Hash', 'PasswordLength', 'MaxLifeSeconds', 'TXT', 'Debug', 'AnonymousUser', 'Shortcuts', 'Encryption', 'EternalObjects', 'Locale', 'Mode', 'JavaWizardAPI', 'CachingOperations', 'Alphanumeric', 'ECB', 'CacheUpdate', 'KeySize', 'Alerts', 'CachingImplementations', 'AuthenticationMechanism', 'EncryptionAlgorithms', 'SocialID', 'SystemStatusDisplay', 'Authenticate', 'EncryptionOperations', 'Decrypt', 'Symmetric', 'MaxSizeCache', 'Padding', 'Store', 'EncryptionImplementations', 'BouncyCastle', 'JavaCachingSystem', 'OAEP', 'DES']"
Parallel Flat Monte Carlo,3,126,None,100,12600,12600,12600,0,127.7921,2.486,"['FQAs', 'Performance', 'Caching', 'Usability', 'MaxLifeSeconds', 'CacheType', 'ExecutionControl', 'ContextualHelp', 'ContextualHelpOperations', 'EternalObjects', 'ShowHelp', 'ExecutionControl_1', 'ContextualHelpImplementations', 'AuthenticatedUser', 'Undo', 'MaxSizeCache', 'RemoteCache', 'ContextAwareness', 'LocationAware', 'JavaWizardAPI', 'HelpType', 'EnvironmentAware', 'CachingImplementations', 'GoBack', 'UserType', 'Shortcuts', 'Advanced', 'Security', 'Hashing', 'Tutorial', 'HashingOperations', 'Non_Repudiation', 'GPS', 'Intermediate', 'Persistence', 'HashingAlgorithms', 'DatabaseStorage', 'TimeAware', 'Encryption', 'SHA256', 'Mode', 'JavaCachingSystem', 'Confidentiality', 'SecureDatabase', 'Hash', 'HashingImplementations', 'DeviceAware', 'CachingOperations', 'UserAware', 'Padding', 'BatteryStatus', 'EncryptionAlgorithms', 'Authentication', 'Asymmetric', 'FileStorage', 'CTS', 'RSA', 'AnonymousUser', 'Expert', 'AuthenticationLogging', 'EncryptionImplementations', 'PKCS1', 'Redo', 'AuthenticationImplementations', 'FileType', 'Beginner', 'Guava', 'FileStorageImplementations', 'Privacy', 'Wizard', 'Cancel', 'JSONFile', 'Feedback', 'WiFiLocation', 'InteractionFeedback', 'CacheQuery', 'ProgressFeedback', 'DatabaseType', 'JAAS', 'NoSQL', 'Logging', 'Internationalization', 'PasswordType', 'AuthenticationOperations', 'LoggingImplementations', 'HistoryLog', 'JavaUtilLogging', 'Authenticate', 'Locale', 'DatabaseStorageOperations', 'Query', 'Integrity', 'SpecialChars', 'JavaxCrypto', 'FileStorageOperations', 'JavaIO', 'LimitedSession', 'CreateFile', 'DataType', 'Level', 'Warning', 'EncryptionOperations', 'Info', 'SystemStatusDisplay', 'DatabaseStorageImplementations', 'Strings', 'Objects', 'Format', 'CypheredMessages', 'TemporalFile', 'Alerts', 'OracleDB', 'AuthenticationMechanism', 'ErrorLog', 'UserPassword', 'IRSensor', 'Encrypt', 'LoggingOperations', 'HTML', 'Trace', 'PasswordLength', 'TraceFile', 'Debug', 'Log', 'Handler', 'FileLog', 'Error']"
Parallel Flat Monte Carlo,4,125,None,100,12500,12500,12500,0,128.0393,3.0234,"['FQAs', 'Security', 'Persistence', 'Performance', 'ContextAwareness', 'Usability', 'LocationAware', 'Feedback', 'Confidentiality', 'InteractionFeedback', 'DeviceAware', 'GPS', 'SystemStatusDisplay', 'Alerts', 'FileStorage', 'WiFiLocation', 'TimeAware', 'DatabaseStorage', 'Authentication', 'PasswordType', 'Alphanumeric', 'AuthenticationLogging', 'Encryption', 'DatabaseStorageImplementations', 'Padding', 'Mode', 'DataType', 'AnonymousUser', 'DatabaseStorageOperations', 'LimitedSession', 'Logging', 'FileStorageOperations', 'LoggingOperations', 'TemporalFile', 'ModifyFile', 'AuthenticationOperations', 'Handler', 'EnvironmentAware', 'DatabaseType', 'Format', 'XML', 'ContextualHelp', 'MongoDB', 'Log', 'ConsoleLog', 'ExecutionControl', 'EncryptionImplementations', 'BatteryStatus', 'FileType', 'ErrorLog', 'KeySize', 'BouncyCastle', 'Authenticate', 'OAEP', 'Objects', 'HistoryLog', 'ExecutionControl_1', 'CTR', 'Internationalization', 'Cancel', 'Strings', 'Floats', 'Integrity', 'Locale', 'AuthenticationMechanism', 'TXTFile', 'Store', 'FileStorageImplementations', 'SocialID', 'HelpType', 'ProgressFeedback', 'PasswordLength', 'Caching', 'Wizard', 'CachingOperations', 'IRSensor', 'MaxSizeCache', 'TraceFile', 'Level', 'CacheStore', 'GoBack', 'Undo', 'Info', 'AuthenticatedUser', 'Relational', 'EncryptionAlgorithms', 'CypheredMessages', 'Symmetric', 'JavaIO', 'Non_Repudiation', 'CacheType', 'DES', 'Integers', 'AuthenticationImplementations', 'JAAS', 'Debug', 'CachingImplementations', 'Error', 'RemoteCache', 'Caffeine', 'Warning', 'Hashing', 'ContextualHelpImplementations', 'UserAware', 'HashingImplementations', 'Guava', 'MaxLifeSeconds', 'LoggingImplementations', 'UserType', 'EncryptionOperations', 'HashingOperations', 'Expert', 'SecureDatabase', 'HashingAlgorithms', 'Trace', 'Encrypt', 'Intermediate', 'SHA1', 'EternalObjects', 'ContextualHelpOperations', 'LogBack', 'Shortcuts', 'ShowHelp', 'Beginner', 'JavaWizardAPI', 'Hash']"
Parallel Flat Monte Carlo,5,125,None,100,12500,12500,12500,0,123.8658,3.5358,"['FQAs', 'ContextAwareness', 'Persistence', 'DeviceAware', 'IRSensor', 'DatabaseStorage', 'DatabaseType', 'Performance', 'EnvironmentAware', 'TimeAware', 'UserAware', 'LocationAware', 'BatteryStatus', 'GPS', 'DataType', 'Objects', 'Integers', 'Relational', 'Strings', 'FileStorage', 'SecureDatabase', 'DatabaseStorageImplementations', 'MySQL', 'Security', 'Floats', 'Confidentiality', 'FileStorageImplementations', 'Hashing', 'Integrity', 'TemporalFile', 'HashingImplementations', 'HashingOperations', 'Caching', 'FileStorageOperations', 'CachingOperations', 'CacheStore', 'CachingImplementations', 'CreateFile', 'Hash', 'MaxLifeSeconds', 'HashingAlgorithms', 'DatabaseStorageOperations', 'Non_Repudiation', 'Usability', 'JavaSecurityMessageDigest', 'Logging', 'CacheType', 'Handler', 'WiFiLocation', 'Caffeine', 'FileType', 'RemoteCache', 'Level', 'Format', 'ErrorLog', 'JavaIO', 'Debug', 'Privacy', 'ContextualHelp', 'Warning', 'AuthenticatedUser', 'Trace', 'Encryption', 'KeySize', 'ContextualHelpImplementations', 'HelpType', 'JavaWizardAPI', 'SHA1', 'Error', 'ExecutionControl', 'Authentication', 'PasswordLength', 'Feedback', 'AuthenticationOperations', 'ExecutionControl_1', 'ContextualHelpOperations', 'EncryptionOperations', 'HTML', 'Shortcuts', 'DatabaseLog', 'Encrypt', 'ProgressFeedback', 'Info', 'AuthenticationLogging', 'MaxSizeCache', 'Authenticate', 'InteractionFeedback', 'Mode', 'TraceFile', 'CBC', 'TXTFile', 'Store', 'Undo', 'AuthenticationImplementations', 'Cancel', 'Internationalization', 'Redo', 'Alerts', 'LoggingImplementations', 'AuthenticationMechanism', 'SocialID', 'HistoryLog', 'PasswordType', 'Locale', 'SpecialChars', 'ShowHelp', 'SystemStatusDisplay', 'JavaUtilLogging', 'CypheredMessages', 'JAAS', 'EternalObjects', 'Padding', 'LoggingOperations', 'Tutorial', 'GoBack', 'EncryptionAlgorithms', 'Wizard', 'Log', 'LimitedSession', 'EncryptionImplementations', 'PKCS5', 'UserType', 'Asymmetric', 'ECDSA', 'BouncyCastle', 'Beginner']"
Parallel Flat Monte Carlo,6,123,None,100,12300,12300,12300,0,124.4877,4.0529,"['FQAs', 'Performance', 'ContextAwareness', 'EnvironmentAware', 'Persistence', 'TimeAware', 'DeviceAware', 'UserAware', 'FileStorage', 'DatabaseStorage', 'Usability', 'FileType', 'ExecutionControl', 'TXTFile', 'BatteryStatus', 'LocationAware', 'GPS', 'DatabaseStorageImplementations', 'MySQL', 'WiFiLocation', 'ExecutionControl_1', 'IRSensor', 'Undo', 'Caching', 'GoBack', 'SecureDatabase', 'MaxSizeCache', 'Shortcuts', 'MaxLifeSeconds', 'CachingImplementations', 'Feedback', 'JavaCachingSystem', 'CacheType', 'EternalObjects', 'Cancel', 'ProgressFeedback', 'Logging', 'FileStorageOperations', 'FileStorageImplementations', 'DatabaseStorageOperations', 'ErrorLog', 'RemoteCache', 'Redo', 'CachingOperations', 'Query', 'Security', 'SystemStatusDisplay', 'HistoryLog', 'Alerts', 'Level', 'Info', 'CacheUpdate', 'CreateFile', 'Trace', 'Internationalization', 'Format', 'CypheredMessages', 'TXT', 'InteractionFeedback', 'DatabaseType', 'Debug', 'TraceFile', 'LoggingOperations', 'Privacy', 'Warning', 'Locale', 'Non_Repudiation', 'Encryption', 'Hashing', 'DataType', 'EncryptionImplementations', 'Integers', 'EncryptionOperations', 'Padding', 'Mode', 'CTR', 'Integrity', 'HashingAlgorithms', 'Objects', 'Handler', 'JavaxCrypto', 'HashingOperations', 'Confidentiality', 'Hash', 'Decrypt', 'NoSQL', 'SHA512', 'ContextualHelp', 'ContextualHelpOperations', 'ConsoleLog', 'JavaIO', 'AuthenticatedUser', 'LoggingImplementations', 'Log4J', 'TemporalFile', 'KeySize', 'Strings', 'UserType', 'Advanced', 'Intermediate', 'HelpType', 'Log', 'EncryptionAlgorithms', 'Tutorial', 'PKCS1', 'Error', 'Floats', 'Wizard', 'Symmetric', 'ContextualHelpImplementations', 'ShowHelp', 'DESede', 'Authentication', 'AuthenticationImplementations', 'SpringSecurity', 'JavaWizardAPI', 'AuthenticationMechanism', 'MatrixCode', 'LimitedSession', 'AuthenticationLogging', 'AuthenticationOperations', 'HashingImplementations', 'Authenticate', 'JavaSecurityMessageDigest']"
Parallel Flat Monte Carlo,7,124,None,100,12400,12400,12400,0,125.3184,4.59,"['FQAs', 'Persistence', 'Security', 'FileStorage', 'FileStorageImplementations', 'Integrity', 'Usability', 'Hashing', 'DatabaseStorage', 'DatabaseStorageOperations', 'HashingAlgorithms', 'Internationalization', 'FileStorageOperations', 'SHA1', 'Feedback', 'ProgressFeedback', 'DatabaseType', 'Performance', 'NoSQL', 'Privacy', 'Confidentiality', 'ExecutionControl', 'Caching', 'HashingImplementations', 'MaxSizeCache', 'DatabaseStorageImplementations', 'JavaIO', 'MySQL', 'Query', 'ModifyFile', 'SecureDatabase', 'MaxLifeSeconds', 'Encryption', 'Padding', 'EncryptionImplementations', 'CachingImplementations', 'Mode', 'PKCS5', 'Logging', 'Format', 'CacheType', 'Handler', 'BouncyCastle', 'Alerts', 'JavaSecurityMessageDigest', 'HistoryLog', 'InteractionFeedback', 'CachingOperations', 'Authentication', 'AuthenticationMechanism', 'TemporalFile', 'HTML', 'AuthenticationOperations', 'ExecutionControl_1', 'LocalCache', 'EncryptionAlgorithms', 'CTS', 'CypheredMessages', 'Cancel', 'AnonymousUser', 'Biometric', 'CacheQuery', 'ContextAwareness', 'Undo', 'JavaCachingSystem', 'Asymmetric', 'DSA', 'EnvironmentAware', 'DatabaseLog', 'DataType', 'Non_Repudiation', 'EncryptionOperations', 'Strings', 'HashingOperations', 'LoggingOperations', 'Level', 'Redo', 'Error', 'AuthenticationLogging', 'AuthenticationImplementations', 'SpringSecurity', 'Info', 'Locale', 'LoggingImplementations', 'SystemStatusDisplay', 'Objects', 'Warning', 'LogBack', 'ContextualHelp', 'Decrypt', 'EternalObjects', 'Floats', 'FileType', 'UserAware', 'Log', 'ErrorLog', 'Authenticate', 'PasswordLength', 'Hash', 'DeviceAware', 'Debug', 'ContextualHelpOperations', 'Trace', 'XMLFile', 'KeySize', 'ShowHelp', 'TraceFile', 'LocationAware', 'WiFiLocation', 'UserType', 'IRSensor', 'GPS', 'Integers', 'BatteryStatus', 'PasswordType', 'ContextualHelpImplementations', 'HelpType', 'JavaWizardAPI', 'Tutorial', 'Wizard', 'Beginner', 'Alphanumeric', 'Intermediate', 'Advanced', 'TimeAware']"
Parallel Flat Monte Carlo,8,124,None,100,12400,12400,12400,0,127.6926,5.1158,"['FQAs', 'Persistence', 'Security', 'Privacy', 'DatabaseStorage', 'Performance', 'SecureDatabase', 'Integrity', 'FileStorage', 'Authentication', 'LimitedSession', 'DatabaseStorageOperations', 'DataType', 'Caching', 'Strings', 'EternalObjects', 'Usability', 'ExecutionControl', 'Floats', 'FileType', 'XMLFile', 'Query', 'PasswordLength', 'Non_Repudiation', 'MaxSizeCache', 'Encryption', 'Padding', 'AuthenticationImplementations', 'PasswordType', 'Logging', 'TemporalFile', 'LoggingImplementations', 'FileStorageOperations', 'KeySize', 'HistoryLog', 'AuthenticationLogging', 'CachingImplementations', 'AuthenticationMechanism', 'Shortcuts', 'Alphanumeric', 'Objects', 'Pin', 'Mode', 'JavaCachingSystem', 'LoggingOperations', 'FileStorageImplementations', 'SpringSecurity', 'ModifyFile', 'DatabaseStorageImplementations', 'PKCS1', 'ContextualHelp', 'CypheredMessages', 'Integers', 'ErrorLog', 'Log4J', 'Hashing', 'CTR', 'DatabaseType', 'OracleDB', 'Feedback', 'Level', 'AuthenticationOperations', 'ContextualHelpOperations', 'EncryptionOperations', 'ContextAwareness', 'ShowHelp', 'Trace', 'Relational', 'Decrypt', 'Log', 'InteractionFeedback', 'ProgressFeedback', 'Confidentiality', 'Internationalization', 'SystemStatusDisplay', 'Error', 'HashingImplementations', 'JavaIO', 'TraceFile', 'Handler', 'Info', 'EnvironmentAware', 'Debug', 'HelpType', 'DeviceAware', 'MaxLifeSeconds', 'Format', 'EncryptionAlgorithms', 'CacheType', 'Symmetric', 'Blowfish', 'FileLog', 'AnonymousUser', 'XML', 'RemoteCache', 'IRSensor', 'Wizard', 'BatteryStatus', 'UserAware', 'HashingAlgorithms', 'Guava', 'MD5', 'EncryptionImplementations', 'CachingOperations', 'Tutorial', 'LocationAware', 'GPS', 'HashingOperations', 'UserType', 'ContextualHelpImplementations', 'WiFiLocation', 'Expert', 'Warning', 'Locale', 'CacheStore', 'JavaxCrypto', 'Advanced', 'Hash', 'Intermediate', 'Authenticate', 'TimeAware', 'JavaWizardAPI', 'Alerts', 'ExecutionControl_1', 'Undo']"
Parallel Flat Monte Carlo,9,40,None,100,4000,4000,4000,0,53.7733,5.2555,"['FQAs', 'Performance', 'Persistence', 'Caching', 'ContextAwareness', 'MaxSizeCache', 'DatabaseStorage', 'LocationAware', 'GPS', 'SecureDatabase', 'DatabaseStorageImplementations', 'CachingOperations', 'TimeAware', 'DatabaseType', 'Relational', 'EternalObjects', 'FileStorage', 'CacheStore', 'DataType', 'Floats', 'MaxLifeSeconds', 'FileStorageOperations', 'ModifyFile', 'OracleDB', 'FileType', 'UserAware', 'Integers', 'Objects', 'TemporalFile', 'Strings', 'DatabaseStorageOperations', 'CacheType', 'JSONFile', 'Store', 'LocalCache', 'CachingImplementations', 'WiFiLocation', 'EnvironmentAware', 'FileStorageImplementations', 'JavaIO', 'Caffeine']"
Parallel Flat Monte Carlo,10,125,None,100,12500,12500,12500,0,127.9164,5.8089,"['FQAs', 'ContextAwareness', 'LocationAware', 'Persistence', 'DeviceAware', 'FileStorage', 'DatabaseStorage', 'FileStorageOperations', 'DeleteFile', 'FileStorageImplementations', 'GPS', 'EnvironmentAware', 'UserAware', 'DataType', 'BatteryStatus', 'IRSensor', 'SecureDatabase', 'Usability', 'Integers', 'Security', 'ContextualHelp', 'Internationalization', 'Confidentiality', 'Logging', 'HistoryLog', 'TemporalFile', 'Feedback', 'Hashing', 'Floats', 'LoggingImplementations', 'Encryption', 'DatabaseType', 'LogBack', 'Handler', 'AuthenticatedUser', 'Level', 'HashingOperations', 'Alerts', 'Padding', 'EncryptionOperations', 'Locale', 'SystemStatusDisplay', 'LoggingOperations', 'JavaIO', 'Hash', 'Log', 'ContextualHelpImplementations', 'Decrypt', 'DatabaseStorageImplementations', 'MySQL', 'Non_Repudiation', 'HashingAlgorithms', 'UserType', 'FileLog', 'Relational', 'ErrorLog', 'ContextualHelpOperations', 'PKCS5', 'Privacy', 'ShowHelp', 'Info', 'CypheredMessages', 'DatabaseStorageOperations', 'SHA256', 'TimeAware', 'TraceFile', 'Trace', 'ProgressFeedback', 'Format', 'InteractionFeedback', 'EncryptionAlgorithms', 'Strings', 'Store', 'Advanced', 'Performance', 'WiFiLocation', 'Debug', 'ExecutionControl', 'XML', 'Intermediate', 'Caching', 'Error', 'Integrity', 'ExecutionControl_1', 'Warning', 'HelpType', 'Asymmetric', 'CachingOperations', 'Beginner', 'Cancel', 'Wizard', 'CacheUpdate', 'GoBack', 'HashingImplementations', 'MaxSizeCache', 'Authentication', 'Undo', 'EncryptionImplementations', 'MaxLifeSeconds', 'Redo', 'Mode', 'AuthenticationImplementations', 'EternalObjects', 'CTS', 'AnonymousUser', 'PasswordType', 'FileType', 'Shortcuts', 'AuthenticationMechanism', 'Expert', 'Numeric', 'AuthenticationOperations', 'JSONFile', 'Authenticate', 'BouncyCastle', 'Biometric', 'Guava', 'KeySize', 'CacheType', 'JavaWizardAPI', 'DSA', 'SpringSecurity', 'LocalCache', 'CachingImplementations', 'AuthenticationLogging', 'Caffeine']"
