Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Random strategy,1,126,None,0,0,0,0,0,0.1025,0.5404,"['FQAs', 'ContextAwareness', 'Performance', 'DeviceAware', 'EnvironmentAware', 'UserAware', 'Security', 'Non_Repudiation', 'LocationAware', 'Privacy', 'Authentication', 'PasswordLength', 'TimeAware', 'WiFiLocation', 'IRSensor', 'Integrity', 'Encryption', 'LimitedSession', 'Persistence', 'AnonymousUser', 'Hashing', 'Caching', 'Padding', 'GPS', 'AuthenticationOperations', 'BatteryStatus', 'PKCS1', 'EncryptionImplementations', 'Authenticate', 'CachingOperations', 'Usability', 'Logging', 'Format', 'EternalObjects', 'CachingImplementations', 'XML', 'EncryptionOperations', 'AuthenticationLogging', 'Caffeine', 'DatabaseStorage', 'KeySize', 'CacheQuery', 'Feedback', 'EncryptionAlgorithms', 'CacheType', 'DatabaseStorageImplementations', 'MaxLifeSeconds', 'ExecutionControl', 'DatabaseStorageOperations', 'PasswordType', 'BouncyCastle', 'CypheredMessages', 'OracleDB', 'FileStorage', 'Internationalization', 'Mode', 'HashingAlgorithms', 'RemoteCache', 'TemporalFile', 'SystemStatusDisplay', 'Handler', 'CTR', 'FileLog', 'Asymmetric', 'Alphanumeric', 'HistoryLog', 'LoggingOperations', 'ContextualHelp', 'ExecutionControl_1', 'ContextualHelpImplementations', 'DataType', 'Strings', 'Undo', 'HashingOperations', 'AuthenticationMechanism', 'Decrypt', 'FileStorageImplementations', 'GoBack', 'AuthenticationImplementations', 'SHA512', 'Redo', 'Integers', 'Confidentiality', 'JavaIO', 'AuthenticatedUser', 'ECDSA', 'LoggingImplementations', 'LogBack', 'DatabaseType', 'SocialID', 'Relational', 'FileStorageOperations', 'Hash', 'Query', 'ProgressFeedback', 'InteractionFeedback', 'HelpType', 'ErrorLog', 'Tutorial', 'ContextualHelpOperations', 'Locale', 'FileType', 'ModifyFile', 'TXTFile', 'Alerts', 'SecureDatabase', 'JAAS', 'Cancel', 'HashingImplementations', 'UserType', 'MaxSizeCache', 'Beginner', 'Log', 'Shortcuts', 'Floats', 'Guava', 'Level', 'JavaWizardAPI', 'Info', 'Advanced', 'ShowHelp', 'Wizard', 'Intermediate', 'Error', 'TraceFile', 'Expert', 'Trace']"
Random strategy,2,2,None,0,0,0,0,0,0.0002,0.5521,"['FQAs', 'Security', 'Non_Repudiation']"
Random strategy,3,128,None,0,0,0,0,0,0.0976,1.0996,"['FQAs', 'Persistence', 'Usability', 'Feedback', 'ContextualHelp', 'ContextAwareness', 'DeviceAware', 'SystemStatusDisplay', 'HelpType', 'InteractionFeedback', 'BatteryStatus', 'Wizard', 'TimeAware', 'ProgressFeedback', 'IRSensor', 'EnvironmentAware', 'ContextualHelpOperations', 'Security', 'Internationalization', 'Non_Repudiation', 'LocationAware', 'Integrity', 'Performance', 'ContextualHelpImplementations', 'Locale', 'Logging', 'Format', 'Confidentiality', 'Caching', 'CacheType', 'XML', 'CachingOperations', 'MaxLifeSeconds', 'AuthenticatedUser', 'WiFiLocation', 'Alerts', 'Privacy', 'CacheStore', 'Encryption', 'EncryptionOperations', 'LocalCache', 'EternalObjects', 'CachingImplementations', 'HistoryLog', 'Handler', 'Tutorial', 'EncryptionAlgorithms', 'Level', 'LoggingOperations', 'Error', 'MaxSizeCache', 'Hashing', 'UserAware', 'Encrypt', 'HashingImplementations', 'Asymmetric', 'HashingOperations', 'Mode', 'ConsoleLog', 'ECB', 'GPS', 'DSA', 'Guava', 'ShowHelp', 'KeySize', 'Authentication', 'Hash', 'EncryptionImplementations', 'DatabaseStorage', 'PasswordLength', 'AnonymousUser', 'FileStorage', 'JavaCachingSystem', 'LoggingImplementations', 'Padding', 'FileStorageOperations', 'ErrorLog', 'PKCS5', 'AuthenticationMechanism', 'MatrixCode', 'HashingAlgorithms', 'ExecutionControl', 'Log4J', 'Trace', 'FileType', 'SHA256', 'DatabaseStorageOperations', 'LimitedSession', 'Warning', 'Info', 'DatabaseType', 'DatabaseStorageImplementations', 'ExecutionControl_1', 'AuthenticationImplementations', 'Debug', 'Log', 'JAAS', 'Relational', 'CypheredMessages', 'Binary', 'TraceFile', 'TemporalFile', 'AuthenticationLogging', 'Store', 'JavaxCrypto', 'Cancel', 'UserType', 'DataType', 'MongoDB', 'Floats', 'JavaWizardAPI', 'Beginner', 'PasswordType', 'GoBack', 'Strings', 'CreateFile', 'Numeric', 'Shortcuts', 'Integers', 'Undo', 'Intermediate', 'SecureDatabase', 'Expert', 'Objects', 'FileStorageImplementations', 'AuthenticationOperations', 'JavaIO', 'Advanced', 'Authenticate']"
Random strategy,4,127,None,0,0,0,0,0,0.0979,1.6338,"['FQAs', 'Usability', 'ExecutionControl', 'Internationalization', 'Performance', 'Locale', 'Persistence', 'ContextualHelp', 'ContextualHelpImplementations', 'JavaWizardAPI', 'UserType', 'ContextualHelpOperations', 'Caching', 'EternalObjects', 'CachingOperations', 'CacheStore', 'FileStorage', 'Beginner', 'Expert', 'Shortcuts', 'TemporalFile', 'CacheType', 'Feedback', 'Advanced', 'SystemStatusDisplay', 'ShowHelp', 'DatabaseStorage', 'LocalCache', 'FileStorageOperations', 'ProgressFeedback', 'ContextAwareness', 'TimeAware', 'HelpType', 'Wizard', 'InteractionFeedback', 'MaxSizeCache', 'DatabaseStorageImplementations', 'OracleDB', 'LocationAware', 'Alerts', 'CreateFile', 'Security', 'CachingImplementations', 'Authentication', 'AuthenticationMechanism', 'AuthenticationLogging', 'FileType', 'UserPassword', 'Tutorial', 'GPS', 'Encryption', 'PasswordLength', 'AnonymousUser', 'PasswordType', 'Mode', 'EncryptionAlgorithms', 'EnvironmentAware', 'JSONFile', 'Padding', 'DatabaseType', 'AuthenticatedUser', 'Numeric', 'Privacy', 'Non_Repudiation', 'JavaCachingSystem', 'NoSQL', 'EncryptionOperations', 'MaxLifeSeconds', 'DataType', 'KeySize', 'ECB', 'AuthenticationOperations', 'DeviceAware', 'FileStorageImplementations', 'EncryptionImplementations', 'Symmetric', 'Integrity', 'Hashing', 'HashingOperations', 'Hash', 'Logging', 'CypheredMessages', 'LoggingImplementations', 'Format', 'BouncyCastle', 'BatteryStatus', 'XML', 'JavaIO', 'PKCS1', 'SecureDatabase', 'Objects', 'ExecutionControl_1', 'Cancel', 'Handler', 'Authenticate', 'Confidentiality', 'JavaUtilLogging', 'DatabaseStorageOperations', 'DES', 'Store', 'Floats', 'GoBack', 'IRSensor', 'UserAware', 'FileLog', 'WiFiLocation', 'HashingAlgorithms', 'SHA256', 'Undo', 'LoggingOperations', 'Intermediate', 'Log', 'HashingImplementations', 'LimitedSession', 'JavaSecurityMessageDigest', 'Encrypt', 'HistoryLog', 'Strings', 'Level', 'ErrorLog', 'Info', 'Error', 'Integers', 'AuthenticationImplementations', 'Warning', 'JAAS', 'Redo', 'Trace']"
Random strategy,5,128,None,0,0,0,0,0,0.1077,2.1767,"['FQAs', 'Persistence', 'Security', 'Performance', 'Privacy', 'FileStorage', 'Authentication', 'AuthenticationImplementations', 'Caching', 'AuthenticationLogging', 'MaxLifeSeconds', 'PasswordType', 'AuthenticationMechanism', 'MatrixCode', 'Encryption', 'LimitedSession', 'CachingImplementations', 'FileType', 'Confidentiality', 'SpecialChars', 'JavaCachingSystem', 'AnonymousUser', 'Usability', 'XMLFile', 'Feedback', 'ExecutionControl', 'MaxSizeCache', 'Mode', 'Logging', 'AuthenticationOperations', 'ExecutionControl_1', 'Hashing', 'CTR', 'Level', 'CachingOperations', 'Authenticate', 'GoBack', 'HashingImplementations', 'KeySize', 'Handler', 'Debug', 'HashingOperations', 'HistoryLog', 'InteractionFeedback', 'CacheType', 'ContextAwareness', 'Info', 'LocationAware', 'LoggingImplementations', 'ConsoleLog', 'HashingAlgorithms', 'CypheredMessages', 'JavaSecurityMessageDigest', 'SimpleImplementationSLF4J', 'ProgressFeedback', 'Non_Repudiation', 'EncryptionOperations', 'Warning', 'SHA512', 'Decrypt', 'Hash', 'Cancel', 'LocalCache', 'Redo', 'EncryptionImplementations', 'CacheQuery', 'EncryptionAlgorithms', 'GPS', 'SystemStatusDisplay', 'EternalObjects', 'DeviceAware', 'ContextualHelp', 'ContextualHelpImplementations', 'JAAS', 'BouncyCastle', 'UserAware', 'TemporalFile', 'Integrity', 'BatteryStatus', 'Asymmetric', 'Trace', 'Undo', 'Internationalization', 'Padding', 'DatabaseStorage', 'DSA', 'PKCS5', 'WiFiLocation', 'DatabaseStorageImplementations', 'MySQL', 'IRSensor', 'Shortcuts', 'EnvironmentAware', 'Format', 'DatabaseType', 'SecureDatabase', 'TXT', 'AuthenticatedUser', 'FileStorageImplementations', 'JavaWizardAPI', 'ContextualHelpOperations', 'ShowHelp', 'FileStorageOperations', 'HelpType', 'Wizard', 'DatabaseStorageOperations', 'LoggingOperations', 'Store', 'DeleteFile', 'TimeAware', 'DataType', 'PasswordLength', 'Alerts', 'JavaIO', 'Strings', 'UserType', 'ErrorLog', 'NoSQL', 'Beginner', 'Objects', 'Error', 'Integers', 'TraceFile', 'Floats', 'Tutorial', 'Log', 'Advanced', 'Intermediate', 'Locale']"
Random strategy,6,130,None,0,0,0,0,0,0.1069,2.731,"['FQAs', 'Security', 'Authentication', 'Performance', 'ContextAwareness', 'LimitedSession', 'Usability', 'EnvironmentAware', 'ContextualHelp', 'Persistence', 'PasswordType', 'Hashing', 'UserAware', 'Internationalization', 'AuthenticationLogging', 'LocationAware', 'DeviceAware', 'HelpType', 'ContextualHelpImplementations', 'UserType', 'JavaWizardAPI', 'Numeric', 'AuthenticationOperations', 'IRSensor', 'Wizard', 'Encryption', 'DatabaseStorage', 'Authenticate', 'AuthenticationMechanism', 'Mode', 'Advanced', 'FileStorage', 'Confidentiality', 'HashingOperations', 'DigitalCertificate', 'FileType', 'CTR', 'Beginner', 'TemporalFile', 'AuthenticatedUser', 'Hash', 'EncryptionImplementations', 'EncryptionAlgorithms', 'HashingImplementations', 'SecureDatabase', 'TimeAware', 'WiFiLocation', 'Non_Repudiation', 'JavaSecurityMessageDigest', 'AuthenticationImplementations', 'Padding', 'Integrity', 'Privacy', 'Feedback', 'OAEP', 'InteractionFeedback', 'SystemStatusDisplay', 'SpringSecurity', 'JSONFile', 'Symmetric', 'JavaxCrypto', 'KeySize', 'DESede', 'Locale', 'GPS', 'BatteryStatus', 'EncryptionOperations', 'ExecutionControl', 'Logging', 'Level', 'Info', 'Format', 'ErrorLog', 'Warning', 'Decrypt', 'ContextualHelpOperations', 'FileStorageImplementations', 'DatabaseType', 'Debug', 'FileStorageOperations', 'DataType', 'Expert', 'DatabaseStorageOperations', 'Alerts', 'Caching', 'ExecutionControl_1', 'ProgressFeedback', 'Store', 'LoggingImplementations', 'Trace', 'Handler', 'CachingImplementations', 'JSON', 'Objects', 'HashingAlgorithms', 'Undo', 'Error', 'ShowHelp', 'SimpleImplementationSLF4J', 'CreateFile', 'AnonymousUser', 'SHA1', 'MaxSizeCache', 'Floats', 'JavaCachingSystem', 'DatabaseStorageImplementations', 'Intermediate', 'Relational', 'ConsoleLog', 'GoBack', 'Shortcuts', 'Integers', 'MongoDB', 'JavaIO', 'Redo', 'CypheredMessages', 'MaxLifeSeconds', 'HistoryLog', 'PseudonymousCertificate', 'Cancel', 'LoggingOperations', 'Tutorial', 'CachingOperations', 'CacheUpdate', 'Log', 'Strings', 'PasswordLength', 'EternalObjects', 'TraceFile', 'CacheType', 'RemoteCache']"
Random strategy,7,128,None,0,0,0,0,0,0.0994,3.2703,"['FQAs', 'Security', 'Performance', 'Integrity', 'Privacy', 'Usability', 'Authentication', 'Persistence', 'Confidentiality', 'AuthenticationOperations', 'Logging', 'LimitedSession', 'AuthenticationImplementations', 'Handler', 'AnonymousUser', 'Level', 'DatabaseLog', 'Warning', 'Info', 'LoggingImplementations', 'FileStorage', 'SimpleImplementationSLF4J', 'JAAS', 'FileStorageImplementations', 'Authenticate', 'Feedback', 'Non_Repudiation', 'JavaIO', 'PasswordLength', 'Debug', 'Format', 'TXT', 'Internationalization', 'ContextualHelp', 'AuthenticationLogging', 'CypheredMessages', 'Caching', 'FileStorageOperations', 'PasswordType', 'DatabaseStorage', 'SpecialChars', 'SystemStatusDisplay', 'DatabaseStorageOperations', 'CachingOperations', 'HelpType', 'ProgressFeedback', 'ExecutionControl', 'AuthenticatedUser', 'Trace', 'HistoryLog', 'CacheQuery', 'ErrorLog', 'Locale', 'MaxLifeSeconds', 'MaxSizeCache', 'Error', 'CachingImplementations', 'Encryption', 'DataType', 'ExecutionControl_1', 'Mode', 'GoBack', 'ModifyFile', 'Integers', 'ContextualHelpImplementations', 'EncryptionAlgorithms', 'CBC', 'JavaCachingSystem', 'Wizard', 'Floats', 'Strings', 'Symmetric', 'Query', 'Padding', 'EncryptionOperations', 'DESede', 'KeySize', 'JavaWizardAPI', 'Cancel', 'Hashing', 'UserType', 'Encrypt', 'Objects', 'OAEP', 'Advanced', 'SecureDatabase', 'TemporalFile', 'HashingImplementations', 'InteractionFeedback', 'FileType', 'HashingAlgorithms', 'EternalObjects', 'Binary', 'SHA256', 'JavaSecurityMessageDigest', 'Intermediate', 'DatabaseType', 'Expert', 'Relational', 'Redo', 'Shortcuts', 'ContextualHelpOperations', 'Tutorial', 'EncryptionImplementations', 'ShowHelp', 'BouncyCastle', 'TraceFile', 'AuthenticationMechanism', 'Alerts', 'UserPassword', 'Beginner', 'CacheType', 'DatabaseStorageImplementations', 'RemoteCache', 'LoggingOperations', 'MongoDB', 'ContextAwareness', 'LocationAware', 'Undo', 'DeviceAware', 'Log', 'EnvironmentAware', 'GPS', 'TimeAware', 'WiFiLocation', 'UserAware', 'HashingOperations', 'BatteryStatus', 'Hash']"
Random strategy,8,129,None,0,0,0,0,0,0.0903,3.8067,"['FQAs', 'Performance', 'Persistence', 'Caching', 'FileStorage', 'FileType', 'TXTFile', 'FileStorageImplementations', 'TemporalFile', 'Security', 'JavaIO', 'Encryption', 'Privacy', 'Integrity', 'Confidentiality', 'KeySize', 'EncryptionAlgorithms', 'EternalObjects', 'FileStorageOperations', 'EncryptionOperations', 'Symmetric', 'DatabaseStorage', 'DatabaseType', 'Blowfish', 'Relational', 'Padding', 'ModifyFile', 'Non_Repudiation', 'MaxLifeSeconds', 'CachingImplementations', 'DataType', 'JavaCachingSystem', 'Objects', 'EncryptionImplementations', 'PKCS5', 'CacheType', 'JavaxCrypto', 'ContextAwareness', 'Encrypt', 'Mode', 'LocalCache', 'LocationAware', 'Strings', 'CachingOperations', 'CFB', 'Floats', 'WiFiLocation', 'CacheUpdate', 'DatabaseStorageOperations', 'EnvironmentAware', 'Integers', 'Usability', 'Authentication', 'MaxSizeCache', 'AuthenticationImplementations', 'AuthenticationMechanism', 'Internationalization', 'SecureDatabase', 'MatrixCode', 'LimitedSession', 'AuthenticationOperations', 'Locale', 'GPS', 'Query', 'ContextualHelp', 'ExecutionControl', 'AuthenticatedUser', 'AuthenticationLogging', 'PasswordLength', 'HelpType', 'UserAware', 'TimeAware', 'Feedback', 'Wizard', 'Tutorial', 'UserType', 'ContextualHelpOperations', 'ContextualHelpImplementations', 'Shortcuts', 'AnonymousUser', 'Advanced', 'Hashing', 'HashingOperations', 'ProgressFeedback', 'HashingImplementations', 'Expert', 'ExecutionControl_1', 'Hash', 'Alerts', 'DeviceAware', 'DatabaseStorageImplementations', 'OracleDB', 'Cancel', 'InteractionFeedback', 'Redo', 'Undo', 'GoBack', 'ShowHelp', 'IRSensor', 'HashingAlgorithms', 'Logging', 'Handler', 'ErrorLog', 'FileLog', 'SystemStatusDisplay', 'Beginner', 'SpringSecurity', 'Authenticate', 'Intermediate', 'Format', 'LoggingImplementations', 'LoggingOperations', 'Log', 'SHA512', 'Guava', 'JSON', 'TraceFile', 'JavaUtilLogging', 'PasswordType', 'CypheredMessages', 'HistoryLog', 'JavaWizardAPI', 'Level', 'BatteryStatus', 'Warning', 'Info', 'Alphanumeric', 'Trace', 'Debug', 'Error']"
Random strategy,9,129,None,0,0,0,0,0,0.0997,4.3525,"['FQAs', 'Performance', 'ContextAwareness', 'Usability', 'Logging', 'Persistence', 'Level', 'ExecutionControl', 'TimeAware', 'EnvironmentAware', 'Security', 'Trace', 'CypheredMessages', 'Warning', 'Handler', 'Authentication', 'AuthenticationLogging', 'Hashing', 'DatabaseLog', 'UserAware', 'AuthenticationImplementations', 'Feedback', 'Debug', 'ProgressFeedback', 'FileStorage', 'Encryption', 'LoggingImplementations', 'SystemStatusDisplay', 'Log4J', 'KeySize', 'LoggingOperations', 'ContextualHelp', 'InteractionFeedback', 'TemporalFile', 'HistoryLog', 'JAAS', 'Error', 'FileStorageImplementations', 'FileStorageOperations', 'Internationalization', 'PasswordType', 'LimitedSession', 'Format', 'EncryptionOperations', 'Integrity', 'JavaIO', 'ModifyFile', 'Confidentiality', 'Info', 'JSON', 'Numeric', 'HashingImplementations', 'Guava', 'HashingAlgorithms', 'HashingOperations', 'Privacy', 'EncryptionAlgorithms', 'HelpType', 'AnonymousUser', 'Decrypt', 'AuthenticationOperations', 'Locale', 'AuthenticatedUser', 'Padding', 'SHA512', 'Wizard', 'LocationAware', 'OAEP', 'ExecutionControl_1', 'Asymmetric', 'GoBack', 'ContextualHelpImplementations', 'ECDSA', 'Shortcuts', 'DeviceAware', 'ErrorLog', 'EncryptionImplementations', 'FileType', 'Tutorial', 'GPS', 'Authenticate', 'TXTFile', 'WiFiLocation', 'Cancel', 'Undo', 'Redo', 'Alerts', 'DatabaseStorage', 'Hash', 'BouncyCastle', 'DatabaseStorageOperations', 'Mode', 'DataType', 'Query', 'Objects', 'CFB', 'DatabaseStorageImplementations', 'ContextualHelpOperations', 'PasswordLength', 'DatabaseType', 'MySQL', 'Caching', 'CacheType', 'Non_Repudiation', 'EternalObjects', 'CachingImplementations', 'Caffeine', 'AuthenticationMechanism', 'UserType', 'RemoteCache', 'BatteryStatus', 'MaxLifeSeconds', 'Pin', 'Beginner', 'NoSQL', 'IRSensor', 'TraceFile', 'Strings', 'Expert', 'JavaWizardAPI', 'ShowHelp', 'Intermediate', 'Advanced', 'SecureDatabase', 'Integers', 'Log', 'Floats', 'MaxSizeCache', 'CachingOperations', 'CacheQuery']"
Random strategy,10,126,None,0,0,0,0,0,0.1866,4.8834,"['FQAs', 'Usability', 'Security', 'ContextAwareness', 'ContextualHelp', 'Logging', 'HelpType', 'Integrity', 'ErrorLog', 'Encryption', 'Feedback', 'HistoryLog', 'ProgressFeedback', 'ExecutionControl', 'Format', 'HTML', 'LocationAware', 'EncryptionAlgorithms', 'TimeAware', 'WiFiLocation', 'AuthenticatedUser', 'Confidentiality', 'Persistence', 'Padding', 'Handler', 'EnvironmentAware', 'Internationalization', 'Performance', 'Symmetric', 'PKCS1', 'InteractionFeedback', 'GPS', 'UserAware', 'DES', 'Hashing', 'Alerts', 'Authentication', 'EncryptionOperations', 'Privacy', 'Non_Repudiation', 'DatabaseStorage', 'HashingImplementations', 'HashingOperations', 'AuthenticationLogging', 'Caching', 'AuthenticationOperations', 'Hash', 'Decrypt', 'MaxSizeCache', 'JavaSecurityMessageDigest', 'Shortcuts', 'HashingAlgorithms', 'MD5', 'EncryptionImplementations', 'AuthenticationMechanism', 'KeySize', 'MaxLifeSeconds', 'UserType', 'ContextualHelpOperations', 'CacheType', 'TraceFile', 'DatabaseStorageOperations', 'SecureDatabase', 'AnonymousUser', 'Advanced', 'ContextualHelpImplementations', 'SystemStatusDisplay', 'LimitedSession', 'PasswordType', 'Expert', 'UserPassword', 'AuthenticationImplementations', 'SpecialChars', 'LocalCache', 'CachingImplementations', 'FileLog', 'Mode', 'ShowHelp', 'JavaCachingSystem', 'Locale', 'ExecutionControl_1', 'ECB', 'FileStorage', 'SpringSecurity', 'LoggingImplementations', 'LogBack', 'Beginner', 'Undo', 'PasswordLength', 'Intermediate', 'Wizard', 'DatabaseType', 'Level', 'LoggingOperations', 'CachingOperations', 'JavaWizardAPI', 'Info', 'CacheQuery', 'Debug', 'DatabaseStorageImplementations', 'MongoDB', 'DataType', 'Log', 'TemporalFile', 'Tutorial', 'Redo', 'Cancel', 'NoSQL', 'CypheredMessages', 'DeviceAware', 'JavaxCrypto', 'GoBack', 'Store', 'FileStorageOperations', 'BatteryStatus', 'EternalObjects', 'Trace', 'ModifyFile', 'Warning', 'Objects', 'FileType', 'Error', 'Strings', 'JSONFile', 'FileStorageImplementations', 'Authenticate', 'JavaIO']"
