Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
UCT MCTS,1,2,None,100,200,200,200,200,14.1808,11.1621,"['FQAs', 'Security', 'Integrity']"
UCT MCTS,2,2,None,100,200,200,200,200,14.1384,11.2218,"['FQAs', 'Security', 'Integrity']"
UCT MCTS,3,2,None,100,200,200,200,200,12.8438,11.2206,"['FQAs', 'ContextAwareness', 'TimeAware']"
UCT MCTS,4,2,None,100,200,200,200,200,13.7804,10.1748,"['FQAs', 'ContextAwareness', 'TimeAware']"
UCT MCTS,5,2,None,100,200,200,200,200,14.7104,10.8696,"['FQAs', 'Security', 'Confidentiality']"
UCT MCTS,6,2,None,100,200,200,200,200,14.4708,11.0965,"['FQAs', 'Security', 'Confidentiality']"
UCT MCTS,7,2,None,100,200,200,200,200,15.2458,11.0972,"['FQAs', 'Security', 'Confidentiality']"
UCT MCTS,8,2,None,100,200,200,200,200,12.6255,11.096,"['FQAs', 'ContextAwareness', 'TimeAware']"
UCT MCTS,9,3,None,100,300,300,300,300,18.7763,16.5153,"['FQAs', 'ContextAwareness', 'LocationAware', 'GPS']"
UCT MCTS,10,4,None,100,400,400,400,400,26.3711,24.511,"['FQAs', 'Usability', 'ExecutionControl', 'ExecutionControl_1', 'Cancel']"
UCT MCTS,11,2,None,100,200,200,200,200,13.9859,24.5099,"['FQAs', 'ContextAwareness', 'TimeAware']"
UCT MCTS,12,2,None,100,200,200,200,200,14.5907,11.2644,"['FQAs', 'Security', 'Confidentiality']"
UCT MCTS,13,3,None,100,300,300,300,300,23.0386,18.5994,"['FQAs', 'Usability', 'Feedback', 'Alerts']"
UCT MCTS,14,2,None,100,200,200,200,200,13.614,18.5982,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
UCT MCTS,15,3,None,100,300,300,300,300,21.8621,15.3077,"['FQAs', 'ContextAwareness', 'DeviceAware', 'IRSensor']"
UCT MCTS,16,2,None,100,200,200,200,200,13.989,15.3064,"['FQAs', 'ContextAwareness', 'UserAware']"
UCT MCTS,17,2,None,100,200,200,200,200,14.3589,11.1348,"['FQAs', 'Security', 'Confidentiality']"
UCT MCTS,18,3,None,100,300,300,300,300,20.8777,15.1275,"['FQAs', 'ContextAwareness', 'LocationAware', 'GPS']"
UCT MCTS,19,2,None,100,200,200,200,200,14.2242,15.1263,"['FQAs', 'Security', 'Integrity']"
UCT MCTS,20,2,None,100,200,200,200,200,14.0167,11.6271,"['FQAs', 'ContextAwareness', 'TimeAware']"
UCT MCTS,21,2,None,100,200,200,200,200,14.0323,11.291,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
UCT MCTS,22,2,None,100,200,200,200,200,15.9868,11.2897,"['FQAs', 'Security', 'Privacy']"
UCT MCTS,23,2,None,100,200,200,200,200,14.9095,11.2311,"['FQAs', 'Security', 'Confidentiality']"
UCT MCTS,24,2,None,100,200,200,200,200,12.8358,11.2299,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
UCT MCTS,25,2,None,100,200,200,200,200,14.3595,11.3651,"['FQAs', 'ContextAwareness', 'TimeAware']"
UCT MCTS,26,3,None,100,300,300,300,300,21.8711,19.6799,"['FQAs', 'Usability', 'Feedback', 'Alerts']"
UCT MCTS,27,4,None,100,400,400,400,400,29.0067,22.9803,"['FQAs', 'ContextAwareness', 'Security', 'Privacy', 'EnvironmentAware']"
UCT MCTS,28,2,None,100,200,200,200,200,14.6407,22.979,"['FQAs', 'Security', 'Non_Repudiation']"
UCT MCTS,29,10,None,100,1000,1000,1000,1000,71.6595,57.3288,"['FQAs', 'Performance', 'Caching', 'CacheType', 'CachingOperations', 'CacheQuery', 'CachingImplementations', 'LocalCache', 'EternalObjects', 'JavaCachingSystem', 'MaxSizeCache']"
UCT MCTS,30,2,None,100,200,200,200,200,13.5018,57.3276,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
