Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Parallel Flat Monte Carlo,1,1,None,100,100,100,100,0,0.1034,0.6719,"['System', 'AAFMFramework', 'Metamodels', 'Win']"
Parallel Flat Monte Carlo,2,38,None,100,3800,3800,3800,0,3.8348,0.8042,"['System', 'AAFMFramework', 'Metamodels', 'CNFModel', 'DecisionModel', 'Packages', 'Win', 'APISolvers', 'satyrn', 'Utils', 'pylgl', 'pybind11', 'DepMng', 'Interoperability', 'six', 'AutomatedReasoning', 'wheel', 'FeatureModel', 'pycosat', 'pyglucose', 'pycryptosat', 'Operations', 'ErrorDiagnosis', 'FeatureIDE', 'setuptools', 'ValidConfiguration', 'Solvers', 'CoreFeatures', 'SPLOT', 'AllProducts', 'Maple', 'MiniSAT', 'ParserTechnology', 'ValidProduct', 'Glucose', 'SimpleParse', 'pydepqbf', 'pip', 'Minicard', 'satispy', 'pythonsat']"
Parallel Flat Monte Carlo,3,1,None,100,100,100,100,0,0.0949,0.7898,"['System', 'AAFMFramework', 'Metamodels', 'Win']"
Parallel Flat Monte Carlo,4,1,None,100,100,100,100,0,0.105,0.7937,"['System', 'AAFMFramework', 'Metamodels', 'Linux']"
Parallel Flat Monte Carlo,5,1,None,100,100,100,100,0,0.0996,0.7967,"['System', 'AAFMFramework', 'Metamodels', 'Win']"
Parallel Flat Monte Carlo,6,1,None,100,100,100,100,0,0.1031,0.7996,"['System', 'AAFMFramework', 'Metamodels', 'Linux']"
Parallel Flat Monte Carlo,7,45,None,100,4500,4500,4500,0,4.8164,0.9088,"['System', 'AAFMFramework', 'Metamodels', 'AutomatedReasoning', 'DecisionModel', 'Interoperability', 'Solvers', 'CNFModel', 'UVL', 'MiniSAT', 'Minicard', 'Win', 'DepQBF', 'Packages', 'FeatureModel', 'Maple', 'Lingeling', 'PicoSAT', 'SPLOT', 'Operations', 'ValidModel', 'CaDiCaL', 'APISolvers', 'DeadFeatures', 'ValidConfiguration', 'AllProducts', 'DepMng', 'pycosat', 'ErrorDetection', 'ValidProduct', 'pip', 'CoreFeatures', 'satyrn', 'FeatureIDE', 'pylgl', 'ParserTechnology', 'Glucose', 'pipdeptree', 'larkparser', 'wheel', 'Utils', 'pydepqbf', 'pythonsat', 'pkgresources', 'setuptools', 'pybind11', 'SimpleParse', 'six']"
Parallel Flat Monte Carlo,8,2,None,100,200,200,200,0,0.211,0.904,"['System', 'AAFMFramework', 'Metamodels', 'FeatureModel', 'Linux']"
Parallel Flat Monte Carlo,9,38,None,100,3800,3800,3800,0,4.5432,1.0043,"['System', 'AAFMFramework', 'Metamodels', 'Packages', 'Linux', 'AutomatedReasoning', 'DepMng', 'Solvers', 'Glucose', 'Lingeling', 'pip', 'CNFModel', 'setuptools', 'ParserTechnology', 'CaDiCaL', 'PicoSAT', 'DecisionModel', 'Minicard', 'Utils', 'larkparser', 'six', 'APISolvers', 'ebnf', 'pyPicosat', 'FeatureModel', 'Interoperability', 'umo', 'satispy', 'pyglucose', 'SPLOT', 'pydepqbf', 'Maple', 'DepQBF', 'pylgl', 'satyrn', 'antlr4python3runtime', 'pipdeptree', 'pythonsat', 'pkgresources', 'wheel', 'pybind11']"
Parallel Flat Monte Carlo,10,43,None,100,4300,4300,4300,0,4.8809,1.096,"['System', 'AAFMFramework', 'Metamodels', 'CNFModel', 'Win', 'AutomatedReasoning', 'Operations', 'ValidConfiguration', 'ValidModel', 'Solvers', 'Lingeling', 'Maple', 'PicoSAT', 'CoreFeatures', 'FeatureModel', 'Packages', 'ErrorDetection', 'Glucose', 'DepQBF', 'DepMng', 'ErrorDiagnosis', 'CryptoMiniSat', 'ValidProduct', 'CaDiCaL', 'AllProducts', 'Utils', 'APISolvers', 'pkgresources', 'MiniSAT', 'Minicard', 'wheel', 'satispy', 'DeadFeatures', 'satyrn', 'ParserTechnology', 'pycryptosat', 'antlr4python3runtime', 'setuptools', 'six', 'pylgl', 'SimpleParse', 'pycosat', 'pythonsat', 'pydepqbf', 'pybind11', 'pip']"
Parallel Flat Monte Carlo,11,45,None,100,4500,4500,4500,0,5.1105,1.1915,"['System', 'AAFMFramework', 'Metamodels', 'Packages', 'DecisionModel', 'FeatureModel', 'APISolvers', 'Linux', 'AutomatedReasoning', 'pylgl', 'Utils', 'CNFModel', 'pythonsat', 'satispy', 'Operations', 'pybind11', 'satyrn', 'AllProducts', 'ErrorDiagnosis', 'DeadFeatures', 'pycosat', 'umo', 'Solvers', 'ParserTechnology', 'Maple', 'ValidConfiguration', 'PicoSAT', 'CryptoMiniSat', 'SimpleParse', 'antlr4python3runtime', 'pyPicosat', 'pycryptosat', 'DepMng', 'Lingeling', 'six', 'larkparser', 'CaDiCaL', 'DepQBF', 'CBC', 'CoreFeatures', 'ValidModel', 'pydepqbf', 'pkgresources', 'setuptools', 'ErrorDetection', 'Interoperability', 'pip', 'SPLOT']"
Parallel Flat Monte Carlo,12,43,None,100,4300,4300,4300,0,4.9155,1.291,"['System', 'AAFMFramework', 'Metamodels', 'DecisionModel', 'Interoperability', 'FeatureModel', 'AutomatedReasoning', 'Linux', 'SPLOT', 'UVL', 'Packages', 'ParserTechnology', 'CNFModel', 'DepMng', 'SimpleParse', 'APISolvers', 'pythonsat', 'pycosat', 'pylgl', 'umo', 'pyPicosat', 'setuptools', 'larkparser', 'FeatureIDE', 'Operations', 'pycryptosat', 'CoreFeatures', 'wheel', 'DeadFeatures', 'antlr4python3runtime', 'pkgresources', 'satispy', 'Utils', 'pydepqbf', 'ValidConfiguration', 'pip', 'pyglucose', 'Solvers', 'pipdeptree', 'ValidProduct', 'Glucose', 'pybind11', 'AllProducts', 'satyrn', 'Minicard', 'six']"
Parallel Flat Monte Carlo,13,1,None,100,100,100,100,0,0.1024,1.2802,"['System', 'AAFMFramework', 'Metamodels', 'Linux']"
Parallel Flat Monte Carlo,14,1,None,100,100,100,100,0,0.1092,1.2831,"['System', 'AAFMFramework', 'Metamodels', 'Linux']"
Parallel Flat Monte Carlo,15,47,None,100,4700,4700,4700,0,5.3699,1.3998,"['System', 'AAFMFramework', 'Metamodels', 'FeatureModel', 'Interoperability', 'Linux', 'UVL', 'SPLOT', 'CNFModel', 'FeatureIDE', 'DecisionModel', 'AutomatedReasoning', 'Solvers', 'PicoSAT', 'Packages', 'DepMng', 'pkgresources', 'Operations', 'ValidConfiguration', 'APISolvers', 'pip', 'CaDiCaL', 'ValidModel', 'Maple', 'wheel', 'pipdeptree', 'pyPicosat', 'satispy', 'pylgl', 'pydepqbf', 'CBC', 'pythonsat', 'Utils', 'pycryptosat', 'MiniSAT', 'ErrorDetection', 'Glucose', 'satyrn', 'Lingeling', 'pybind11', 'CoreFeatures', 'Minicard', 'CryptoMiniSat', 'ErrorDiagnosis', 'setuptools', 'six', 'DepQBF', 'umo', 'ParserTechnology', 'antlr4python3runtime']"
Parallel Flat Monte Carlo,16,46,None,100,4600,4600,4600,0,5.2905,1.5056,"['System', 'AAFMFramework', 'Metamodels', 'DecisionModel', 'FeatureModel', 'CNFModel', 'AutomatedReasoning', 'Packages', 'Solvers', 'DepQBF', 'APISolvers', 'Minicard', 'umo', 'pydepqbf', 'DepMng', 'Linux', 'ParserTechnology', 'pyPicosat', 'CryptoMiniSat', 'pip', 'pkgresources', 'Interoperability', 'satyrn', 'SPLOT', 'satispy', 'wheel', 'pyglucose', 'Operations', 'setuptools', 'ValidProduct', 'ErrorDiagnosis', 'pipdeptree', 'FeatureIDE', 'AllProducts', 'Utils', 'antlr4python3runtime', 'DeadFeatures', 'UVL', 'pycryptosat', 'pylgl', 'CoreFeatures', 'Maple', 'pycosat', 'PicoSAT', 'Glucose', 'ErrorDetection', 'pybind11', 'pythonsat', 'six']"
Parallel Flat Monte Carlo,17,1,None,100,100,100,100,0,0.1046,1.4923,"['System', 'AAFMFramework', 'Metamodels', 'Win']"
Parallel Flat Monte Carlo,18,2,None,100,200,200,200,0,0.2278,1.4992,"['System', 'AAFMFramework', 'Metamodels', 'DecisionModel', 'Win']"
Parallel Flat Monte Carlo,19,41,None,100,4100,4100,4100,0,4.7449,1.5984,"['System', 'AAFMFramework', 'Metamodels', 'Packages', 'CNFModel', 'DecisionModel', 'ParserTechnology', 'DepMng', 'Utils', 'wheel', 'APISolvers', 'pybind11', 'AutomatedReasoning', 'pycosat', 'pyglucose', 'satispy', 'SimpleParse', 'pylgl', 'pip', 'Operations', 'pkgresources', 'Linux', 'ValidModel', 'pydepqbf', 'larkparser', 'ebnf', 'DeadFeatures', 'CoreFeatures', 'AllProducts', 'ValidConfiguration', 'pyPicosat', 'ErrorDiagnosis', 'six', 'pipdeptree', 'ErrorDetection', 'FeatureModel', 'setuptools', 'pycryptosat', 'Solvers', 'Interoperability', 'pythonsat', 'CBC', 'UVL', 'umo']"
Parallel Flat Monte Carlo,20,29,None,100,2900,2900,2900,0,3.3793,1.6548,"['System', 'AAFMFramework', 'Metamodels', 'Interoperability', 'UVL', 'Win', 'CNFModel', 'SPLOT', 'Packages', 'DepMng', 'pip', 'pkgresources', 'Utils', 'setuptools', 'FeatureIDE', 'AutomatedReasoning', 'ParserTechnology', 'six', 'APISolvers', 'DecisionModel', 'pythonsat', 'FeatureModel', 'pycosat', 'pybind11', 'larkparser', 'satyrn', 'pycryptosat', 'ebnf', 'antlr4python3runtime', 'wheel', 'Solvers', 'CryptoMiniSat']"
Parallel Flat Monte Carlo,21,1,None,100,100,100,100,0,0.1223,1.655,"['System', 'AAFMFramework', 'Metamodels', 'Win']"
Parallel Flat Monte Carlo,22,35,None,100,3500,3500,3500,0,3.9962,1.737,"['System', 'AAFMFramework', 'Metamodels', 'CNFModel', 'Win', 'Interoperability', 'Packages', 'FeatureIDE', 'APISolvers', 'Utils', 'pythonsat', 'satispy', 'pylgl', 'ParserTechnology', 'UVL', 'SimpleParse', 'satyrn', 'larkparser', 'antlr4python3runtime', 'pydepqbf', 'pycryptosat', 'DecisionModel', 'FeatureModel', 'ebnf', 'SPLOT', 'pyglucose', 'DepMng', 'pkgresources', 'six', 'pip', 'pybind11', 'pycosat', 'wheel', 'setuptools', 'AutomatedReasoning', 'pipdeptree', 'Solvers', 'MiniSAT']"
Parallel Flat Monte Carlo,23,1,None,100,100,100,100,0,0.1117,1.7338,"['System', 'AAFMFramework', 'Metamodels', 'Linux']"
Parallel Flat Monte Carlo,24,46,None,100,4600,4600,4600,0,5.3934,1.8497,"['System', 'AAFMFramework', 'Metamodels', 'AutomatedReasoning', 'FeatureModel', 'CNFModel', 'Linux', 'Solvers', 'CaDiCaL', 'Glucose', 'Lingeling', 'MiniSAT', 'Operations', 'DepQBF', 'CBC', 'Minicard', 'CryptoMiniSat', 'Interoperability', 'DeadFeatures', 'DecisionModel', 'Maple', 'ErrorDiagnosis', 'ValidProduct', 'SPLOT', 'PicoSAT', 'ValidModel', 'Packages', 'ParserTechnology', 'ValidConfiguration', 'DepMng', 'SimpleParse', 'APISolvers', 'UVL', 'setuptools', 'Utils', 'pycryptosat', 'pythonsat', 'satispy', 'six', 'pylgl', 'FeatureIDE', 'pybind11', 'pydepqbf', 'pkgresources', 'pyglucose', 'umo', 'CoreFeatures', 'pip', 'pycosat']"
Parallel Flat Monte Carlo,25,39,None,100,3900,3900,3900,0,4.7839,1.9342,"['System', 'AAFMFramework', 'Metamodels', 'AutomatedReasoning', 'Operations', 'ValidProduct', 'Packages', 'Linux', 'APISolvers', 'DeadFeatures', 'Interoperability', 'ValidModel', 'FeatureModel', 'DepMng', 'AllProducts', 'pycosat', 'ValidConfiguration', 'ErrorDetection', 'pylgl', 'setuptools', 'ErrorDiagnosis', 'pythonsat', 'Utils', 'wheel', 'pydepqbf', 'pyPicosat', 'satispy', 'pkgresources', 'umo', 'six', 'SPLOT', 'pip', 'CNFModel', 'DecisionModel', 'pybind11', 'FeatureIDE', 'ParserTechnology', 'pyglucose', 'larkparser', 'UVL', 'Solvers', 'CaDiCaL']"
Parallel Flat Monte Carlo,26,1,None,100,100,100,100,0,0.1093,1.9242,"['System', 'AAFMFramework', 'Metamodels', 'Win']"
Parallel Flat Monte Carlo,27,43,None,100,4300,4300,4300,0,5.1089,2.0336,"['System', 'AAFMFramework', 'Metamodels', 'CNFModel', 'Interoperability', 'FeatureIDE', 'UVL', 'FeatureModel', 'Packages', 'DepMng', 'setuptools', 'DecisionModel', 'wheel', 'AutomatedReasoning', 'Linux', 'APISolvers', 'umo', 'Solvers', 'Minicard', 'Glucose', 'ParserTechnology', 'antlr4python3runtime', 'pip', 'Lingeling', 'Operations', 'Utils', 'pythonsat', 'SPLOT', 'CryptoMiniSat', 'DepQBF', 'Maple', 'pkgresources', 'pylgl', 'pyPicosat', 'pyglucose', 'AllProducts', 'pycryptosat', 'ValidModel', 'pycosat', 'pybind11', 'CBC', 'six', 'ValidConfiguration', 'SimpleParse', 'CoreFeatures', 'pydepqbf']"
Parallel Flat Monte Carlo,28,1,None,100,100,100,100,0,0.1058,2.0218,"['System', 'AAFMFramework', 'Metamodels', 'Win']"
Parallel Flat Monte Carlo,29,45,None,100,4500,4500,4500,0,5.4615,2.1316,"['System', 'AAFMFramework', 'Metamodels', 'Packages', 'DecisionModel', 'ParserTechnology', 'AutomatedReasoning', 'antlr4python3runtime', 'Solvers', 'CaDiCaL', 'Linux', 'CNFModel', 'MiniSAT', 'Maple', 'SimpleParse', 'FeatureModel', 'Lingeling', 'Operations', 'ValidModel', 'ErrorDetection', 'CryptoMiniSat', 'Glucose', 'APISolvers', 'pythonsat', 'pycryptosat', 'ValidConfiguration', 'pyglucose', 'satyrn', 'ErrorDiagnosis', 'AllProducts', 'pycosat', 'DepMng', 'pyPicosat', 'CoreFeatures', 'Utils', 'larkparser', 'pybind11', 'setuptools', 'pylgl', 'satispy', 'CBC', 'pip', 'wheel', 'umo', 'ebnf', 'ValidProduct', 'pkgresources', 'six']"
Parallel Flat Monte Carlo,30,45,None,100,4500,4500,4500,0,5.2215,2.2309,"['System', 'AAFMFramework', 'Metamodels', 'FeatureModel', 'Interoperability', 'SPLOT', 'FeatureIDE', 'DecisionModel', 'AutomatedReasoning', 'Solvers', 'MiniSAT', 'Linux', 'CaDiCaL', 'Operations', 'Packages', 'DepQBF', 'AllProducts', 'UVL', 'CoreFeatures', 'CNFModel', 'Utils', 'Glucose', 'six', 'Lingeling', 'DeadFeatures', 'APISolvers', 'ValidModel', 'pydepqbf', 'DepMng', 'ParserTechnology', 'Maple', 'antlr4python3runtime', 'ErrorDiagnosis', 'ErrorDetection', 'ValidProduct', 'pybind11', 'satyrn', 'larkparser', 'setuptools', 'ebnf', 'SimpleParse', 'pythonsat', 'pip', 'umo', 'pyPicosat', 'PicoSAT', 'wheel', 'pkgresources']"
