Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Random strategy,1,49,None,0,0,0,0,0,0.0078,0.1031,"['AAFMFramework', 'System', 'Metamodels', 'CNFModel', 'DecisionModel', 'FeatureModel', 'AutomatedReasoning', 'Win', 'Operations', 'ErrorDiagnosis', 'ValidModel', 'ValidConfiguration', 'CoreFeatures', 'ValidProduct', 'AllProducts', 'Solvers', 'CaDiCaL', 'Interoperability', 'Minicard', 'DeadFeatures', 'UVL', 'Lingeling', 'CryptoMiniSat', 'PicoSAT', 'DepQBF', 'MiniSAT', 'FeatureIDE', 'ErrorDetection', 'Glucose', 'Packages', 'DepMng', 'Utils', 'APISolvers', 'six', 'SPLOT', 'satyrn', 'pybind11', 'pyglucose', 'pydepqbf', 'pythonsat', 'pkgresources', 'ParserTechnology', 'wheel', 'Maple', 'pip', 'pycryptosat', 'pycosat', 'pylgl', 'pipdeptree', 'setuptools', 'satispy', 'larkparser']"
Random strategy,2,48,None,0,0,0,0,0,0.0087,0.2168,"['AAFMFramework', 'System', 'Metamodels', 'AutomatedReasoning', 'Win', 'Interoperability', 'CNFModel', 'DecisionModel', 'SPLOT', 'Operations', 'ErrorDiagnosis', 'ValidModel', 'ValidConfiguration', 'FeatureModel', 'AllProducts', 'Solvers', 'CryptoMiniSat', 'MiniSAT', 'Packages', 'ValidProduct', 'PicoSAT', 'Utils', 'FeatureIDE', 'ParserTechnology', 'APISolvers', 'SimpleParse', 'pylgl', 'Glucose', 'Lingeling', 'pybind11', 'pythonsat', 'ErrorDetection', 'UVL', 'antlr4python3runtime', 'pycryptosat', 'DepQBF', 'six', 'CoreFeatures', 'Maple', 'satyrn', 'pydepqbf', 'pyglucose', 'DeadFeatures', 'pycosat', 'DepMng', 'pip', 'CaDiCaL', 'wheel', 'satispy', 'larkparser', 'setuptools']"
Random strategy,3,54,None,0,0,0,0,0,0.0092,0.3339,"['AAFMFramework', 'System', 'Metamodels', 'Packages', 'FeatureModel', 'Linux', 'Interoperability', 'SPLOT', 'Utils', 'DecisionModel', 'AutomatedReasoning', 'six', 'Solvers', 'Operations', 'pybind11', 'CNFModel', 'CoreFeatures', 'ParserTechnology', 'DepQBF', 'ErrorDetection', 'SimpleParse', 'CaDiCaL', 'FeatureIDE', 'Lingeling', 'DeadFeatures', 'Glucose', 'CBC', 'Minicard', 'ValidModel', 'AllProducts', 'PicoSAT', 'ValidProduct', 'ValidConfiguration', 'antlr4python3runtime', 'UVL', 'MiniSAT', 'CryptoMiniSat', 'DepMng', 'setuptools', 'wheel', 'Maple', 'ErrorDiagnosis', 'pip', 'larkparser', 'pkgresources', 'pipdeptree', 'ebnf', 'APISolvers', 'pycryptosat', 'pydepqbf', 'pyPicosat', 'pyglucose', 'umo', 'pylgl', 'satyrn', 'satispy', 'pythonsat']"
Random strategy,4,1,None,0,0,0,0,0,0.0001,0.3352,"['AAFMFramework', 'System', 'Metamodels', 'Linux']"
Random strategy,5,48,None,0,0,0,0,0,0.0093,0.4415,"['AAFMFramework', 'System', 'Metamodels', 'FeatureModel', 'Packages', 'DepMng', 'ParserTechnology', 'SimpleParse', 'Linux', 'pip', 'wheel', 'CNFModel', 'Interoperability', 'APISolvers', 'pydepqbf', 'UVL', 'Utils', 'umo', 'pylgl', 'pycryptosat', 'larkparser', 'pycosat', 'pyglucose', 'antlr4python3runtime', 'FeatureIDE', 'six', 'satispy', 'pythonsat', 'satyrn', 'ebnf', 'pybind11', 'pyPicosat', 'AutomatedReasoning', 'DecisionModel', 'setuptools', 'pipdeptree', 'Operations', 'ValidProduct', 'CoreFeatures', 'ErrorDetection', 'ValidConfiguration', 'Solvers', 'Glucose', 'DeadFeatures', 'CaDiCaL', 'AllProducts', 'PicoSAT', 'CryptoMiniSat', 'ValidModel', 'SPLOT', 'pkgresources']"
Random strategy,6,51,None,0,0,0,0,0,0.0089,0.5522,"['AAFMFramework', 'System', 'Metamodels', 'CNFModel', 'Win', 'Packages', 'ParserTechnology', 'DecisionModel', 'Interoperability', 'APISolvers', 'pythonsat', 'antlr4python3runtime', 'satispy', 'Utils', 'pydepqbf', 'six', 'pyglucose', 'AutomatedReasoning', 'FeatureModel', 'pycosat', 'larkparser', 'SPLOT', 'UVL', 'FeatureIDE', 'ebnf', 'Operations', 'AllProducts', 'ErrorDetection', 'DeadFeatures', 'CoreFeatures', 'ValidConfiguration', 'ValidModel', 'Solvers', 'ValidProduct', 'DepMng', 'satyrn', 'pycryptosat', 'DepQBF', 'CaDiCaL', 'PicoSAT', 'Minicard', 'pybind11', 'Maple', 'pylgl', 'CryptoMiniSat', 'Glucose', 'ErrorDiagnosis', 'Lingeling', 'pip', 'pipdeptree', 'pkgresources', 'MiniSAT', 'wheel', 'setuptools']"
Random strategy,7,49,None,0,0,0,0,0,0.0084,0.6586,"['AAFMFramework', 'System', 'Metamodels', 'DecisionModel', 'CNFModel', 'AutomatedReasoning', 'Packages', 'ParserTechnology', 'Solvers', 'Win', 'DepQBF', 'CaDiCaL', 'Lingeling', 'Glucose', 'SimpleParse', 'antlr4python3runtime', 'Maple', 'larkparser', 'MiniSAT', 'Operations', 'ErrorDiagnosis', 'ValidConfiguration', 'ebnf', 'Minicard', 'ValidModel', 'Utils', 'ErrorDetection', 'CoreFeatures', 'ValidProduct', 'DepMng', 'Interoperability', 'SPLOT', 'CryptoMiniSat', 'pkgresources', 'six', 'wheel', 'FeatureModel', 'pybind11', 'AllProducts', 'FeatureIDE', 'UVL', 'APISolvers', 'pyglucose', 'pycryptosat', 'pip', 'pythonsat', 'pipdeptree', 'setuptools', 'PicoSAT', 'satispy', 'pydepqbf', 'pycosat']"
Random strategy,8,44,None,0,0,0,0,0,0.0083,0.7548,"['AAFMFramework', 'System', 'Metamodels', 'AutomatedReasoning', 'Operations', 'Interoperability', 'FeatureIDE', 'SPLOT', 'DeadFeatures', 'ValidConfiguration', 'CNFModel', 'Linux', 'ValidProduct', 'Packages', 'DepMng', 'pkgresources', 'pip', 'ParserTechnology', 'FeatureModel', 'ErrorDiagnosis', 'pipdeptree', 'Utils', 'APISolvers', 'setuptools', 'AllProducts', 'pycosat', 'pyPicosat', 'wheel', 'umo', 'SimpleParse', 'satyrn', 'CoreFeatures', 'pythonsat', 'ErrorDetection', 'antlr4python3runtime', 'ValidModel', 'pybind11', 'larkparser', 'ebnf', 'pycryptosat', 'pylgl', 'DecisionModel', 'pyglucose', 'UVL', 'Solvers', 'six', 'Lingeling']"
Random strategy,9,40,None,0,0,0,0,0,0.0076,0.8427,"['AAFMFramework', 'System', 'Metamodels', 'CNFModel', 'Interoperability', 'SPLOT', 'FeatureModel', 'Linux', 'DecisionModel', 'Packages', 'UVL', 'Utils', 'AutomatedReasoning', 'DepMng', 'APISolvers', 'pythonsat', 'ParserTechnology', 'satyrn', 'pkgresources', 'umo', 'pybind11', 'pydepqbf', 'Operations', 'larkparser', 'ebnf', 'pyglucose', 'antlr4python3runtime', 'wheel', 'setuptools', 'satispy', 'pip', 'pylgl', 'ValidProduct', 'AllProducts', 'FeatureIDE', 'ErrorDiagnosis', 'Solvers', 'pycryptosat', 'six', 'ValidModel', 'ValidConfiguration', 'ErrorDetection', 'Maple']"
Random strategy,10,55,None,0,0,0,0,0,0.0102,0.9631,"['AAFMFramework', 'System', 'Metamodels', 'CNFModel', 'AutomatedReasoning', 'DecisionModel', 'Solvers', 'Lingeling', 'Glucose', 'Packages', 'Maple', 'CaDiCaL', 'ParserTechnology', 'APISolvers', 'CryptoMiniSat', 'pythonsat', 'Utils', 'larkparser', 'satispy', 'MiniSAT', 'pycryptosat', 'Minicard', 'FeatureModel', 'antlr4python3runtime', 'satyrn', 'pylgl', 'DepQBF', 'SimpleParse', 'Interoperability', 'CBC', 'umo', 'pydepqbf', 'UVL', 'PicoSAT', 'pyglucose', 'Operations', 'SPLOT', 'pybind11', 'Linux', 'ErrorDiagnosis', 'AllProducts', 'pyPicosat', 'CoreFeatures', 'DepMng', 'DeadFeatures', 'ValidProduct', 'pycosat', 'wheel', 'ErrorDetection', 'ValidModel', 'pip', 'six', 'FeatureIDE', 'pipdeptree', 'ValidConfiguration', 'setuptools', 'ebnf', 'pkgresources']"
