Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Flat Monte Carlo,1,4,None,100,400,281,281,0,0.3993,0.4586,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'Maven', 'MicroserviceApplication', 'Uaa']"
Flat Monte Carlo,2,4,None,100,400,293,293,0,0.3894,0.4897,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'MicroserviceApplication', 'JWT', 'Gradle']"
Flat Monte Carlo,3,4,None,100,400,296,296,0,0.3767,0.5035,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'Maven', 'MicroserviceApplication', 'Uaa']"
Flat Monte Carlo,4,4,None,100,400,279,279,0,0.3731,0.4999,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'Maven', 'MicroserviceApplication', 'Uaa']"
Flat Monte Carlo,5,4,None,100,400,286,286,0,0.3552,0.5025,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'MicroserviceApplication', 'Gradle', 'Uaa']"
Flat Monte Carlo,6,8,None,100,800,565,565,0,0.8318,0.9669,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'OAuth2', 'ClusteredSession', 'Database', 'MongoDB', 'Application', 'Protractor', 'Monolithic', 'Maven']"
Flat Monte Carlo,7,4,None,100,400,280,280,0,0.3637,0.964,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'JWT', 'MicroserviceApplication', 'Maven']"
Flat Monte Carlo,8,4,None,100,400,289,289,0,0.3627,0.5436,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'MicroserviceApplication', 'JWT', 'Maven']"
Flat Monte Carlo,9,4,None,100,400,281,281,0,0.3486,0.5386,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'JWT', 'MicroserviceApplication', 'Gradle']"
Flat Monte Carlo,10,4,None,100,400,298,298,0,0.3864,0.5782,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'Gradle', 'MicroserviceApplication', 'Uaa']"
Flat Monte Carlo,11,4,None,100,400,279,279,0,0.3727,0.5731,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'JWT', 'MicroserviceApplication', 'Gradle']"
Flat Monte Carlo,12,4,None,100,400,290,290,0,0.3753,0.5816,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'MicroserviceApplication', 'Uaa', 'Maven']"
Flat Monte Carlo,13,4,None,100,400,271,271,0,0.3623,0.5766,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'JWT', 'MicroserviceApplication', 'Gradle']"
Flat Monte Carlo,14,4,None,100,400,293,293,0,0.384,0.6029,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'MicroserviceApplication', 'Uaa', 'Maven']"
Flat Monte Carlo,15,4,None,100,400,286,286,0,0.3475,0.5979,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'MicroserviceApplication', 'Maven', 'JWT']"
Flat Monte Carlo,16,4,None,100,400,299,299,0,0.3748,0.6261,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'MicroserviceApplication', 'Maven', 'JWT']"
Flat Monte Carlo,17,5,None,100,500,336,336,0,0.4587,0.6962,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'Docker', 'JWT', 'Gradle', 'MicroserviceApplication']"
Flat Monte Carlo,18,4,None,100,400,290,290,0,0.3637,0.6911,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'MicroserviceApplication', 'Maven', 'Uaa']"
Flat Monte Carlo,19,4,None,100,400,281,281,0,0.387,0.6303,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'Gradle', 'MicroserviceApplication', 'JWT']"
Flat Monte Carlo,20,4,None,100,400,297,297,0,0.385,0.6626,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'Uaa', 'MicroserviceApplication', 'Gradle']"
Flat Monte Carlo,21,4,None,100,400,299,299,0,0.3997,0.6756,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'MicroserviceApplication', 'Gradle', 'JWT']"
Flat Monte Carlo,22,4,None,100,400,288,288,0,0.352,0.6706,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'MicroserviceApplication', 'Maven', 'JWT']"
Flat Monte Carlo,23,4,None,100,400,302,302,0,0.3812,0.6938,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'MicroserviceApplication', 'Gradle', 'Uaa']"
Flat Monte Carlo,24,6,None,100,600,388,388,0,0.5098,0.8451,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Database', 'Cassandra', 'Server', 'MicroserviceApplication', 'Gradle', 'Uaa']"
Flat Monte Carlo,25,4,None,100,400,287,287,0,0.3646,0.8423,"['Cucumber', 'Generator', 'JHipster', 'Gatling', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Server', 'MicroserviceApplication', 'Maven', 'JWT']"
