Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Greedy MCTS,1,4,None,100,400,148,148,148,0.3378,1.7809,"['Authentication', 'JHipster', 'BackEnd', 'Gatling', 'TestingFrameworks', 'Generator', 'Cucumber', 'Server', 'Uaa', 'MicroserviceApplication', 'Gradle']"
Greedy MCTS,2,4,None,100,400,215,215,215,0.4636,2.7408,"['Authentication', 'JHipster', 'BackEnd', 'Gatling', 'TestingFrameworks', 'Generator', 'Cucumber', 'Server', 'MicroserviceApplication', 'Gradle', 'Uaa']"
Greedy MCTS,3,6,None,100,600,200,200,200,0.593,2.297,"['Authentication', 'JHipster', 'BackEnd', 'Gatling', 'TestingFrameworks', 'Generator', 'Cucumber', 'Server', 'Gradle', 'Uaa', 'Database', 'Cassandra', 'UaaServer']"
Greedy MCTS,4,5,None,100,500,158,158,158,0.3942,1.9841,"['Authentication', 'JHipster', 'BackEnd', 'Gatling', 'TestingFrameworks', 'Generator', 'Cucumber', 'Server', 'Gradle', 'JWT', 'InternationalizationSupport', 'MicroserviceApplication']"
Greedy MCTS,5,5,None,100,500,135,135,135,0.4262,1.7564,"['Authentication', 'JHipster', 'BackEnd', 'Gatling', 'TestingFrameworks', 'Generator', 'Cucumber', 'Server', 'MicroserviceApplication', 'Uaa', 'Docker', 'Gradle']"
Greedy MCTS,6,6,None,100,600,184,184,184,0.638,2.4578,"['Authentication', 'JHipster', 'BackEnd', 'Gatling', 'TestingFrameworks', 'Generator', 'Cucumber', 'Server', 'JWT', 'Database', 'MongoDB', 'Maven', 'MicroserviceApplication']"
Greedy MCTS,7,4,None,100,400,135,135,135,0.4139,1.8026,"['Authentication', 'JHipster', 'BackEnd', 'Gatling', 'TestingFrameworks', 'Generator', 'Cucumber', 'Server', 'MicroserviceApplication', 'Gradle', 'JWT']"
Greedy MCTS,8,4,None,100,400,122,122,122,0.3386,1.6513,"['Authentication', 'JHipster', 'BackEnd', 'Gatling', 'TestingFrameworks', 'Generator', 'Cucumber', 'Server', 'JWT', 'Gradle', 'MicroserviceApplication']"
Greedy MCTS,9,7,None,100,700,104,104,104,0.4292,1.802,"['Authentication', 'JHipster', 'BackEnd', 'Gatling', 'TestingFrameworks', 'Generator', 'Cucumber', 'Gradle', 'Server', 'JWT', 'Docker', 'Database', 'MongoDB', 'MicroserviceApplication']"
Greedy MCTS,10,4,None,100,400,196,196,196,0.3804,2.4037,"['Authentication', 'JHipster', 'BackEnd', 'Gatling', 'TestingFrameworks', 'Generator', 'Cucumber', 'Server', 'MicroserviceApplication', 'JWT', 'Maven']"
Greedy MCTS,11,6,None,100,600,199,199,199,0.5976,2.4271,"['Authentication', 'JHipster', 'BackEnd', 'Gatling', 'TestingFrameworks', 'Generator', 'Cucumber', 'Server', 'Uaa', 'UaaServer', 'Database', 'Cassandra', 'Maven']"
Greedy MCTS,12,4,None,100,400,131,131,131,0.3525,1.8337,"['Authentication', 'JHipster', 'BackEnd', 'Gatling', 'TestingFrameworks', 'Generator', 'Cucumber', 'Server', 'MicroserviceApplication', 'Uaa', 'Maven']"
Greedy MCTS,13,4,None,100,400,160,160,160,0.3677,2.1098,"['Authentication', 'JHipster', 'BackEnd', 'Gatling', 'TestingFrameworks', 'Generator', 'Cucumber', 'Server', 'MicroserviceApplication', 'Gradle', 'Uaa']"
Greedy MCTS,14,6,None,100,600,115,115,115,0.4945,2.0685,"['Authentication', 'JHipster', 'BackEnd', 'Gatling', 'TestingFrameworks', 'Generator', 'Cucumber', 'Uaa', 'Server', 'Database', 'Gradle', 'Cassandra', 'MicroserviceApplication']"
Greedy MCTS,15,4,None,100,400,169,169,169,0.4228,2.2927,"['Authentication', 'JHipster', 'BackEnd', 'Gatling', 'TestingFrameworks', 'Generator', 'Cucumber', 'Server', 'JWT', 'MicroserviceApplication', 'Maven']"
Greedy MCTS,16,5,None,100,500,129,129,129,0.3777,1.8593,"['Authentication', 'JHipster', 'BackEnd', 'Gatling', 'TestingFrameworks', 'Generator', 'Cucumber', 'Server', 'InternationalizationSupport', 'Maven', 'JWT', 'MicroserviceApplication']"
