Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Parallel Flat Monte Carlo,1,13,None,100,1200,1200,1200,0,0.8695,0.6349,"['Gatling', 'Generator', 'TestingFrameworks', 'Authentication', 'Cucumber', 'BackEnd', 'JHipster', 'SocialLogin', 'ClusteredSession', 'HTTPSession', 'Libsass', 'Docker', 'InternationalizationSupport', 'Gradle', 'SpringWebSockets', 'Application', 'Monolithic', 'Protractor', 'Database', 'MongoDB']"
Parallel Flat Monte Carlo,2,8,None,100,800,800,800,0,0.5693,0.6634,"['Gatling', 'Generator', 'TestingFrameworks', 'Authentication', 'Cucumber', 'BackEnd', 'JHipster', 'SocialLogin', 'Database', 'Maven', 'JWT', 'Protractor', 'MongoDB', 'Application', 'Monolithic']"
Parallel Flat Monte Carlo,3,6,None,100,600,600,600,0,0.4151,0.6786,"['Gatling', 'Generator', 'TestingFrameworks', 'Authentication', 'Cucumber', 'BackEnd', 'JHipster', 'Docker', 'Maven', 'InternationalizationSupport', 'Server', 'MicroserviceApplication', 'Uaa']"
Parallel Flat Monte Carlo,4,9,None,100,900,900,900,0,0.6319,0.6918,"['Gatling', 'Generator', 'TestingFrameworks', 'Authentication', 'Cucumber', 'BackEnd', 'JHipster', 'Database', 'Libsass', 'Application', 'Gradle', 'Cassandra', 'InternationalizationSupport', 'MicroserviceGateway', 'Protractor', 'JWT']"
Parallel Flat Monte Carlo,5,9,None,100,900,900,900,0,0.633,0.7099,"['Gatling', 'Generator', 'TestingFrameworks', 'Authentication', 'Cucumber', 'BackEnd', 'JHipster', 'HTTPSession', 'Maven', 'Database', 'Libsass', 'MongoDB', 'InternationalizationSupport', 'Application', 'Protractor', 'Monolithic']"
Parallel Flat Monte Carlo,6,12,None,100,1200,1200,1200,0,0.8578,0.7349,"['Gatling', 'Generator', 'TestingFrameworks', 'Authentication', 'Cucumber', 'BackEnd', 'JHipster', 'ClusteredSession', 'SpringWebSockets', 'JWT', 'Protractor', 'Application', 'Gradle', 'SocialLogin', 'InternationalizationSupport', 'Libsass', 'Database', 'MongoDB', 'Monolithic']"
Parallel Flat Monte Carlo,7,17,None,100,1700,1700,1700,0,1.2808,0.7706,"['Gatling', 'Generator', 'TestingFrameworks', 'Authentication', 'Cucumber', 'BackEnd', 'JHipster', 'SocialLogin', 'InternationalizationSupport', 'Database', 'Docker', 'HTTPSession', 'SQL', 'ClusteredSession', 'ElasticSearch', 'Application', 'Development', 'SpringWebSockets', 'PostgreSQLDev', 'Protractor', 'Production', 'PostgreSQL', 'Monolithic', 'Gradle']"
Parallel Flat Monte Carlo,8,13,None,100,1200,1200,1200,0,0.8915,0.7925,"['Gatling', 'Generator', 'TestingFrameworks', 'Authentication', 'Cucumber', 'BackEnd', 'JHipster', 'Gradle', 'SocialLogin', 'InternationalizationSupport', 'ClusteredSession', 'SpringWebSockets', 'Protractor', 'HTTPSession', 'Docker', 'Application', 'Monolithic', 'Libsass', 'Database', 'MongoDB']"
Parallel Flat Monte Carlo,9,12,None,100,1100,1100,1100,0,0.8044,0.8177,"['Gatling', 'Generator', 'TestingFrameworks', 'Authentication', 'Cucumber', 'BackEnd', 'JHipster', 'Uaa', 'Protractor', 'ClusteredSession', 'SpringWebSockets', 'Libsass', 'InternationalizationSupport', 'Maven', 'Docker', 'Database', 'Application', 'MongoDB', 'MicroserviceGateway']"
Parallel Flat Monte Carlo,10,10,None,100,1000,1000,1000,0,0.7377,0.8418,"['Gatling', 'Generator', 'TestingFrameworks', 'Authentication', 'Cucumber', 'BackEnd', 'JHipster', 'Gradle', 'OAuth2', 'Database', 'Libsass', 'SpringWebSockets', 'ClusteredSession', 'Application', 'MongoDB', 'Monolithic', 'Protractor']"
